Data,Hora,Origem,Payload
10/03/2025,11:20:48,D,2b4253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b02012eb6a5320d0a
10/03/2025,11:22:18,D,2b484244ef2280200309020915564a5806025d610307e9030a0b15092f2f09e10d0a
10/03/2025,11:22:18,S,+SACK:GTHBD,8020030902,2f2f$
10/03/2025,11:22:18,D,2b4253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b02012eb6a5320d0a
10/03/2025,11:25:29,D,2b484244ef2280200309020915564a5806025d610307e9030a0b17282f3f474e0d0a
10/03/2025,11:25:29,S,+SACK:GTHBD,8020030902,2f3f$
10/03/2025,11:25:29,D,2b4253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b02012eb6a5320d0a
10/03/2025,11:25:29,S,+SACK:2eb6$
10/03/2025,11:25:30,D,2b4253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b020b2eb792530d0a
10/03/2025,11:25:30,S,+SACK:2eb7$
10/03/2025,11:25:30,D,2b4253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b02152eb83bde0d0a
10/03/2025,11:25:30,S,+SACK:2eb8$
10/03/2025,11:25:31,D,2b4253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b021f2eb9ec3e0d0a
10/03/2025,11:25:31,S,+SACK:2eb9$
10/03/2025,11:25:31,D,2b4253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b02292ebaab580d0a
10/03/2025,11:25:31,S,+SACK:2eba$
10/03/2025,11:25:32,D,2b4253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b02332ebbdf5a0d0a
10/03/2025,11:25:32,S,+SACK:2ebb$
10/03/2025,11:25:33,D,2b4253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b03012ebc72cc0d0a
10/03/2025,11:25:33,S,+SACK:2ebc$
10/03/2025,11:25:33,D,2b4253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b030b2ebe75ce0d0a
10/03/2025,11:25:33,S,+SACK:2ebe$
10/03/2025,11:25:34,D,2b4253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b03152ebf3d8d0d0a
10/03/2025,11:25:34,S,+SACK:2ebf$
10/03/2025,11:25:34,D,2b4253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b031f2ec075340d0a
10/03/2025,11:25:34,S,+SACK:2ec0$
10/03/2025,11:25:35,D,2b4253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b03292ec112100d0a
10/03/2025,11:25:35,S,+SACK:2ec1$
10/03/2025,11:25:35,D,2b4253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b03332ec2a6d10d0a
10/03/2025,11:25:35,S,+SACK:2ec2$
10/03/2025,11:25:36,D,2b4253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b04012ec34c180d0a
10/03/2025,11:25:36,S,+SACK:2ec3$
10/03/2025,11:25:36,D,2b4253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b040b2ec4fb3e0d0a
10/03/2025,11:25:36,S,+SACK:2ec4$
10/03/2025,11:25:37,D,2b4253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0b04152ec5b37d0d0a
10/03/2025,11:25:37,S,+SACK:2ec5$
