Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix,,
27/03/2025,08:23:58,26/03/2025,00:06:48,8674886293973,0x20a0,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0b,-,1,0,00ee,0x0239,-23.323102,-51.189739,07e9031a03062d,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 03:06:45 ,,HBD está para 2min
27/03/2025,08:16:50,25/03/2025,22:56:05,8674886293973,0x1d33,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,98,-,0,-,1,0,21,9,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013803,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:56:03 ,,
27/03/2025,09:28:40,,,,,GTBPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2025,09:04:39,,,,0x4072,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2025,08:49:47,26/03/2025,04:28:11,8674886293973,0x2d06,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0a,-,1,0,53,0x0258,-23.323113,-51.189557,07e9031a071c09,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 07:28:09 ,,
27/03/2025,09:05:37,26/03/2025,07:12:33,8674886293973,0x34a2,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,0,0,16,9,-,2,408,002c,0x0231,-23.322884,-51.189633,07e9031a0a0c1f,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-26 10:12:31 ,,
27/03/2025,08:16:53,25/03/2025,22:56:30,8674886293973,0x1d39,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0a,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a01381c,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:56:28 ,,
27/03/2025,08:16:53,25/03/2025,22:56:35,8674886293973,0x1d3a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0b,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013821,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:56:33 ,,
27/03/2025,09:01:10,26/03/2025,06:24:22,8674886293973,0x327e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,0,0x0210,-23.323136,-51.189757,07e9031a091814,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 09:24:20 ,,
27/03/2025,09:27:44,26/03/2025,19:13:35,8674886293973,0x3eda,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,33,-,0,-,0,0,41,0c,-,3,0,0,0x02b1,-23.330059,-51.177911,07e9031a160d22,724,6,c4a7,07a71434,0x000000,0x0000000407,0x000000,0x000000000000,-,-, -, -, 2025-03-26 22:13:34 ,,
27/03/2025,08:16:55,25/03/2025,22:56:50,8674886293973,0x1d3d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013830,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:56:48 ,,
