Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix
31/03/2025,07:48:51,30/03/2025,21:11:51,8674886293973,0xdf9c,GTPNR,0x00fe7fbf,802003,0x0902,0x0915,100,0,0000,0000,00,00,41,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000000,0x000000,0x000000000000,-,00, -,-
31/03/2025,07:48:51,31/03/2025,07:45:47,8674886293973,0xfcd3,GTPDP,0x00fe7fbf,802003,0x0902,0x0915,100,11535,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
31/03/2025,07:48:52,30/03/2025,21:11:52,8674886293973,0xdf9d,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,100,0,0000,0000,01,00,21,00,3,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
31/03/2025,07:48:52,30/03/2025,21:11:52,8674886293973,0xdf9e,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,0,0000,0000,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
31/03/2025,07:48:53,30/03/2025,21:11:53,8674886293973,0xdf9f,GTMPN,0x00fe7fbf,802003,0x0902,0x0915,100,11328,0000,0000,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
31/03/2025,07:48:53,30/03/2025,21:12:02,8674886293973,0xdfa0,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11268,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, None, -, None 
31/03/2025,07:48:54,30/03/2025,21:12:04,8674886293973,0xdfa1,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11268,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 2.0, -, None 
31/03/2025,07:48:54,30/03/2025,21:12:09,8674886293973,0xdfa2,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11268,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
31/03/2025,07:48:55,30/03/2025,21:12:14,8674886293973,0xdfa3,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11268,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
31/03/2025,07:48:55,30/03/2025,21:12:19,8674886293973,0xdfa4,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11268,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
31/03/2025,07:48:56,30/03/2025,21:12:24,8674886293973,0xdfa5,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11268,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
31/03/2025,07:48:56,30/03/2025,21:12:25,8674886293973,0xdfa6,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,11268,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
31/03/2025,07:48:57,30/03/2025,21:12:29,8674886293973,0xdfa7,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11268,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
31/03/2025,07:48:58,30/03/2025,21:12:34,8674886293973,0xdfa8,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11268,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
31/03/2025,07:48:58,30/03/2025,21:12:39,8674886293973,0xdfa9,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11268,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
31/03/2025,07:48:58,30/03/2025,21:12:44,8674886293973,0xdfaa,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11268,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
31/03/2025,07:48:59,30/03/2025,21:12:49,8674886293973,0xdfab,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11268,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
31/03/2025,07:48:59,30/03/2025,21:12:54,8674886293973,0xdfac,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11268,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
31/03/2025,07:49:00,30/03/2025,21:12:59,8674886293973,0xdfad,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11300,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
31/03/2025,07:49:00,30/03/2025,21:13:03,8674886293973,0xdfae,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,11300,0000,0000,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
31/03/2025,07:49:01,30/03/2025,21:13:04,8674886293973,0xdfaf,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11300,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
31/03/2025,07:49:01,30/03/2025,21:13:09,8674886293973,0xdfb0,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11165,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
31/03/2025,07:49:02,30/03/2025,21:13:14,8674886293973,0xdfb1,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11273,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
31/03/2025,07:49:02,30/03/2025,21:13:36,8674886293973,0xdfb2,GTRTL,0x00fe7fbf,802003,0x0902,0x0915,100,11273,0000,0000,01,00,21,06,-,04,000000,0000,0x024e,-23.32342,-51.189765,07e9031f000d23,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-,2025-03-31 00:13:35
31/03/2025,07:49:03,30/03/2025,21:13:36,8674886293973,0xdfb3,GTIGL,0x00fe7fbf,802003,0x0902,0x0915,100,11273,0000,0000,01,00,21,06,-,04,000000,0000,0x024e,-23.32342,-51.189765,07e9031f000d23,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-,2025-03-31 00:13:35
31/03/2025,07:49:03,30/03/2025,21:13:41,8674886293973,0xdfb4,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11273,0000,-,01,00,21,06,-,04,000000,0000,0x024e,-23.32342,-51.189765,07e9031f000d26,0724,0006,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 27.0, -, 2025-03-31 00:13:38 
