Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix
24/03/2025,13:11:17,24/03/2025,10:06:11,8674886293973,0xd61d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,21,0b,-,01,000000,0000,0x0256,-23.329927,-51.177629,07e903180d0609,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, None, -, 2025-03-24 13:06:09 
24/03/2025,13:11:17,,,,,HBD
24/03/2025,13:11:18,24/03/2025,10:06:12,8674886293973,0xd61e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,21,0b,-,01,000000,0000,0x0256,-23.329927,-51.177629,07e903180d060a,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-24 13:06:10 
24/03/2025,13:11:18,24/03/2025,10:06:13,8674886293973,0xd61f,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,21,0b,-,01,000000,0000,0x0256,-23.329927,-51.177629,07e903180d060b,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-24 13:06:11 
24/03/2025,13:11:19,24/03/2025,10:06:14,8674886293973,0xd620,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,21,0b,-,01,000000,0000,0x0256,-23.329927,-51.177629,07e903180d060c,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-24 13:06:12 
24/03/2025,13:11:19,24/03/2025,10:06:15,8674886293973,0xd621,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,21,0b,-,01,000000,0000,0x0256,-23.329927,-51.177629,07e903180d060d,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-24 13:06:13 
24/03/2025,13:11:20,24/03/2025,10:06:16,8674886293973,0xd622,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,21,0b,-,01,000000,0000,0x0256,-23.329927,-51.177629,07e903180d060e,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-24 13:06:14 
24/03/2025,13:11:20,24/03/2025,10:06:17,8674886293973,0xd623,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,21,0b,-,01,000000,0000,0x0256,-23.329927,-51.177629,07e903180d060f,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-24 13:06:15 
24/03/2025,13:11:21,24/03/2025,10:06:18,8674886293973,0xd624,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,21,0b,-,01,000000,0000,0x0256,-23.329927,-51.177629,07e903180d0610,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-24 13:06:16 
24/03/2025,13:11:21,24/03/2025,10:06:19,8674886293973,0xd625,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,21,0b,-,01,000000,0000,0x0256,-23.329927,-51.177629,07e903180d0611,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-24 13:06:17 
