Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix
21/03/2025,22:30:00,,,,,HBD
21/03/2025,22:30:00,01/01/2020,00:00:06,8674886293973,0xb556,GTPNR,0x00fe7fbf,802003,0x0902,0x0915,100,0,0000,0000,00,00,41,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000208,0x000000,0x000000000000,-,00, -,-
21/03/2025,22:30:00,01/01/2020,00:00:08,8674886293973,0xb557,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,100,0,0000,0000,01,00,21,00,0,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, None
21/03/2025,22:30:01,01/01/2020,00:00:08,8674886293973,0xb558,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,0,0000,0000,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, None
21/03/2025,22:30:01,01/01/2020,00:00:09,8674886293973,0xb559,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,0,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, None
21/03/2025,22:30:02,01/01/2020,00:00:09,8674886293973,0xb55a,GTMPN,0x00fe7fbf,802003,0x0902,0x0915,100,11951,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, None
21/03/2025,22:30:02,,,,,GTBCS
21/03/2025,22:30:03,01/01/2020,00:00:11,8674886293973,0xb55c,GTBTC,0x00fe7fbf,802003,0x0902,0x0915,100,11911,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a6b00b,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, None
21/03/2025,22:30:03,,,,,ACK
21/03/2025,22:30:04,,,,,ACK
21/03/2025,22:30:34,21/03/2025,22:30:36,8674886293973,0xb55f,GTRTL,0x00fe7fbf,802003,0x0902,0x0915,100,11979,0000,0000,01,00,22,05,-,03,000000,0000,0x0245,-23.32332,-51.189566,07e90316011e23,0724,0006,c4a7,07a6b00b,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-,2025-03-22 01:30:35
21/03/2025,22:30:34,21/03/2025,22:30:36,8674886293973,0xb560,GTIGL,0x00fe7fbf,802003,0x0902,0x0915,100,11979,0000,0000,01,00,22,05,-,03,000000,0000,0x0245,-23.32332,-51.189566,07e90316011e23,0724,0006,c4a7,07a6b00b,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-,2025-03-22 01:30:35
21/03/2025,22:30:34,21/03/2025,22:30:37,8674886293973,0xb561,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,11979,0000,0000,01,00,21,05,-,00,000000,0000,0x0245,-23.32332,-51.189566,07e90316011e23,0724,0006,c4a7,07a6b00b,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, 2025-03-22 01:30:35
21/03/2025,22:30:35,,,,,ACK
21/03/2025,22:30:35,21/03/2025,22:30:38,8674886293973,0xb563,GTPFR,0x00fe7fbf,802003,0x0902,0x0915,100,11979,0000,0000,01,00,21,05,-,03,000000,0000,0x0245,-23.32332,-51.189566,07e90316011e24,0724,0006,c4a7,07a6b00b,0x000000,0x0000000208,0x000000,0x000000000000,02,-
21/03/2025,22:30:56,,,,,HBD
21/03/2025,22:30:57,21/03/2025,22:30:58,8674886293973,0xb565,GTPNR,0x00fe7fbf,802003,0x0902,0x0915,100,0,0000,0000,00,00,41,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000208,0x000000,0x000000000000,-,02, -,-
21/03/2025,22:30:58,21/03/2025,22:31:00,8674886293973,0xb566,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,100,0,0000,0000,01,00,21,00,3,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, None
21/03/2025,22:30:58,21/03/2025,22:31:00,8674886293973,0xb567,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,0,0000,0000,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, None
21/03/2025,22:30:59,21/03/2025,22:31:01,8674886293973,0xb568,GTMPN,0x00fe7fbf,802003,0x0902,0x0915,100,11879,0000,0000,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, None
21/03/2025,22:31:00,21/03/2025,22:31:03,8674886293973,0xb569,GTBTC,0x00fe7fbf,802003,0x0902,0x0915,100,11943,0000,0000,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, None
21/03/2025,22:31:05,21/03/2025,22:31:07,8674886293973,0xb56a,GTRTL,0x00fe7fbf,802003,0x0902,0x0915,100,11943,0000,0000,01,00,21,05,-,03,000000,0000,0x0245,-23.323296,-51.189598,07e90316011f06,0000,0000,0000,00000000,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-,2025-03-22 01:31:06
21/03/2025,22:31:05,21/03/2025,22:31:07,8674886293973,0xb56b,GTIGL,0x00fe7fbf,802003,0x0902,0x0915,100,11943,0000,0000,01,00,21,05,-,03,000000,0000,0x0245,-23.323296,-51.189598,07e90316011f06,0000,0000,0000,00000000,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-,2025-03-22 01:31:06
21/03/2025,22:31:06,21/03/2025,22:31:07,8674886293973,0xb56c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,21,05,-,03,000000,0000,0x0245,-23.323296,-51.189598,07e90316011f06,0000,0000,0000,00000000,0x000000,0x0000000208,0x000000,0x000000000000,-,-, None, -, 2025-03-22 01:31:06 
21/03/2025,22:31:09,21/03/2025,22:31:12,8674886293973,0xb56d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,21,05,-,03,000000,0000,0x0245,-23.323296,-51.189598,07e90316011f09,0000,0000,0000,00000000,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-22 01:31:09 
21/03/2025,22:31:15,21/03/2025,22:31:17,8674886293973,0xb56e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,21,05,-,03,000000,0000,0x0245,-23.323296,-51.189598,07e90316011f0f,0000,0000,0000,00000000,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-22 01:31:15 
21/03/2025,22:31:18,,,,,GTBCS
21/03/2025,22:31:18,21/03/2025,22:31:21,8674886293973,0xb570,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,11933,0000,0000,01,00,22,06,-,00,000000,0000,0x0245,-23.323296,-51.189598,07e90316011f14,0000,0000,0000,00000000,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, 2025-03-22 01:31:20
21/03/2025,22:31:19,21/03/2025,22:31:22,8674886293973,0xb571,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,22,06,-,03,000000,0000,0x0245,-23.323296,-51.189598,07e90316011f14,0000,0000,0000,00000000,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-22 01:31:20 
