Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites, Report type, Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix, 1-wire, ble, RAT, Band
24/04/2025,07:52:05,04/233/7,24:07:50,8674886293973,0x661a,GTPDP,0x09fe7fbf,802003,0x0902,0x0915,0,11515,0001,0000,01,00,21,11,-,-,01,0.0,010a,0x0251,-23.329798,-51.17763,07e904180a323b,0724,0006,c4a7,07a7140c,0x000001,0x0000001404,0x000000,0x000000000000,-,-,-,-, 2025-04-24 10:50:59
24/04/2025,07:52:05,,,,0x661c,HBD
24/04/2025,07:52:06,23/04/2025,17:54:12,8674886293973,0x57b5,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11517,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041714360b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:54:11
24/04/2025,07:52:06,23/04/2025,17:54:27,8674886293973,0x57b6,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11465,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041714361a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:54:26
24/04/2025,07:52:07,23/04/2025,17:54:42,8674886293973,0x57b7,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11465,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143629,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:54:41
24/04/2025,07:52:07,23/04/2025,17:54:57,8674886293973,0x57b9,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11465,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143638,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:54:56
24/04/2025,07:52:08,23/04/2025,17:55:12,8674886293973,0x57ba,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11465,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041714370b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:55:11
24/04/2025,07:52:08,23/04/2025,17:55:27,8674886293973,0x57bb,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11431,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041714371a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:55:26
24/04/2025,07:52:09,23/04/2025,17:55:42,8674886293973,0x57bc,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11431,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143729,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:55:41
24/04/2025,07:52:09,23/04/2025,17:55:57,8674886293973,0x57bd,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11454,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143738,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:55:56
