Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix
19/03/2025,17:43:38,,,,,HBD
19/03/2025,17:43:39,19/03/2025,20:41:30,8674886293973,0x4452,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,55,-,0000,-,01,00,21,0c,-,01,000000,0000,0x023d,-23.330014,-51.177752,07e9031314291b,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-, None, -, 2025-03-19 20:41:27 
19/03/2025,17:43:39,19/03/2025,20:42:00,8674886293973,0x4453,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,56,-,0000,-,01,00,21,0c,-,01,000000,0000,0x023d,-23.330014,-51.177752,07e90313142939,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 30.0, -, 2025-03-19 20:41:57 
19/03/2025,17:43:40,19/03/2025,20:42:30,8674886293973,0x4454,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,57,-,0000,-,01,00,21,0c,-,01,000000,0000,0x023d,-23.330014,-51.177752,07e90313142a1b,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 30.0, -, 2025-03-19 20:42:27 
19/03/2025,17:43:40,19/03/2025,20:43:00,8674886293973,0x4456,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,57,-,0000,-,01,00,21,0c,-,01,000000,0000,0x023d,-23.330014,-51.177752,07e90313142a39,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 30.0, -, 2025-03-19 20:42:57 
19/03/2025,17:43:41,,,,,ACK
19/03/2025,17:43:41,19/03/2025,20:43:28,8674886293973,0x4458,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,57,-,0000,-,01,00,21,0c,-,01,000000,0000,0x023d,-23.330014,-51.177752,07e90313142b1c,0724,0006,c4a7,07a71402,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 28.0, -, 2025-03-19 20:43:28 
19/03/2025,17:43:42,19/03/2025,20:43:35,8674886293973,0x4459,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,58,-,0000,-,01,00,21,0a,-,01,000000,0000,0x023d,-23.330014,-51.177752,07e90313142b21,0724,0006,c4a7,07a71402,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 7.0, -, 2025-03-19 20:43:33 
19/03/2025,17:43:42,19/03/2025,20:43:40,8674886293973,0x445a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,58,-,0000,-,01,00,21,0a,-,01,000000,0000,0x023d,-23.330014,-51.177752,07e90313142b26,0724,0006,c4a7,07a71402,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-19 20:43:38 
19/03/2025,17:43:43,19/03/2025,20:43:45,8674886293973,0x445b,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,58,-,0000,-,01,00,21,0b,-,01,000000,0000,0x023d,-23.330014,-51.177752,07e90313142b2b,0724,0006,c4a7,07a71402,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-19 20:43:43 
19/03/2025,17:43:48,19/03/2025,20:43:50,8674886293973,0x445c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,58,-,0000,-,01,00,21,0c,-,01,000000,0000,0x023d,-23.330014,-51.177752,07e90313142b30,0724,0006,c4a7,07a71402,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-19 20:43:48 
19/03/2025,17:43:53,19/03/2025,20:43:55,8674886293973,0x445d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,58,-,0000,-,01,00,21,0c,-,01,000000,0000,0x023d,-23.330014,-51.177752,07e90313142b35,0724,0006,c4a7,07a71402,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-19 20:43:53 
19/03/2025,17:43:58,19/03/2025,20:44:00,8674886293973,0x445e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,58,-,0000,-,01,00,21,0c,-,01,000000,0000,0x023d,-23.330014,-51.177752,07e90313142b3a,0724,0006,c4a7,07a71402,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-19 20:43:58 
