Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix
19/03/2025,13:33:36,,,,,HBD
19/03/2025,13:34:06,19/03/2025,16:34:09,8674886293973,0x3828,GTRTL,0x00fe7fbf,802003,0x0902,0x0915,28,12831,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-,None
19/03/2025,13:34:07,19/03/2025,16:34:09,8674886293973,0x3829,GTIGL,0x00fe7fbf,802003,0x0902,0x0915,28,12831,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-,None
19/03/2025,13:46:14,19/03/2025,16:44:30,8674886293973,0x3834,GTPDP,0x00fe7fbf,802003,0x0902,0x0915,34,12835,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71402,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-, None
19/03/2025,13:46:14,,,,,HBD
19/03/2025,13:46:15,19/03/2025,16:38:38,8674886293973,0x382d,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,30,12875,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-, None
19/03/2025,13:46:15,19/03/2025,16:39:20,8674886293973,0x382e,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,30,12898,0000,0000,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-, None
19/03/2025,13:46:16,19/03/2025,16:39:50,8674886293973,0x3830,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,30,12898,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-, None
19/03/2025,13:46:16,19/03/2025,16:41:57,8674886293973,0x3831,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,32,12877,0000,0000,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-, None
19/03/2025,13:46:17,19/03/2025,16:42:00,8674886293973,0x3832,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,32,12877,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-, None
19/03/2025,13:46:17,,,,,GTBCS
19/03/2025,13:46:18,,,,,ACK
19/03/2025,13:46:55,19/03/2025,16:46:58,8674886293973,0x3837,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,37,12876,0000,0000,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-, None
19/03/2025,13:46:56,19/03/2025,16:46:58,8674886293973,0x3838,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,37,12876,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-, None
19/03/2025,13:48:14,,,,,HBD
19/03/2025,13:48:56,19/03/2025,16:48:58,8674886293973,0x383a,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,40,12884,0000,0000,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-, None
19/03/2025,13:49:07,19/03/2025,16:49:09,8674886293973,0x383b,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,40,12861,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-, None
19/03/2025,13:49:54,19/03/2025,16:49:56,8674886293973,0x383c,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,41,12889,0000,0000,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-, None
19/03/2025,13:50:14,,,,,HBD
19/03/2025,13:50:56,19/03/2025,16:50:58,8674886293973,0x383e,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,41,12894,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-, None
19/03/2025,13:51:19,,,,,ACK
19/03/2025,13:51:20,19/03/2025,16:51:22,8674886293973,0x3840,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, None, -, None 
19/03/2025,13:51:22,19/03/2025,16:51:24,8674886293973,0x3841,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:24,19/03/2025,16:51:26,8674886293973,0x3842,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:26,19/03/2025,16:51:28,8674886293973,0x3843,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:28,19/03/2025,16:51:30,8674886293973,0x3844,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:30,19/03/2025,16:51:32,8674886293973,0x3845,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:32,19/03/2025,16:51:34,8674886293973,0x3846,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:34,19/03/2025,16:51:36,8674886293973,0x3847,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:36,19/03/2025,16:51:38,8674886293973,0x3848,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:38,19/03/2025,16:51:40,8674886293973,0x3849,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:40,19/03/2025,16:51:42,8674886293973,0x384a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:42,19/03/2025,16:51:44,8674886293973,0x384b,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:44,19/03/2025,16:51:46,8674886293973,0x384c,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,42,12900,0000,0000,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-, None
19/03/2025,13:51:44,19/03/2025,16:51:46,8674886293973,0x384d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:46,19/03/2025,16:51:48,8674886293973,0x384e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:48,19/03/2025,16:51:50,8674886293973,0x384f,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:50,19/03/2025,16:51:52,8674886293973,0x3850,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:52,19/03/2025,16:51:54,8674886293973,0x3851,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:52,19/03/2025,16:51:54,8674886293973,0x3852,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,42,12900,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-,-,-, None
19/03/2025,13:51:54,19/03/2025,16:51:56,8674886293973,0x3853,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:56,19/03/2025,16:51:58,8674886293973,0x3854,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:51:58,19/03/2025,16:52:00,8674886293973,0x3855,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:00,19/03/2025,16:52:02,8674886293973,0x3856,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:02,19/03/2025,16:52:04,8674886293973,0x3857,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:04,19/03/2025,16:52:06,8674886293973,0x3858,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:06,19/03/2025,16:52:08,8674886293973,0x3859,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,42,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:08,19/03/2025,16:52:10,8674886293973,0x385a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:10,19/03/2025,16:52:12,8674886293973,0x385b,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:12,19/03/2025,16:52:14,8674886293973,0x385c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:14,19/03/2025,16:52:16,8674886293973,0x385d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:14,,,,,HBD
19/03/2025,13:52:16,19/03/2025,16:52:18,8674886293973,0x385f,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:18,19/03/2025,16:52:20,8674886293973,0x3860,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:20,19/03/2025,16:52:22,8674886293973,0x3861,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:22,19/03/2025,16:52:24,8674886293973,0x3862,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:24,19/03/2025,16:52:26,8674886293973,0x3863,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:26,19/03/2025,16:52:28,8674886293973,0x3864,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:28,19/03/2025,16:52:30,8674886293973,0x3865,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:30,19/03/2025,16:52:32,8674886293973,0x3866,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:32,19/03/2025,16:52:34,8674886293973,0x3867,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:34,19/03/2025,16:52:36,8674886293973,0x3868,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:36,19/03/2025,16:52:38,8674886293973,0x3869,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:38,19/03/2025,16:52:40,8674886293973,0x386a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
19/03/2025,13:52:40,19/03/2025,16:52:42,8674886293973,0x386b,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,43,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000003,0x000000,0x000000000000,-,-, 2.0, -, None 
