Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix
28/03/2025,07:41:59,28/03/2025,04:06:04,8674886293973,0x92f3,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11290,0,-,1,0,21,0c,-,3,0,152,0x0250,-23.323315,-51.189527,07e9031c070604,724,6,c4a7,07a6b00b,0x000003,0x0000000800,0x000000,0x000000000000,-,-, None, -, 2025-03-28 07:06:04 
28/03/2025,07:42:00,28/03/2025,04:06:05,8674886293973,0x92f4,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11290,0,-,1,0,21,0c,-,3,0,152,0x0250,-23.323315,-51.189527,07e9031c070605,724,6,c4a7,07a6b00b,0x000003,0x0000000800,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-28 07:06:05 
28/03/2025,07:42:00,28/03/2025,04:06:06,8674886293973,0x92f5,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11290,0,-,1,0,21,0c,-,3,0,152,0x0250,-23.323315,-51.189527,07e9031c070606,724,6,c4a7,07a6b00b,0x000003,0x0000000800,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-28 07:06:06 
28/03/2025,07:42:01,28/03/2025,04:06:07,8674886293973,0x92f6,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11290,0,-,1,0,21,0c,-,3,0,152,0x0250,-23.323315,-51.189527,07e9031c070607,724,6,c4a7,07a6b00b,0x000003,0x0000000800,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-28 07:06:07 
28/03/2025,07:42:01,28/03/2025,04:06:08,8674886293973,0x92f7,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11290,0,-,1,0,21,0c,-,3,0,152,0x0250,-23.323315,-51.189527,07e9031c070608,724,6,c4a7,07a6b00b,0x000003,0x0000000800,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-28 07:06:08 
28/03/2025,07:42:02,28/03/2025,04:06:09,8674886293973,0x92f8,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11290,0,-,1,0,21,0c,-,3,0,152,0x0250,-23.323315,-51.189527,07e9031c070609,724,6,c4a7,07a6b00b,0x000003,0x0000000800,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-28 07:06:09 
28/03/2025,07:42:02,28/03/2025,04:06:10,8674886293973,0x92f9,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11290,0,-,1,0,21,0b,-,3,0,152,0x0250,-23.323315,-51.189527,07e9031c07060a,724,6,c4a7,07a6b00b,0x000003,0x0000000800,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-28 07:06:10 
28/03/2025,07:42:03,28/03/2025,04:06:11,8674886293973,0x92fa,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11290,0,-,1,0,21,0c,-,3,0,152,0x0250,-23.323315,-51.189527,07e9031c07060b,724,6,c4a7,07a6b00b,0x000003,0x0000000800,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-28 07:06:11 
28/03/2025,07:42:03,28/03/2025,04:06:12,8674886293973,0x92fb,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11290,0,-,1,0,21,0c,-,3,0,152,0x0250,-23.323315,-51.189527,07e9031c07060c,724,6,c4a7,07a6b00b,0x000003,0x0000000800,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-28 07:06:12 
28/03/2025,07:42:04,28/03/2025,04:06:13,8674886293973,0x92fc,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11290,0,-,1,0,21,0c,-,3,0,152,0x0250,-23.323315,-51.189527,07e9031c07060d,724,6,c4a7,07a6b00b,0x000003,0x0000000800,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-28 07:06:13 
28/03/2025,07:42:04,28/03/2025,04:06:14,8674886293973,0x92fd,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11298,0,-,1,0,21,0c,-,3,0,152,0x0250,-23.323315,-51.189527,07e9031c07060e,724,6,c4a7,07a6b00b,0x000003,0x0000000800,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-28 07:06:14 
28/03/2025,07:42:05,28/03/2025,04:06:15,8674886293973,0x92fe,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11298,0,-,1,0,21,0c,-,3,0,152,0x0250,-23.323315,-51.189527,07e9031c07060f,724,6,c4a7,07a6b00b,0x000003,0x0000000800,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-28 07:06:15 
28/03/2025,07:42:05,28/03/2025,04:06:16,8674886293973,0x9300,GTFRI,0x00fe3fbf,281,0x0902,0x0915,100,11298,0,-,1,0,21,0c,-,3,0,152,0x0250,-23.323315,-51.189527,07e9031c070610,724,6,c4a7,07a6b00b,0x000003,0x0000000800,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-28 07:06:16 
28/03/2025,07:42:06,28/03/2025,04:06:17,8674886293973,0x9301,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11298,0,-,1,0,21,0c,-,3,0,152,0x0250,-23.323315,-51.189527,07e9031c070611,724,6,c4a7,07a6b00b,0x000003,0x0000000800,0x000000,0x000000000000,-,-, 1.0, -, 2025-03-28 07:06:17 
