Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix
30/03/2025,17:06:32,-, -, -, 0xc44d,GTBCS, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
30/03/2025,17:06:50,-, -, -, 0xc471,GTBDS, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
30/03/2025,17:06:20,30/03/2025,11:48:07,8674886293973,0xc433,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11289,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, None, -, None 
30/03/2025,17:06:20,30/03/2025,11:48:12,8674886293973,0xc434,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11289,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:21,30/03/2025,11:48:17,8674886293973,0xc435,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11229,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:21,30/03/2025,11:48:22,8674886293973,0xc436,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11296,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:22,30/03/2025,11:48:27,8674886293973,0xc437,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11237,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:22,30/03/2025,11:48:32,8674886293973,0xc438,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11298,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:23,30/03/2025,11:48:37,8674886293973,0xc439,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11283,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:23,30/03/2025,11:48:42,8674886293973,0xc43a,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11283,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:24,30/03/2025,11:48:47,8674886293973,0xc43b,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11283,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:24,30/03/2025,11:48:52,8674886293973,0xc43d,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11283,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:25,30/03/2025,11:48:57,8674886293973,0xc43e,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11283,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:25,30/03/2025,11:49:02,8674886293973,0xc43f,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11283,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:26,30/03/2025,11:49:07,8674886293973,0xc440,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11283,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:26,30/03/2025,11:49:12,8674886293973,0xc441,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11283,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:27,30/03/2025,11:49:15,8674886293973,0xc442,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,100,11283,0,0,0,0,12,0,107,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
30/03/2025,17:06:27,30/03/2025,11:49:15,8674886293973,0xc443,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,11283,0,0,0,0,12,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
30/03/2025,17:06:28,30/03/2025,11:49:15,8674886293973,0xc444,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,100,11283,0,0,1,0,22,0,1,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
30/03/2025,17:06:28,30/03/2025,11:49:15,8674886293973,0xc445,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,11283,0,0,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
30/03/2025,17:06:29,30/03/2025,11:49:20,8674886293973,0xc446,GTIGL,0x00fe7fbf,802003,0x0902,0x0915,100,11283,0,0,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-,None
30/03/2025,17:06:29,30/03/2025,11:49:20,8674886293973,0xc447,GTIGL,0x00fe7fbf,802003,0x0902,0x0915,100,11283,0,0,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-,None
30/03/2025,17:06:30,30/03/2025,11:49:25,8674886293973,0xc448,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11283,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 13.0, -, None 
30/03/2025,17:06:30,30/03/2025,11:49:30,8674886293973,0xc449,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11283,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:31,30/03/2025,11:49:35,8674886293973,0xc44a,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11283,0,-,1,0,22,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
30/03/2025,17:06:31,30/03/2025,11:49:40,8674886293973,0xc44b,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,11305,0,0,1,0,21,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
30/03/2025,17:06:32,30/03/2025,11:49:40,8674886293973,0xc44c,GTFRI,0x00fe3fbf,802003,0x0902,0x0915,100,11305,0,-,1,0,21,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a6b00b,0x000000,0x0000000000,0x000000,0x000000000000,-,-, 5.0, -, None 
