Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix
27/03/2025,17:14:45,27/03/2025,17:14:28,8674886293973,0x4746,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000409,0x000000,0x000000000000,-,-, None, -, None 
27/03/2025,17:14:45,27/03/2025,17:14:38,8674886293973,0x4747,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000409,0x000000,0x000000000000,-,-, 10.0, -, None 
27/03/2025,17:14:45,27/03/2025,17:14:45,8674886293973,0x4748,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,100,11477,0000,0000,00,00,12,00,183,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000409,0x000000,0x000000000000,-,-,-,-, None
27/03/2025,17:14:46,27/03/2025,17:14:45,8674886293973,0x4749,GTIGL,0x00fe7fbf,802003,0x0902,0x0915,100,11477,0000,0000,00,00,12,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000409,0x000000,0x000000000000,-,-,-,-,None
27/03/2025,17:14:46,27/03/2025,17:14:47,8674886293973,0x474a,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,100,11477,0000,0000,01,00,22,00,2,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000409,0x000000,0x000000000000,-,-,-,-, None
27/03/2025,17:14:47,27/03/2025,17:14:48,8674886293973,0x474b,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000409,0x000000,0x000000000000,-,-, 10.0, -, None 
27/03/2025,17:14:47,27/03/2025,17:14:48,8674886293973,0x474c,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,100,11477,0000,0000,00,00,12,00,1,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000409,0x000000,0x000000000000,-,-,-,-, None
27/03/2025,17:14:48,27/03/2025,17:14:50,8674886293973,0x474d,GTIGL,0x00fe7fbf,802003,0x0902,0x0915,100,11477,0000,0000,00,00,12,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000409,0x000000,0x000000000000,-,-,-,-,None
27/03/2025,17:14:48,27/03/2025,17:14:50,8674886293973,0x474e,GTIGL,0x00fe7fbf,802003,0x0902,0x0915,100,11477,0000,0000,00,00,12,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000409,0x000000,0x000000000000,-,-,-,-,None
27/03/2025,17:14:49,27/03/2025,17:14:51,8674886293973,0x474f,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,100,11477,0000,0000,01,00,22,00,2,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000409,0x000000,0x000000000000,-,-,-,-, None
