Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On
06/03/2025,15:25:58,06/03/2025,18:26:00,8674886293973,0x27ae,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,93,12478,0000,0000,01,00,22,00,47,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
06/03/2025,15:25:59,06/03/2025,18:26:00,8674886293973,0x27af,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,93,12478,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
06/03/2025,15:26:30,,,,,ACK
06/03/2025,15:26:35,06/03/2025,18:26:37,8674886293973,0x27b1,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,94,12471,0000,0000,00,00,12,00,37,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
06/03/2025,15:26:35,06/03/2025,18:26:37,8674886293973,0x27b2,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,94,12471,0000,0000,00,00,12,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
06/03/2025,15:26:51,06/03/2025,18:26:51,8674886293973,0x27b3,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,94,12558,0000,0000,00,00,11,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
06/03/2025,15:27:09,06/03/2025,18:27:10,8674886293973,0x27b4,GTRTL,0x00fe7fbf,802003,0x0902,0x0915,94,12550,0000,0000,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
06/03/2025,15:27:21,,,,,ACK
06/03/2025,15:27:43,,,,,ACK
06/03/2025,15:28:02,06/03/2025,18:28:02,8674886293973,0x27b7,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,94,12654,0000,0000,01,00,22,00,85,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
