Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix
25/03/2025,21:29:54,25/03/2025,21:24:01,8674886293973,0x1bef,GTPDP,0x00fe7fbf,802003,0x0902,0x0915,53,11257,0,0,1,0,22,0c,-,1,0,0,0x0240,-23.323311,-51.189644,07e9031a001800,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, 2025-03-26 00:24:00
25/03/2025,21:29:55,,,,0x1c30,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2025,21:29:55,25/03/2025,21:00:11,8674886293973,0x1ac8,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,33,-,0,-,1,0,22,0c,-,1,0,0,0x023b,-23.323328,-51.189676,07e9031a000009,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, None, -, 2025-03-26 00:00:09 
25/03/2025,21:29:56,25/03/2025,21:00:16,8674886293973,0x1ac9,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,33,-,0,-,1,0,22,0c,-,1,0,0,0x023b,-23.323328,-51.189676,07e9031a00000e,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 00:00:14 
25/03/2025,21:29:56,25/03/2025,21:00:21,8674886293973,0x1aca,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,33,-,0,-,1,0,22,0a,-,1,0,0,0x023b,-23.323328,-51.189676,07e9031a000013,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 00:00:19 
25/03/2025,21:29:57,25/03/2025,21:00:26,8674886293973,0x1acb,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,33,-,0,-,1,0,22,0b,-,1,0,119,0x023b,-23.323328,-51.189676,07e9031a000018,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 00:00:24 
25/03/2025,21:29:58,25/03/2025,21:00:31,8674886293973,0x1acc,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,33,-,0,-,1,0,22,0c,-,1,0,119,0x023b,-23.323328,-51.189676,07e9031a00001d,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 00:00:29 
25/03/2025,21:29:58,25/03/2025,21:00:36,8674886293973,0x1acd,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,33,-,0,-,1,0,22,0c,-,1,0,119,0x023b,-23.323328,-51.189676,07e9031a000022,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 00:00:34 
25/03/2025,21:29:59,25/03/2025,21:00:41,8674886293973,0x1ace,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,33,-,0,-,1,0,21,0c,-,1,0,119,0x023b,-23.323328,-51.189676,07e9031a000027,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 00:00:39 
25/03/2025,21:29:59,25/03/2025,21:00:46,8674886293973,0x1acf,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,33,-,0,-,1,0,21,0b,-,1,0,119,0x023b,-23.323328,-51.189676,07e9031a00002c,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 00:00:44 
