Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix
25/03/2025,20:48:07,,,,count_number,HBD
25/03/2025,20:48:08,25/03/2025,17:36:33,8674886293973,0x1894,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,76,11432,0000,0000,00,00,12,00,979,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, None
25/03/2025,20:48:08,25/03/2025,17:36:34,8674886293973,0x1895,GTSTC,0x00fe7fbf,802003,0x0902,0x0915,76,11432,0000,0000,00,00,12,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, None
25/03/2025,20:48:09,25/03/2025,17:36:38,8674886293973,0x1896,GTIGL,0x00fe7fbf,802003,0x0902,0x0915,76,11432,0000,0000,00,00,12,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-,None
25/03/2025,20:48:09,25/03/2025,17:36:38,8674886293973,0x1897,GTMPF,0x00fe7fbf,802003,0x0902,0x0915,76,0,0000,0000,00,00,12,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-,-,-, None
25/03/2025,20:48:10,,,,,GTBDS
25/03/2025,20:48:11,25/03/2025,17:42:59,8674886293973,0x189b,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,34,-,0000,-,00,00,16,0c,-,01,000000,0000,0x0225,-23.329852,-51.177328,07e90319142a39,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, None, 2025-03-25 20:42:57 
25/03/2025,20:48:12,25/03/2025,17:43:09,8674886293973,0x189c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,34,-,0000,-,00,00,16,0c,-,01,000000,0088,0x0225,-23.329852,-51.177328,07e90319142b07,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:43:07 
25/03/2025,20:48:13,25/03/2025,17:43:19,8674886293973,0x189d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,34,-,0000,-,00,00,16,0c,-,02,000000,0088,0x0225,-23.329852,-51.177328,07e90319142b11,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:43:17 
25/03/2025,20:48:13,25/03/2025,17:43:29,8674886293973,0x189e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,33,-,0000,-,00,00,16,0c,-,02,000000,0088,0x0225,-23.329852,-51.177328,07e90319142b18,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:43:24 
25/03/2025,20:48:13,25/03/2025,17:43:39,8674886293973,0x189f,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,33,-,0000,-,00,00,16,0c,-,03,000000,00a6,0x0239,-23.330016,-51.177287,07e90319142b25,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:43:37 
25/03/2025,20:48:14,25/03/2025,17:43:49,8674886293973,0x18a0,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,34,-,0000,-,00,00,16,0c,-,02,000000,00a6,0x0239,-23.330016,-51.177287,07e90319142b2f,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:43:47 
25/03/2025,20:48:15,25/03/2025,17:43:59,8674886293973,0x18a1,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,34,-,0000,-,00,00,16,0c,-,04,000000,00a6,0x0238,-23.330258,-51.177176,07e90319142b39,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:43:57 
25/03/2025,20:48:16,25/03/2025,17:44:09,8674886293973,0x18a2,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,33,-,0000,-,00,00,16,0c,-,03,000404,0065,0x0231,-23.330334,-51.177081,07e90319142c07,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:44:07 
25/03/2025,20:48:16,25/03/2025,17:44:19,8674886293973,0x18a3,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,33,-,0000,-,00,00,16,0c,-,03,000307,0063,0x022c,-23.330374,-51.177005,07e90319142c10,0724,0006,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:44:16 
25/03/2025,20:48:17,25/03/2025,17:44:59,8674886293973,0x18a4,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,29,-,0000,-,00,00,16,0c,-,01,000305,0065,0x0238,-23.330496,-51.176555,07e90319142c36,0724,0006,c4a7,07a71402,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 40.0, 2025-03-25 20:44:54 
25/03/2025,20:48:17,25/03/2025,17:45:09,8674886293973,0x18a5,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,30,-,0000,-,00,00,16,0c,-,05,000401,0066,0x023d,-23.330527,-51.176399,07e90319142d07,0724,0006,c4a7,07a71402,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:45:07 
25/03/2025,20:48:18,25/03/2025,17:45:29,8674886293973,0x18a7,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,30,-,0000,-,00,00,16,0c,-,04,000305,006b,0x023e,-23.330549,-51.176167,07e90319142d1a,0724,0006,c4a7,07a71402,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 20.0, 2025-03-25 20:45:26 
25/03/2025,20:48:18,25/03/2025,17:45:39,8674886293973,0x18a8,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,28,-,0000,-,00,00,16,0c,-,03,000000,006b,0x023e,-23.330551,-51.176155,07e90319142d25,0724,0006,c4a7,07a71402,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:45:37 
25/03/2025,20:48:19,25/03/2025,17:45:49,8674886293973,0x18aa,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,28,-,0000,-,00,00,16,0c,-,03,000000,006b,0x023e,-23.330551,-51.176155,07e90319142d2f,0724,0006,c4a7,07a71402,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:45:47 
25/03/2025,20:48:19,25/03/2025,17:45:59,8674886293973,0x18ab,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,26,-,0000,-,00,00,16,0c,-,03,000000,006b,0x023e,-23.330551,-51.176155,07e90319142d39,0724,0006,c4a7,07a71402,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:45:57 
25/03/2025,20:48:20,25/03/2025,17:46:09,8674886293973,0x18ac,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,26,-,0000,-,00,00,16,0c,-,02,000000,006b,0x023e,-23.330551,-51.176155,07e90319142e07,0724,0006,c4a7,07a71402,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:46:07 
25/03/2025,20:48:20,25/03/2025,17:46:19,8674886293973,0x18ad,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,26,-,0000,-,00,00,16,0c,-,01,000000,006b,0x023e,-23.330551,-51.176155,07e90319142e11,0724,0006,c4a7,07a71402,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:46:17 
25/03/2025,20:48:21,25/03/2025,17:46:29,8674886293973,0x18ae,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,25,-,0000,-,00,00,16,0c,-,03,000000,006b,0x023e,-23.330551,-51.176155,07e90319142e1a,0724,0006,c4a7,07a71402,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:46:26 
25/03/2025,20:48:21,25/03/2025,17:46:39,8674886293973,0x18af,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,25,-,0000,-,00,00,16,0c,-,02,000000,006b,0x023e,-23.330551,-51.176155,07e90319142e25,0724,0006,c4a7,07a71416,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:46:37 
25/03/2025,20:48:22,25/03/2025,17:46:49,8674886293973,0x18b0,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,26,-,0000,-,00,00,16,0c,-,04,000000,006b,0x023e,-23.330551,-51.176155,07e90319142e2f,0724,0006,c4a7,07a71416,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:46:47 
25/03/2025,20:48:23,25/03/2025,17:46:59,8674886293973,0x18b1,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,28,-,0000,-,00,00,16,0c,-,05,000207,006b,0x0246,-23.330609,-51.175178,07e90319142e38,0724,0006,c4a7,07a71416,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:46:56 
25/03/2025,20:48:24,25/03/2025,17:47:19,8674886293973,0x18b2,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,28,-,0000,-,00,00,16,0c,-,01,000000,006b,0x0241,-23.330619,-51.17506,07e90319142f11,0724,0006,c4a7,07a6d80b,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 20.0, 2025-03-25 20:47:17 
25/03/2025,20:48:25,25/03/2025,17:47:29,8674886293973,0x18b3,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,29,-,0000,-,00,00,16,0c,-,05,000000,006b,0x0241,-23.330619,-51.17506,07e90319142f1a,0724,0006,c4a7,07a6d80b,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:47:26 
25/03/2025,20:48:25,25/03/2025,17:47:39,8674886293973,0x18b4,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,30,-,0000,-,00,00,16,0c,-,01,000000,006b,0x0241,-23.330619,-51.17506,07e90319142f25,0724,0006,c4a7,07a6d80b,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:47:37 
25/03/2025,20:48:25,25/03/2025,17:47:49,8674886293973,0x18b5,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,30,-,0000,-,00,00,16,0c,-,02,000000,006b,0x0241,-23.330619,-51.17506,07e90319142f2f,0724,0006,c4a7,07a6d80b,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-25 20:47:47 
