Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On
07/03/2025,13:20:56,07/03/2025,16:20:56,8674886293973,0x2859,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,100,12950,0000,0000,00,00,12,00,95,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,13:24:01,,,,,ACK
07/03/2025,13:27:31,,,,,ACK
07/03/2025,13:27:45,07/03/2025,16:27:45,8674886293973,0x285c,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,100,12729,0000,0000,01,00,22,00,409,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,13:27:48,27/16/775,48:40:93,8674886293973,0x285d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,22,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:27:51,07/03/2025,16:27:51,8674886293973,0x285e,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,100,12659,0000,0000,00,00,12,00,6,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,13:27:58,27/16/775,58:40:95,8674886293973,0x285f,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,12,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:28:11,28/16/775,12:40:96,8674886293973,0x2860,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,12,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:28:26,28/16/775,27:40:97,8674886293973,0x2861,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:28:41,28/16/775,42:40:98,8674886293973,0x2862,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:28:56,28/16/775,57:40:99,8674886293973,0x2863,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:29:11,29/16/775,12:40:100,8674886293973,0x2864,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:29:26,29/16/775,27:40:101,8674886293973,0x2865,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:29:41,29/16/775,42:40:102,8674886293973,0x2866,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:29:56,29/16/775,57:40:103,8674886293973,0x2867,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:30:11,30/16/775,12:40:104,8674886293973,0x2868,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:30:26,30/16/775,27:40:105,8674886293973,0x2869,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:30:41,30/16/775,42:40:106,8674886293973,0x286a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:30:56,30/16/775,57:40:107,8674886293973,0x286b,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:31:11,31/16/775,12:40:108,8674886293973,0x286c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:31:26,31/16/775,27:40:109,8674886293973,0x286d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:31:41,31/16/775,42:40:110,8674886293973,0x286e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:31:56,31/16/775,57:40:111,8674886293973,0x286f,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:32:11,32/16/775,12:40:112,8674886293973,0x2870,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:32:26,32/16/775,27:40:113,8674886293973,0x2871,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:32:41,32/16/775,42:40:114,8674886293973,0x2872,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:32:56,32/16/775,57:40:115,8674886293973,0x2873,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:33:11,33/16/775,12:40:116,8674886293973,0x2874,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:33:26,33/16/775,27:40:117,8674886293973,0x2875,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:33:41,33/16/775,42:40:118,8674886293973,0x2876,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:33:56,33/16/775,57:40:119,8674886293973,0x2877,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:34:12,34/16/775,12:40:120,8674886293973,0x2878,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,16,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:34:26,34/16/775,27:40:121,8674886293973,0x2879,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,16,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:34:42,34/16/775,42:40:122,8674886293973,0x287a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:34:56,34/16/775,57:40:123,8674886293973,0x287b,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:35:11,35/16/775,12:40:124,8674886293973,0x287c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:35:26,35/16/775,27:40:125,8674886293973,0x287d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:35:41,35/16/775,42:40:126,8674886293973,0x287e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:35:56,35/16/775,57:40:127,8674886293973,0x287f,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:36:11,36/16/775,12:40:128,8674886293973,0x2880,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:36:26,36/16/775,27:40:129,8674886293973,0x2881,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:36:41,36/16/775,42:40:130,8674886293973,0x2882,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:36:56,36/16/775,57:40:131,8674886293973,0x2883,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:37:11,37/16/775,12:40:132,8674886293973,0x2884,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:37:26,37/16/775,27:40:133,8674886293973,0x2885,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,13:37:41,37/16/775,42:40:134,8674886293973,0x2886,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
