Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites, Report type, Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix
07/04/2025,13:33:50,,,,0x21e9,HBD
07/04/2025,13:33:51,07/04/2025,13:32:26,8674886293973,0x223a,GTPDP,0x00fe7fbf,802003,0x0902,0x0915,100,11514,0000,0000,01,02,22,00,-,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
07/04/2025,13:33:51,07/04/2025,11:35:54,8674886293973,0x21db,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,100,11521,0000,0000,00,02,12,00,-,965,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
07/04/2025,13:33:51,07/04/2025,11:35:55,8674886293973,0x21dc,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,100,11521,0000,0000,01,02,22,00,-,1,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
07/04/2025,13:33:51,07/04/2025,11:35:56,8674886293973,0x21dd,GTIGL,0x00fe7fbf,802003,0x0902,0x0915,100,11521,0000,0000,01,02,22,00,-,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-,None
07/04/2025,13:33:51,07/04/2025,13:07:45,8674886293973,0x21ea,GTPNR,0x00fe7fbf,802003,0x0902,0x0915,100,0,0000,0000,00,02,41,00,-,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000000,0x000000,0x000000000000,-,00, -,-
07/04/2025,13:33:51,07/04/2025,13:07:47,8674886293973,0x21eb,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,100,11562,0000,0000,01,02,21,00,-,4,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
07/04/2025,13:33:51,07/04/2025,13:07:47,8674886293973,0x21ec,GTMPN,0x00fe7fbf,802003,0x0902,0x0915,100,11562,0000,0000,01,02,22,00,-,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
07/04/2025,13:33:51,07/04/2025,13:07:58,8674886293973,0x21ed,GTBTC,0x00fe7fbf,802003,0x0902,0x0915,100,11510,0000,0000,01,02,22,00,-,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
07/04/2025,13:33:51,07/04/2025,13:08:00,8674886293973,0x21ee,GTSTC,0x00fe7fbf,802003,0x0902,0x0915,100,11510,0000,0000,01,02,22,00,-,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0000,0000,0000,00000000,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None
