Data,Hora,Origem,Payload
13/03/2025,16:03:30,D,2b41434b666f2680200309020915564a5806025d610300ffff07e9030d130320014623a90d0a
13/03/2025,16:03:30,S,+SACK:0146$
13/03/2025,16:03:41,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364368100000000010022000000151301000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030d13032c0147b35e0d0a
13/03/2025,16:03:41,S,+SACK:0147$
13/03/2025,16:03:41,D,2b4556540900fe7fbf006680200309020915564a5806025d6103643681000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030d13032c01480a490d0a
13/03/2025,16:03:41,S,+SACK:0148$
13/03/2025,16:03:50,D,2b41434b106f2680200309020915564a5806025d610303ffff07e9030d1303340149bb8b0d0a
13/03/2025,16:03:50,S,+SACK:0149$
13/03/2025,16:03:50,D,2b4556543100fe7fbf006780200309020915564a5806025d610364363d00000000010022000201000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030d130334014a955a0d0a
13/03/2025,16:03:50,S,+SACK:014a$
13/03/2025,16:04:12,D,2b484244ef2280200309020915564a5806025d610307e9030d13040d014b7fcf0d0a
13/03/2025,16:04:12,S,+SACK:GTHBD,8020030902,014b$
13/03/2025,16:04:12,D,2b4556543000fe7fbf006780200309020915564a5806025d61036400000000000000004100020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e9030d13040e014c37ec0d0a
13/03/2025,16:04:12,S,+SACK:014c$
13/03/2025,16:04:13,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364000000000000010021000000000301000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030d130410014da38a0d0a
13/03/2025,16:04:13,S,+SACK:014d$
13/03/2025,16:04:13,D,2b4556540900fe7fbf006680200309020915564a5806025d6103640000000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030d130410014e886a0d0a
13/03/2025,16:04:13,S,+SACK:014e$
13/03/2025,16:04:14,D,2b4556540900fe7fbf006680200309020915564a5806025d6103640000000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030d130410014fac4f0d0a
13/03/2025,16:04:14,S,+SACK:014f$
13/03/2025,16:04:14,D,2b4556540300fe7fbf006680200309020915564a5806025d6103643676000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030d1304110150e6b90d0a
13/03/2025,16:04:15,S,+SACK:0150$
13/03/2025,16:05:05,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364364c00000000000012000000003d01000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030d130508015186250d0a
13/03/2025,16:05:05,S,+SACK:0151$
13/03/2025,16:05:05,D,2b4556540900fe7fbf006680200309020915564a5806025d610364364c000000000000120001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030d13050801520c740d0a
13/03/2025,16:05:05,S,+SACK:0152$
13/03/2025,16:06:12,D,2b484244ef2280200309020915564a5806025d610307e9030d13060e015358ce0d0a
13/03/2025,16:06:12,S,+SACK:GTHBD,8020030902,0153$
13/03/2025,16:06:20,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e9030d1306150154b2120d0a
13/03/2025,16:06:20,S,+SACK:0154$
13/03/2025,16:06:40,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e9030d13062a01554ba70d0a
13/03/2025,16:06:40,S,+SACK:0155$
13/03/2025,16:06:42,D,2b5253500b00fe7fbf006780200309020915564a5806025d610364367400000000000012000001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030d13062c0156ef830d0a
13/03/2025,16:06:42,S,+SACK:0156$
13/03/2025,16:06:42,D,2b5253501000fe7fbf006780200309020915564a5806025d610364367400000000000012000001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030d13062c01575aba0d0a
13/03/2025,16:06:42,S,+SACK:0157$
13/03/2025,16:06:43,D,2b5253501000fe7fbf006780200309020915564a5806025d610364367400000000000012000101000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030d13062c0158d0890d0a
13/03/2025,16:06:43,S,+SACK:0158$
13/03/2025,16:06:54,D,2b41434b106f2680200309020915564a5806025d610303ffff07e9030d1306380159609e0d0a
13/03/2025,16:06:54,S,+SACK:0159$
13/03/2025,16:06:55,D,2b4556543100fe7fbf006780200309020915564a5806025d610364367400000000000012000201000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030d130638015adec10d0a
13/03/2025,16:06:55,S,+SACK:015a$
13/03/2025,16:07:17,D,2b484244ef2280200309020915564a5806025d610307e9030d130711015bc0200d0a
13/03/2025,16:07:17,S,+SACK:GTHBD,8020030902,015b$
13/03/2025,16:07:17,D,2b4556543000fe7fbf006780200309020915564a5806025d61036400000000000000004100020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e9030d130711015cd1530d0a
13/03/2025,16:07:17,S,+SACK:015c$
13/03/2025,16:07:18,D,2b4556540900fe7fbf006680200309020915564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030d130713015dc4450d0a
13/03/2025,16:07:18,S,+SACK:015d$
