Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On
07/03/2025,14:54:54,07/03/2025,17:54:55,8674886293973,0x2927,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,14:54:59,07/03/2025,17:55:00,8674886293973,0x2928,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,100,12771,0000,0000,01,00,22,00,1241,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,14:55:06,07/03/2025,17:55:06,8674886293973,0x2929,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,00,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,14:55:06,07/03/2025,17:55:07,8674886293973,0x292a,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,100,12745,0000,0000,00,00,12,00,6,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,14:55:11,07/03/2025,17:55:11,8674886293973,0x292b,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,00,00,12,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,14:55:41,07/03/2025,17:55:42,8674886293973,0x292c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,00,00,12,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,14:56:41,07/03/2025,17:56:42,8674886293973,0x292e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,14:57:11,07/03/2025,17:57:12,8674886293973,0x292f,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,00,00,16,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,14:57:41,07/03/2025,17:57:42,8674886293973,0x2930,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,00,00,16,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,14:57:48,,,,,ACK
07/03/2025,14:57:51,07/03/2025,17:57:52,8674886293973,0x2932,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0000,-,00,00,16,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
