Data,Hora,Origem,Payload
10/03/2025,10:27:02,D,2b4556540900fe7fbf006680200309020915564a5806025d6103643251000000000000110001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a192a2e2037440d0a
10/03/2025,10:27:02,S,+SACK:2e20$
10/03/2025,10:27:02,D,2b484244ef2280200309020915564a5806025d610307e9030a0a19302e22552a0d0a
10/03/2025,10:27:02,S,+SACK:GTHBD,8020030902,2e22$
10/03/2025,10:27:02,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a192f2e21ebc50d0a
10/03/2025,10:27:02,S,+SACK:2e21$
10/03/2025,10:27:03,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a19392e233a440d0a
10/03/2025,10:27:03,S,+SACK:2e23$
10/03/2025,10:27:03,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1a072e240fdb0d0a
10/03/2025,10:27:03,S,+SACK:2e24$
10/03/2025,10:27:04,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1a112e25ee390d0a
10/03/2025,10:27:04,S,+SACK:2e25$
10/03/2025,10:27:04,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1a1b2e26f91a0d0a
10/03/2025,10:27:04,S,+SACK:2e26$
10/03/2025,10:27:05,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1a252e27379f0d0a
10/03/2025,10:27:05,S,+SACK:2e27$
10/03/2025,10:27:05,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1a2f2e2801b10d0a
10/03/2025,10:27:05,S,+SACK:2e28$
10/03/2025,10:27:06,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1a392e29e0530d0a
10/03/2025,10:27:06,S,+SACK:2e29$
10/03/2025,10:27:06,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1b072e2a78200d0a
10/03/2025,10:27:06,S,+SACK:2e2a$
10/03/2025,10:27:15,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1b112e2b99c20d0a
10/03/2025,10:27:15,S,+SACK:2e2b$
10/03/2025,10:27:21,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61036431a200000000010022000000007901000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1b162e2cd7f40d0a
10/03/2025,10:27:21,S,+SACK:2e2c$
10/03/2025,10:27:21,D,2b4556540900fe7fbf006680200309020915564a5806025d61036431a2000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1b162e2d00c00d0a
10/03/2025,10:27:21,S,+SACK:2e2d$
10/03/2025,10:27:29,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000010022001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1b1e2e2e66080d0a
10/03/2025,10:27:29,S,+SACK:2e2e$
10/03/2025,10:27:53,D,2b4556540900fe7fbf006680200309020915564a5806025d610364319c000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1b362e2f5d6f0d0a
10/03/2025,10:27:53,S,+SACK:2e2f$
10/03/2025,10:28:26,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000010021001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1c1c2e30d86d0d0a
10/03/2025,10:28:26,S,+SACK:2e30$
10/03/2025,10:28:40,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61036431cf00000000000011000000004f01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1c292e3157b30d0a
10/03/2025,10:28:40,S,+SACK:2e31$
10/03/2025,10:28:40,D,2b4556540900fe7fbf006680200309020915564a5806025d61036431cf000000000000110001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1c292e32b66d0d0a
10/03/2025,10:28:40,S,+SACK:2e32$
10/03/2025,10:28:44,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1c2d2e330b930d0a
10/03/2025,10:28:44,S,+SACK:2e33$
10/03/2025,10:28:55,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1c392e34e4d70d0a
10/03/2025,10:28:55,S,+SACK:2e34$
10/03/2025,10:29:02,D,2b484244ef2280200309020915564a5806025d610307e9030a0a1d032e3561f80d0a
10/03/2025,10:29:02,S,+SACK:GTHBD,8020030902,2e35$
10/03/2025,10:29:05,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1d072e366c850d0a
10/03/2025,10:29:05,S,+SACK:2e36$
10/03/2025,10:29:15,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1d112e378d670d0a
10/03/2025,10:29:15,S,+SACK:2e37$
10/03/2025,10:29:25,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0a1d1b2e385bc80d0a
10/03/2025,10:29:25,S,+SACK:2e38$
