Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On
07/03/2025,10:26:22,26/13/775,23:40:52,8674886293973,0x2834,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,84,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:26:52,26/13/775,53:40:53,8674886293973,0x2835,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,85,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:27:22,27/13/775,23:40:54,8674886293973,0x2836,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,85,0,0000,-,16,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:27:52,27/13/775,53:40:55,8674886293973,0x2837,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,85,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:28:22,28/13/775,23:40:56,8674886293973,0x2838,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,86,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:28:52,28/13/775,53:40:57,8674886293973,0x2839,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,86,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:29:22,29/13/775,23:40:58,8674886293973,0x283a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,86,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:29:52,29/13/775,53:40:59,8674886293973,0x283b,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,87,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:30:22,30/13/775,23:40:60,8674886293973,0x283c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,87,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:30:52,30/13/775,53:40:61,8674886293973,0x283d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,88,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:31:22,31/13/775,23:40:62,8674886293973,0x283e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,88,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:31:52,31/13/775,53:40:63,8674886293973,0x283f,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,88,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:32:17,,,,,ACK
07/03/2025,10:33:56,,,,,ACK
07/03/2025,11:22:32,,,,,ACK
07/03/2025,11:42:26,,,,,ACK
07/03/2025,11:44:30,,,,,ACK
07/03/2025,11:44:43,,,,,ACK
07/03/2025,11:45:25,,,,,ACK
