Data,Hora,Origem,Payload
27/03/2025,08:16:50,D,2b484244ef2280200309020915564a5806025d610307e9031b080d214056fdbe0d0a
27/03/2025,08:16:50,S,+SACK:GTHBD,8020030902,4056$
27/03/2025,08:16:50,D,2b4253500700fe2fbf006380200309020915564a5806025d61036200000100210c10010100000000ee023ffcf2e7c1fe9c1e8807e9031a01373a07240006c4a707a6b01500000000000000020800000000000000000007e903191638001d32a22d0d0a
27/03/2025,08:16:50,S,+SACK:1d32$
27/03/2025,08:16:50,D,2b4253500700fe2fbf006380200309020915564a5806025d61036200000100210910010100000000ee023ffcf2e7c1fe9c1e8807e9031a01380307240006c4a707a6b01500000000000000020800000000000000000007e903191638051d3389d00d0a
27/03/2025,08:16:50,S,+SACK:1d33$
27/03/2025,08:16:51,D,2b4253500700fe2fbf006380200309020915564a5806025d61036200000100210910010100000000ee023ffcf2e7c1fe9c1e8807e9031a01380807240006c4a707a6b01500000000000000020800000000000000000007e9031916380a1d34bcb50d0a
27/03/2025,08:16:51,S,+SACK:1d34$
27/03/2025,08:16:51,D,2b4253500700fe2fbf006380200309020915564a5806025d61036200000100210b10010100000000ee023ffcf2e7c1fe9c1e8807e9031a01380d07240006c4a707a6b01500000000000000020800000000000000000007e9031916380f1d36166b0d0a
27/03/2025,08:16:51,S,+SACK:1d36$
27/03/2025,08:16:52,D,2b4253500700fe2fbf006380200309020915564a5806025d61036300000100210a10010100000000ee023ffcf2e7c1fe9c1e8807e9031a01381207240006c4a707a6b01500000000000000020800000000000000000007e903191638141d37a5ff0d0a
27/03/2025,08:16:52,S,+SACK:1d37$
27/03/2025,08:16:52,D,2b4253500700fe2fbf006380200309020915564a5806025d61036300000100210810010100000000ee023ffcf2e7c1fe9c1e8807e9031a01381707240006c4a707a6b01500000000000000020800000000000000000007e903191638191d38772d0d0a
27/03/2025,08:16:52,S,+SACK:1d38$
27/03/2025,08:16:53,D,2b4253500700fe2fbf006380200309020915564a5806025d61036300000100210a10010100000000ee023ffcf2e7c1fe9c1e8807e9031a01381c07240006c4a707a6b01500000000000000020800000000000000000007e9031916381e1d39acd70d0a
