Data,Hora,Origem,Payload
31/03/2025,07:48:51,D,2b4256543000fe7fbf006780200309020915564a5806025d61036400000000000000004100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e9031e150b33df9c77fa0d0a
31/03/2025,07:48:51,S,+SACK:df9c$
31/03/2025,07:48:51,D,2b4556540c00fe7fbf006680200309020915564a5806025d6103642d0f000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9031f072d2ffcd35ef20d0a
31/03/2025,07:48:51,S,+SACK:fcd3$
31/03/2025,07:48:52,D,2b4256540d00fe7fbf006a80200309020915564a5806025d610364000000000000010021000000000301000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150b34df9dbbd50d0a
31/03/2025,07:48:52,S,+SACK:df9d$
31/03/2025,07:48:52,D,2b4256540900fe7fbf006680200309020915564a5806025d6103640000000000000100210001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150b34df9e90350d0a
31/03/2025,07:48:52,S,+SACK:df9e$
31/03/2025,07:48:53,D,2b4256540300fe7fbf006680200309020915564a5806025d6103642c40000000000100210001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150b35df9f78390d0a
31/03/2025,07:48:53,S,+SACK:df9f$
31/03/2025,07:48:53,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c040000010021001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150c02dfa0042d0d0a
31/03/2025,07:48:53,S,+SACK:dfa0$
31/03/2025,07:48:54,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c040000010021001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150c04dfa1a6ac0d0a
31/03/2025,07:48:54,S,+SACK:dfa1$
31/03/2025,07:48:54,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c040000010021001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150c09dfa2d49e0d0a
31/03/2025,07:48:54,S,+SACK:dfa2$
31/03/2025,07:48:55,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c040000010021001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150c0edfa3412f0d0a
31/03/2025,07:48:55,S,+SACK:dfa3$
31/03/2025,07:48:55,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c040000010021001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150c13dfa430fa0d0a
31/03/2025,07:48:55,S,+SACK:dfa4$
31/03/2025,07:48:56,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c040000010021001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150c18dfa5d02a0d0a
31/03/2025,07:48:56,S,+SACK:dfa5$
31/03/2025,07:48:56,D,2b4256540900fe7fbf006680200309020915564a5806025d6103642c04000000000100220001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150c19dfa645a70d0a
31/03/2025,07:48:56,S,+SACK:dfa6$
31/03/2025,07:48:57,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c040000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150c1ddfa7694f0d0a
31/03/2025,07:48:57,S,+SACK:dfa7$
31/03/2025,07:48:58,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c040000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150c22dfa871340d0a
31/03/2025,07:48:58,S,+SACK:dfa8$
31/03/2025,07:48:58,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c040000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150c27dfa98ae50d0a
31/03/2025,07:48:58,S,+SACK:dfa9$
31/03/2025,07:48:58,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c040000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150c2cdfaa4a770d0a
31/03/2025,07:48:58,S,+SACK:dfaa$
31/03/2025,07:48:59,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c040000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150c31dfab5b640d0a
31/03/2025,07:48:59,S,+SACK:dfab$
31/03/2025,07:48:59,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c040000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150c36dfacae130d0a
31/03/2025,07:48:59,S,+SACK:dfac$
31/03/2025,07:49:00,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c240000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150c3bdfad3ecf0d0a
31/03/2025,07:49:00,S,+SACK:dfad$
31/03/2025,07:49:00,D,2b4256540900fe7fbf006680200309020915564a5806025d6103642c24000000000100210001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150d03dfae57b30d0a
31/03/2025,07:49:00,S,+SACK:dfae$
31/03/2025,07:49:01,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c240000010021001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e150d04dfaff37a0d0a
31/03/2025,07:49:01,S,+SACK:dfaf$
