Data,Hora,Origem,Payload
01/04/2025,16:37:45,D,2b484244ef2280200309020915564a5806025d610307e9040110252e07a1eb140d0a
01/04/2025,16:37:45,S,+SACK:GTHBD,8020030902,07a1$
01/04/2025,16:38:15,D,2b484244ef2280200309020915564a5806025d610307e9040110261107a5d9d80d0a
01/04/2025,16:38:15,S,+SACK:GTHBD,8020030902,07a5$
01/04/2025,16:38:15,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642d0f00000000010022002001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040110253b07a272a30d0a
01/04/2025,16:38:15,S,+SACK:07a2$
01/04/2025,16:38:15,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642cd500000000010022002101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040110260e07a394ce0d0a
01/04/2025,16:38:15,S,+SACK:07a3$
01/04/2025,16:38:15,D,2b4556540e00fe7fbf006a80200309020915564a5806025d6103642cd500000000000012000000180b01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040110261007a401ee0d0a
01/04/2025,16:38:15,S,+SACK:07a4$
01/04/2025,16:38:17,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642cd500000000000012002001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040110261307a6af8d0d0a
01/04/2025,16:38:17,S,+SACK:07a6$
01/04/2025,16:38:18,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cd500000000000012000101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040110261307a7091d0d0a
01/04/2025,16:38:18,S,+SACK:07a7$
01/04/2025,16:38:29,D,2b4556540d00fe7fbf006a80200309020915564a5806025d6103642d0a00000000010022000000000f01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040110261e07a851e00d0a
01/04/2025,16:38:29,S,+SACK:07a8$
01/04/2025,16:38:32,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cc800000000010022000001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040110262207a9fb160d0a
01/04/2025,16:38:32,S,+SACK:07a9$
01/04/2025,16:38:37,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642cc800000000050022002101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040110262707aab4690d0a
01/04/2025,16:38:37,S,+SACK:07aa$
01/04/2025,16:39:19,D,2b41434b196f2680200309020915564a5806025d610300ffff07e9040110271507ab38050d0a
01/04/2025,16:39:19,S,+SACK:07ab$
01/04/2025,16:39:23,D,2b41434b196f2680200309020915564a5806025d610300ffff07e9040110271907ac3d830d0a
01/04/2025,16:39:23,S,+SACK:07ac$
01/04/2025,16:39:37,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642ca200000000010022002001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040110272707ade61a0d0a
01/04/2025,16:39:38,S,+SACK:07ad$
01/04/2025,16:39:52,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642cd400000000050022002101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040110273607aef5bc0d0a
01/04/2025,16:39:52,S,+SACK:07ae$
01/04/2025,16:40:15,D,2b484244ef2280200309020915564a5806025d610307e9040110281107afdac80d0a
01/04/2025,16:40:15,S,+SACK:GTHBD,8020030902,07af$
01/04/2025,16:40:32,D,2b41434b196f2680200309020915564a5806025d610300ffff07e9040110282107b056d40d0a
01/04/2025,16:40:32,S,+SACK:07b0$
01/04/2025,16:40:48,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642ce600000000010022002001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040110283107b118a00d0a
01/04/2025,16:40:48,S,+SACK:07b1$
01/04/2025,16:40:54,D,2b41434b196f2680200309020915564a5806025d610300ffff07e9040110283807b2ab640d0a
01/04/2025,16:40:55,S,+SACK:07b2$
01/04/2025,16:41:03,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642d0d00000000050022002101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040110290407b38fd10d0a
01/04/2025,16:41:03,S,+SACK:07b3$
01/04/2025,16:41:25,D,2b41434b196f2680200309020915564a5806025d610300ffff07e9040110291b07b462800d0a
01/04/2025,16:41:25,S,+SACK:07b4$
01/04/2025,16:41:58,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642d1000000000070022001101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040110293b07b553710d0a
01/04/2025,16:41:58,S,+SACK:07b5$
01/04/2025,16:42:08,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642d1000000000050022001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401102a0907b6b1e90d0a
01/04/2025,16:42:08,S,+SACK:07b6$
01/04/2025,16:42:15,D,2b484244ef2280200309020915564a5806025d610307e90401102a1107b7a4990d0a
01/04/2025,16:42:15,S,+SACK:GTHBD,8020030902,07b7$
01/04/2025,16:42:58,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642cc200000000070021001101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401102a3b07b852da0d0a
01/04/2025,16:42:58,S,+SACK:07b8$
01/04/2025,16:43:13,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642d0b00000000030022002001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401102b0e07b9c4420d0a
01/04/2025,16:43:13,S,+SACK:07b9$
01/04/2025,16:43:23,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642d0f00000000010022001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401102b1807badb1e0d0a
01/04/2025,16:43:23,S,+SACK:07ba$
01/04/2025,16:44:08,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642d0500000000070022001101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401102c0907bb2faf0d0a
01/04/2025,16:44:08,S,+SACK:07bb$
01/04/2025,16:44:08,D,2b5253500500fe7fbf006780200309020915564a5806025d6103642d0500000000070022002101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401102c0907bc18000d0a
01/04/2025,16:44:08,S,+SACK:07bc$
01/04/2025,16:44:08,D,2b5253500c00fe7fbf006780200309020915564a5806025d6103642d0500000000070022002301000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401102c0907bd6c8e0d0a
01/04/2025,16:44:08,S,+SACK:07bd$
01/04/2025,16:44:08,D,2b4556543100fe7fbf006780200309020915564a5806025d6103642d0500000000070022000301000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401102c0a07be660a0d0a
01/04/2025,16:44:08,S,+SACK:07be$
01/04/2025,16:44:30,D,2b484244ef2280200309020915564a5806025d610307e90401102c1e07bf2e390d0a
01/04/2025,16:44:30,S,+SACK:GTHBD,8020030902,07bf$
01/04/2025,16:44:30,D,2b4556543000fe7fbf006780200309020915564a5806025d61036400000000000004004100030100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e90401102c1f07c0ae640d0a
01/04/2025,16:44:30,S,+SACK:07c0$
01/04/2025,16:44:31,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364000000000000070021000000000201000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401102c2007c162f20d0a
01/04/2025,16:44:31,S,+SACK:07c1$
01/04/2025,16:44:32,D,2b4556540300fe7fbf006680200309020915564a5806025d6103642d49000000000700210001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401102c2107c2f9d80d0a
01/04/2025,16:44:32,S,+SACK:07c2$
01/04/2025,16:46:30,D,2b484244ef2280200309020915564a5806025d610307e90401102e1e07c37c4a0d0a
01/04/2025,16:46:30,S,+SACK:GTHBD,8020030902,07c3$
01/04/2025,16:47:00,D,2b5253500b00fe7fbf006780200309020915564a5806025d6103642cda00000000070021000001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401102f0007c4330d0d0a
01/04/2025,16:47:00,S,+SACK:07c4$
01/04/2025,16:47:00,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cda00000000070021000001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401102f0007c586340d0a
01/04/2025,16:47:00,S,+SACK:07c5$
