Data,Hora,Origem,Payload
21/03/2025,15:12:59,D,2b41434b106f2680200309020915564a5806025d610304ffff07e9031512082167eedc5a0d0a
21/03/2025,15:12:59,S,+SACK:67ee$
21/03/2025,15:12:59,D,2b484244ef2280200309020915564a5806025d610307e90315120a3367f339f90d0a
21/03/2025,15:12:59,S,+SACK:GTHBD,8020030902,67f3$
21/03/2025,15:13:00,D,2b4556543500fe7fbf008380200309020915564a5806025d6103052e3a000000000100210b0d0347563538434725494d454900780541296d6300004cb04ad2cb920001050000000000025efcf2e87ffe9c1d3b07e9031512090607240006c4a707a6b00b00000000000000020700000000000000000007e9031512090667f0fea60d0a
21/03/2025,15:13:00,S,+SACK:67f0$
21/03/2025,15:13:00,D,2b4556540900fe7fbf006680200309020915564a5806025d6103092e3a000000000100220a01050000000000025efcf2e87ffe9c1d3b07e9031512092c07240006c4a707a6b00b00000000000000020700000000000000000007e9031512092d67f1a2390d0a
21/03/2025,15:13:00,S,+SACK:67f1$
21/03/2025,15:13:00,D,2b4556540900fe7fbf006680200309020915564a5806025d61030c2e62000000000100210a01010000000000025bfcf2e890fe9c1d3b07e90315120a1407240006c4a707a6b00b00000000000000020700000000000000000007e90315120a1467f2ab960d0a
21/03/2025,15:13:00,S,+SACK:67f2$
21/03/2025,15:13:01,D,2b4556543400fe7fbf008280200309020915564a5806025d6103122e30000000000100210b0d0347563538434725494d454900780541296d6300004cb04ad2cb9201010000000000025bfcf2e890fe9c1d3b07e90315120b0807240006c4a707a6b00b00000000000000020700000000000000000007e90315120b0867f412330d0a
21/03/2025,15:13:01,S,+SACK:67f4$
21/03/2025,15:13:01,D,2b4556540900fe7fbf006680200309020915564a5806025d6103172e58000000000100220b01010000000000025bfcf2e890fe9c1d3b07e90315120c3707240006c4a707a6b00b00000000000000020700000000000000000007e90315120c3867f5884f0d0a
21/03/2025,15:13:01,S,+SACK:67f5$
21/03/2025,15:13:32,D,2b4556540900fe7fbf006680200309020915564a5806025d6103182e81000000000100210c01010000000083026cfcf2e98ffe9c1d6307e90315120d2107240006c4a707a6b00b00000000000000020800000000000000000007e90315120d2267f6bca10d0a
21/03/2025,15:13:33,S,+SACK:67f6$
21/03/2025,15:15:02,D,2b484244ef2280200309020915564a5806025d610307e90315120f0067f759cd0d0a
21/03/2025,15:15:02,S,+SACK:GTHBD,8020030902,67f7$
21/03/2025,15:17:00,D,2b484244ef2280200309020915564a5806025d610307e9031512110167f826ef0d0a
21/03/2025,15:17:00,S,+SACK:GTHBD,8020030902,67f8$
21/03/2025,15:19:00,D,2b484244ef2280200309020915564a5806025d610307e9031512130167f9dba60d0a
21/03/2025,15:19:00,S,+SACK:GTHBD,8020030902,67f9$
21/03/2025,15:21:00,D,2b484244ef2280200309020915564a5806025d610307e9031512150167facc5c0d0a
21/03/2025,15:21:00,S,+SACK:GTHBD,8020030902,67fa$
21/03/2025,15:23:00,D,2b484244ef2280200309020915564a5806025d610307e9031512170167fb31150d0a
21/03/2025,15:23:00,S,+SACK:GTHBD,8020030902,67fb$
21/03/2025,15:25:00,D,2b484244ef2280200309020915564a5806025d610307e9031512190167fce3a80d0a
21/03/2025,15:25:00,S,+SACK:GTHBD,8020030902,67fc$
21/03/2025,15:27:00,D,2b484244ef2280200309020915564a5806025d610307e90315121b0167fd1ee10d0a
21/03/2025,15:27:00,S,+SACK:GTHBD,8020030902,67fd$
21/03/2025,15:29:00,D,2b484244ef2280200309020915564a5806025d610307e90315121d0167fe091b0d0a
21/03/2025,15:29:00,S,+SACK:GTHBD,8020030902,67fe$
21/03/2025,15:31:00,D,2b484244ef2280200309020915564a5806025d610307e90315121f0167fff4520d0a
21/03/2025,15:31:00,S,+SACK:GTHBD,8020030902,67ff$
21/03/2025,15:32:12,D,2b41434b0a6f2680200309020915564a5806025d610300ffff07e9031512200e68000e1c0d0a
21/03/2025,15:32:12,S,+SACK:6800$
21/03/2025,15:32:26,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e903150f201c68011f010d0a
21/03/2025,15:32:26,S,+SACK:6801$
21/03/2025,15:32:27,D,2b5253500700fe2fbf006380200309020915564a5806025d61032900000100210c1001010000000083026cfcf2e98ffe9c1d6307e9031512201c07240006c4a707a6b00100000000000000020800000000000000000007e903150f201d680290310d0a
21/03/2025,15:32:27,S,+SACK:6802$
21/03/2025,15:32:28,D,2b5253500700fe2fbf006380200309020915564a5806025d61032900000100210c1001010000000083026cfcf2e98ffe9c1d6307e9031512201d07240006c4a707a6b00100000000000000020800000000000000000007e903150f201e68033ddb0d0a
21/03/2025,15:32:28,S,+SACK:6803$
21/03/2025,15:32:29,D,2b5253500700fe2fbf006380200309020915564a5806025d61032900000100210c1001010000000083026cfcf2e98ffe9c1d6307e9031512201e07240006c4a707a6b00100000000000000020800000000000000000007e903150f201f680447800d0a
21/03/2025,15:32:29,S,+SACK:6804$
21/03/2025,15:32:30,D,2b5253500700fe2fbf006380200309020915564a5806025d61032900000100210c1001010000000083026cfcf2e98ffe9c1d6307e9031512201f07240006c4a707a6b00100000000000000020800000000000000000007e903150f202068055aae0d0a
21/03/2025,15:32:30,S,+SACK:6805$
21/03/2025,15:32:31,D,2b5253500700fe2fbf006380200309020915564a5806025d61032900000100210c1001010000000083026cfcf2e98ffe9c1d6307e9031512202007240006c4a707a6b00100000000000000020800000000000000000007e903150f202168067ee20d0a
21/03/2025,15:32:31,S,+SACK:6806$
