Data,Hora,Origem,Payload
24/03/2025,13:11:17,D,2b4253500700fe2fbf006380200309020915564a5806025d61036400000100210b10010100000000000256fcf31762fe9c037807e903180d060907240006c4a707a7140c00000000000000020800000000000000000007e903180a060bd61dadf20d0a
24/03/2025,13:11:17,S,+SACK:d61d$
24/03/2025,13:11:17,D,2b484244ef2280200309020915564a5806025d610307e903180d0a1efd7d55e80d0a
24/03/2025,13:11:17,S,+SACK:GTHBD,8020030902,fd7d$
24/03/2025,13:11:18,D,2b4253500700fe2fbf006380200309020915564a5806025d61036400000100210b10010100000000000256fcf31762fe9c037807e903180d060a07240006c4a707a7140c00000000000000020800000000000000000007e903180a060cd61e258d0d0a
24/03/2025,13:11:18,S,+SACK:d61e$
24/03/2025,13:11:18,D,2b4253500700fe2fbf006380200309020915564a5806025d61036400000100210b10010100000000000256fcf31762fe9c037807e903180d060b07240006c4a707a7140c00000000000000020800000000000000000007e903180a060dd61fe6070d0a
24/03/2025,13:11:18,S,+SACK:d61f$
24/03/2025,13:11:19,D,2b4253500700fe2fbf006380200309020915564a5806025d61036400000100210b10010100000000000256fcf31762fe9c037807e903180d060c07240006c4a707a7140c00000000000000020800000000000000000007e903180a060ed620e7680d0a
24/03/2025,13:11:19,S,+SACK:d620$
24/03/2025,13:11:19,D,2b4253500700fe2fbf006380200309020915564a5806025d61036400000100210b10010100000000000256fcf31762fe9c037807e903180d060d07240006c4a707a7140c00000000000000020800000000000000000007e903180a060fd62124e20d0a
24/03/2025,13:11:19,S,+SACK:d621$
24/03/2025,13:11:20,D,2b4253500700fe2fbf006380200309020915564a5806025d61036400000100210b10010100000000000256fcf31762fe9c037807e903180d060e07240006c4a707a7140c00000000000000020800000000000000000007e903180a0610d622465f0d0a
24/03/2025,13:11:20,S,+SACK:d622$
24/03/2025,13:11:20,D,2b4253500700fe2fbf006380200309020915564a5806025d61036400000100210b10010100000000000256fcf31762fe9c037807e903180d060f07240006c4a707a7140c00000000000000020800000000000000000007e903180a0611d62385d50d0a
24/03/2025,13:11:20,S,+SACK:d623$
24/03/2025,13:11:21,D,2b4253500700fe2fbf006380200309020915564a5806025d61036400000100210b10010100000000000256fcf31762fe9c037807e903180d061007240006c4a707a7140c00000000000000020800000000000000000007e903180a0612d624cfa00d0a
24/03/2025,13:11:21,S,+SACK:d624$
