Data,Hora,Origem,Payload
12/03/2025,15:10:17,D,2b484244ef228020030a030a07564a5806025d610307e9030c0f073947d0892b0d0a
12/03/2025,15:10:17,S,+SACK:GTHBD,8020030a03,47d0$
12/03/2025,15:10:17,D,2b4253500700fe2fbf00638020030a030a07564a5806025d6103640000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0f070947cd156a0d0a
12/03/2025,15:10:17,S,+SACK:47cd$
12/03/2025,15:10:18,D,2b5253500700fe2fbf00638020030a030a07564a5806025d6103640000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0f070b47ce4b690d0a
12/03/2025,15:10:18,S,+SACK:47ce$
12/03/2025,15:10:18,D,2b5253500700fe2fbf00638020030a030a07564a5806025d6103640000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0f072947cfb3ee0d0a
12/03/2025,15:10:18,S,+SACK:47cf$
12/03/2025,15:10:19,D,2b5253500700fe2fbf00638020030a030a07564a5806025d6103640000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0f080a47d14b690d0a
12/03/2025,15:10:19,S,+SACK:47d1$
12/03/2025,15:10:19,D,2b5253500700fe2fbf00638020030a030a07564a5806025d6103640000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0f082847d293ac0d0a
12/03/2025,15:10:19,S,+SACK:47d2$
12/03/2025,15:10:20,D,2b5253500700fe2fbf00638020030a030a07564a5806025d6103640000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0f090b47d32aaf0d0a
12/03/2025,15:10:20,S,+SACK:47d3$
12/03/2025,15:10:20,D,2b5253500700fe2fbf00638020030a030a07564a5806025d6103640000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0f092947d4b2ee0d0a
12/03/2025,15:10:20,S,+SACK:47d4$
12/03/2025,15:10:21,D,2b5253500700fe2fbf00638020030a030a07564a5806025d6103640000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0f0a0b47d5d1b50d0a
12/03/2025,15:10:21,S,+SACK:47d5$
12/03/2025,15:10:39,D,2b5253500700fe2fbf00638020030a030a07564a5806025d6103640000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0f0a2947d609700d0a
12/03/2025,15:10:39,S,+SACK:47d6$
12/03/2025,15:11:09,D,2b5253500700fe2fbf00638020030a030a07564a5806025d6103640000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0f0b0b47d787430d0a
12/03/2025,15:11:09,S,+SACK:47d7$
12/03/2025,15:11:17,D,2b484244ef228020030a030a07564a5806025d610307e9030c0f0b1247d831260d0a
12/03/2025,15:11:17,S,+SACK:GTHBD,8020030a03,47d8$
12/03/2025,15:11:39,D,2b5253500700fe2fbf00638020030a030a07564a5806025d6103640000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0f0b2947d98e2b0d0a
12/03/2025,15:11:39,S,+SACK:47d9$
12/03/2025,15:12:09,D,2b5253500700fe2fbf00638020030a030a07564a5806025d6103640000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0f0c0b47da07c30d0a
12/03/2025,15:12:09,S,+SACK:47da$
