Data,Hora,Origem,Payload
24/04/2025,15:32:33,D,2b484244ef2280200309020915564a5806025d610307e904180f1f346c869b640d0a
24/04/2025,15:32:33,S,+SACK:GTHBD,8020030902,6c86$
24/04/2025,15:32:33,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cde000101002106100000000400010000000001030000000000023ffcf316e7fe9c03fe07e90418121f1407240006c4a707a7140c0000000000000014040000000000000000000007e904180f1f166c839c9f0d0a
24/04/2025,15:32:34,S,+SACK:6c83$
24/04/2025,15:32:34,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cce000101002106100000000400010000000001030000000000023ffcf316e7fe9c03fe07e90418121f2307240006c4a707a7140c0000000000000014040000000000000000000007e904180f1f256c84fd280d0a
24/04/2025,15:32:34,S,+SACK:6c84$
24/04/2025,15:32:35,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cce000101002105100000000400010000000001030000000000023ffcf316e7fe9c03fe07e90418121f3107240006c4a707a7140c0000000000000014040000000000000000000007e904180f1f346c859dd90d0a
24/04/2025,15:32:35,S,+SACK:6c85$
24/04/2025,15:32:35,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cce000101002105100000000400010000000001030000000000023ffcf316e7fe9c03fe07e9041812200407240006c4a707a7140c0000000000000014040000000000000000000007e904180f20076c870a260d0a
24/04/2025,15:32:35,S,+SACK:6c87$
24/04/2025,15:32:35,D,2b41434b046f2680200309020915564a5806025d610300ffff07e904180f20086c886c650d0a
24/04/2025,15:32:36,S,+SACK:6c88$
24/04/2025,15:32:36,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cce0001010021061000000004001c0000000001030000000000023ffcf316e7fe9c03fe07e9041812201307240006c4a707a714340000000000000014040000000000000000000007e904180f20166c8949d40d0a
24/04/2025,15:32:36,S,+SACK:6c89$
24/04/2025,15:32:37,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002d0b000101002206100000000400010000000001030000000000023ffcf316e7fe9c03fe07e9041812202207240006c4a707a7140c0000000000000014040000000000000000000007e904180f20256c8a39880d0a
24/04/2025,15:32:37,S,+SACK:6c8a$
24/04/2025,15:32:49,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cfb0001010022061000000004000100000000010300000000000274fcf3162bfe9c00ad07e9041812203107240006c4a707a7140c0000000000000014040000000000000000000007e904180f20346c8b38120d0a
24/04/2025,15:32:50,S,+SACK:6c8b$
