Data,Hora,Origem,Payload
21/03/2025,22:29:59,D,2b484244ef2280200309020915564a5806025d610307e40101000006b555b3150d0a
21/03/2025,22:30:00,S,+SACK:GTHBD,8020030902,b555$
21/03/2025,22:30:00,D,2b4556543000fe7fbf006780200309020915564a5806025d61036400000000000000004100000100000000000000000000000000000000000000000000000000000000000000000000000000000000020800000000000000000007e40101000006b556ee020d0a
21/03/2025,22:30:00,S,+SACK:b556$
21/03/2025,22:30:00,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364000000000000010021000000000001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000020800000000000000000007e40101000008b55730d80d0a
21/03/2025,22:30:00,S,+SACK:b557$
21/03/2025,22:30:01,D,2b4556540900fe7fbf006680200309020915564a5806025d6103640000000000000100210001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000020800000000000000000007e40101000008b55856d00d0a
21/03/2025,22:30:01,S,+SACK:b558$
21/03/2025,22:30:01,D,2b4556540900fe7fbf006680200309020915564a5806025d6103640000000000000100220001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000020800000000000000000007e40101000009b55945c50d0a
21/03/2025,22:30:01,S,+SACK:b559$
21/03/2025,22:30:02,D,2b4556540300fe7fbf006680200309020915564a5806025d6103642eaf000000000100220001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000020800000000000000000007e40101000009b55ac4f50d0a
21/03/2025,22:30:02,S,+SACK:b55a$
21/03/2025,22:30:02,D,2b4556543400fe7fbf008280200309020915564a5806025d6103642eaf00000000010022000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000020800000000000000000007e4010100000bb55b5d8f0d0a
21/03/2025,22:30:02,S,+SACK:b55b$
21/03/2025,22:30:03,D,2b4556540700fe7fbf006680200309020915564a5806025d6103642e87000000000100220001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000020800000000000000000007e4010100000bb55c3d880d0a
21/03/2025,22:30:03,S,+SACK:b55c$
