Data,Hora,Origem,Payload
24/03/2025,08:12:44,D,2b4556540900fe7fbf006680200309020915564a5806025d61032d2f24000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000020800000000000000000007e90318080b2ed4a5ec440d0a
24/03/2025,08:12:44,S,+SACK:d4a5$
24/03/2025,08:12:44,D,2b484244ef2280200309020915564a5806025d610307e90318080c13d4a7c53e0d0a
24/03/2025,08:12:44,S,+SACK:GTHBD,8020030902,d4a7$
24/03/2025,08:12:45,D,2b4556540900fe7fbf006680200309020915564a5806025d61032d2f5d000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000020800000000000000000007e90318080b38d4a624800d0a
24/03/2025,08:12:45,S,+SACK:d4a6$
24/03/2025,08:12:57,S,
24/03/2025,08:14:03,D,2b4556543500fe7fbf008380200309020915564a5806025d61032f2f5100000000010022000d0347563538434725494d454900780541296d6300004cb04ad2cb920001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000020800000000000000000007e90318080e05d4a8149e0d0a
24/03/2025,08:14:03,S,+SACK:d4a8$
24/03/2025,08:14:29,D,2b4556540900fe7fbf006680200309020915564a5806025d61032f2f50000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90318080e1fd4a9bab30d0a
24/03/2025,08:14:29,S,+SACK:d4a9$
24/03/2025,08:14:45,D,2b484244ef2280200309020915564a5806025d610307e90318080e2fd4aa493f0d0a
24/03/2025,08:14:45,S,+SACK:GTHBD,8020030902,d4aa$
24/03/2025,08:16:45,D,2b484244ef2280200309020915564a5806025d610307e9031808102fd4abe0e30d0a
24/03/2025,08:16:45,S,+SACK:GTHBD,8020030902,d4ab$
24/03/2025,08:18:45,D,2b484244ef2280200309020915564a5806025d610307e9031808122fd4ac7d6c0d0a
24/03/2025,08:18:45,S,+SACK:GTHBD,8020030902,d4ac$
24/03/2025,08:19:02,D,2b4556540900fe7fbf006680200309020915564a5806025d6103322f1c000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90318081304d4ad0a950d0a
24/03/2025,08:19:02,S,+SACK:d4ad$
24/03/2025,08:20:03,D,2b4556540900fe7fbf006680200309020915564a5806025d6103332f5d000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90318081405d4ae95d50d0a
24/03/2025,08:20:03,S,+SACK:d4ae$
24/03/2025,08:20:45,D,2b484244ef2280200309020915564a5806025d610307e9031808142fd4af6a960d0a
24/03/2025,08:20:45,S,+SACK:GTHBD,8020030902,d4af$
24/03/2025,08:21:20,D,2b4556540900fe7fbf006680200309020915564a5806025d6103342f29000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90318081516d4b0c0050d0a
24/03/2025,08:21:20,S,+SACK:d4b0$
24/03/2025,08:21:58,D,2b4556540900fe7fbf006680200309020915564a5806025d6103342f29000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90318081600d4b18e3f0d0a
24/03/2025,08:21:58,S,+SACK:d4b1$
24/03/2025,08:21:59,D,2b4556540900fe7fbf006680200309020915564a5806025d6103342f29000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90318081601d4b2bd680d0a
24/03/2025,08:21:59,S,+SACK:d4b2$
24/03/2025,08:22:45,D,2b4556540900fe7fbf006680200309020915564a5806025d6103352f1b000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e9031808162fd4b3b2cf0d0a
24/03/2025,08:22:45,S,+SACK:d4b3$
24/03/2025,08:22:45,D,2b484244ef2280200309020915564a5806025d610307e9031808162fd4b424a40d0a
24/03/2025,08:22:45,S,+SACK:GTHBD,8020030902,d4b4$
24/03/2025,08:22:57,D,2b4556540900fe7fbf006680200309020915564a5806025d6103352f1b000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e9031808163bd4b579ae0d0a
24/03/2025,08:22:57,S,+SACK:d4b5$
24/03/2025,08:24:01,D,2b4556540900fe7fbf006680200309020915564a5806025d6103362f43000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90318081803d4b6c9df0d0a
24/03/2025,08:24:01,S,+SACK:d4b6$
24/03/2025,08:24:45,D,2b484244ef2280200309020915564a5806025d610307e9031808182fd4b7b69d0d0a
24/03/2025,08:24:45,S,+SACK:GTHBD,8020030902,d4b7$
24/03/2025,08:25:17,D,2b4556540900fe7fbf006680200309020915564a5806025d6103372f47000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90318081913d4b8cdfb0d0a
24/03/2025,08:25:17,S,+SACK:d4b8$
24/03/2025,08:25:52,D,2b4556540900fe7fbf006680200309020915564a5806025d6103382f4f000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90318081936d4b9f01a0d0a
24/03/2025,08:25:52,S,+SACK:d4b9$
24/03/2025,08:26:16,D,2b4556540900fe7fbf006680200309020915564a5806025d6103382f5a000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90318081a12d4baac3f0d0a
24/03/2025,08:26:16,S,+SACK:d4ba$
24/03/2025,08:26:45,D,2b484244ef2280200309020915564a5806025d610307e90318081a2fd4bb9a790d0a
24/03/2025,08:26:45,S,+SACK:GTHBD,8020030902,d4bb$
24/03/2025,08:26:51,D,2b4556540900fe7fbf006680200309020915564a5806025d6103382f5b000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90318081a35d4bc8e0d0d0a
24/03/2025,08:26:51,S,+SACK:d4bc$
24/03/2025,08:27:33,D,2b4556540900fe7fbf006680200309020915564a5806025d6103392f5f000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90318081b23d4bdc9660d0a
24/03/2025,08:27:33,S,+SACK:d4bd$
24/03/2025,08:28:20,D,2b4556540900fe7fbf006680200309020915564a5806025d61033a2f49000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90318081c16d4bed28b0d0a
24/03/2025,08:28:20,S,+SACK:d4be$
24/03/2025,08:28:45,D,2b484244ef2280200309020915564a5806025d610307e90318081c30d4bf92360d0a
24/03/2025,08:28:46,S,+SACK:GTHBD,8020030902,d4bf$
24/03/2025,08:30:46,D,2b484244ef2280200309020915564a5806025d610307e90318081e30d4c0f0260d0a
24/03/2025,08:30:46,S,+SACK:GTHBD,8020030902,d4c0$
24/03/2025,08:32:46,D,2b484244ef2280200309020915564a5806025d610307e90318082030d4c16eb40d0a
24/03/2025,08:32:46,S,+SACK:GTHBD,8020030902,d4c1$
24/03/2025,08:34:46,D,2b484244ef2280200309020915564a5806025d610307e90318082230d4c2b3bf0d0a
24/03/2025,08:34:46,S,+SACK:GTHBD,8020030902,d4c2$
24/03/2025,08:36:46,D,2b484244ef2280200309020915564a5806025d610307e90318082430d4c384070d0a
24/03/2025,08:36:46,S,+SACK:GTHBD,8020030902,d4c3$
24/03/2025,08:38:46,D,2b484244ef2280200309020915564a5806025d610307e90318082630d4c419880d0a
24/03/2025,08:38:46,S,+SACK:GTHBD,8020030902,d4c4$
24/03/2025,08:40:46,D,2b484244ef2280200309020915564a5806025d610307e90318082830d4c5abf30d0a
24/03/2025,08:40:46,S,+SACK:GTHBD,8020030902,d4c5$
24/03/2025,08:42:46,D,2b484244ef2280200309020915564a5806025d610307e90318082a30d4c676f80d0a
24/03/2025,08:42:46,S,+SACK:GTHBD,8020030902,d4c6$
24/03/2025,08:44:46,D,2b484244ef2280200309020915564a5806025d610307e90318082c30d4c741400d0a
24/03/2025,08:44:46,S,+SACK:GTHBD,8020030902,d4c7$
24/03/2025,08:46:46,D,2b484244ef2280200309020915564a5806025d610307e90318082e31d4c86af70d0a
24/03/2025,08:46:46,S,+SACK:GTHBD,8020030902,d4c8$
24/03/2025,08:48:47,D,2b484244ef2280200309020915564a5806025d610307e90318083031d4c9c32b0d0a
24/03/2025,08:48:47,S,+SACK:GTHBD,8020030902,d4c9$
24/03/2025,08:50:47,D,2b484244ef2280200309020915564a5806025d610307e90318083231d4ca1e200d0a
24/03/2025,08:50:47,S,+SACK:GTHBD,8020030902,d4ca$
24/03/2025,08:52:47,D,2b484244ef2280200309020915564a5806025d610307e90318083431d4cb29980d0a
24/03/2025,08:52:47,S,+SACK:GTHBD,8020030902,d4cb$
24/03/2025,08:54:47,D,2b484244ef2280200309020915564a5806025d610307e90318083631d4ccb4170d0a
24/03/2025,08:54:47,S,+SACK:GTHBD,8020030902,d4cc$
24/03/2025,08:56:47,D,2b484244ef2280200309020915564a5806025d610307e90318083831d4cd066c0d0a
24/03/2025,08:56:47,S,+SACK:GTHBD,8020030902,d4cd$
24/03/2025,08:58:47,D,2b484244ef2280200309020915564a5806025d610307e90318083a31d4cedb670d0a
24/03/2025,08:58:47,S,+SACK:GTHBD,8020030902,d4ce$
24/03/2025,09:00:47,D,2b484244ef2280200309020915564a5806025d610307e90318090031d4cf25550d0a
24/03/2025,09:00:47,S,+SACK:GTHBD,8020030902,d4cf$
24/03/2025,09:02:48,D,2b484244ef2280200309020915564a5806025d610307e90318090231d4d02be30d0a
24/03/2025,09:02:48,S,+SACK:GTHBD,8020030902,d4d0$
24/03/2025,09:04:48,D,2b484244ef2280200309020915564a5806025d610307e90318090432d4d1450b0d0a
24/03/2025,09:04:48,S,+SACK:GTHBD,8020030902,d4d1$
