Data,Hora,Origem,Payload
01/04/2025,17:13:07,D,2b484244ef2280200309020915564a5806025d610307e90401110d0807f3bd190d0a
01/04/2025,17:13:07,S,+SACK:GTHBD,8020030902,07f3$
01/04/2025,17:14:06,S,AT+GTIGM=gv58cg,6,1,0,0,1,0,,,,,FFFF$AT+GTVMS=gv58cg,4,,,,,FFFF$AT+GTRTO=gv58cg,3,,,,,,FFFF$
01/04/2025,17:21:44,D,2b41434b2a6f2680200309020915564a5806025d610300ffff07e9040111152d07fcacd30d0a
01/04/2025,17:21:44,S,+SACK:07fc$
01/04/2025,17:22:11,S,AT+GTIGM=gv58cg,6,1,1,0,1,0,,,,,FFFF$
01/04/2025,17:22:11,D,2b41434b2a6f2680200309020915564a5806025d610300ffff07e9040111160c07fd96d80d0a
01/04/2025,17:22:11,S,+SACK:07fd$
01/04/2025,17:22:28,S,AT+GTIGM=gv58cg,6,0,0,0,1,0,,,,,FFFF$
01/04/2025,17:22:28,D,2b41434b2a6f2680200309020915564a5806025d610300ffff07e9040111161e07fe8bb80d0a
01/04/2025,17:22:28,S,+SACK:07fe$
01/04/2025,17:22:41,S,AT+GTIGM=gv58cg,6,1,0,0,1,0,,,,,FFFF$AT+GTVMS=gv58cg,4,,,,,FFFF$AT+GTRTO=gv58cg,3,,,,,,FFFF$
01/04/2025,17:22:41,D,2b41434b2a6f2680200309020915564a5806025d610300ffff07e9040111162a07ff82fc0d0a
01/04/2025,17:22:41,S,+SACK:07ff$
01/04/2025,17:22:41,D,2b41434b666f2680200309020915564a5806025d610300ffff07e9040111162a080087340d0a
01/04/2025,17:22:41,S,+SACK:0800$
01/04/2025,17:22:41,D,2b41434b106f2680200309020915564a5806025d610303ffff07e9040111162b0801564b0d0a
01/04/2025,17:22:41,S,+SACK:0801$
01/04/2025,17:22:41,D,2b4556543100fe7fbf006780200309020915564a5806025d6103642d0400000000010022000201000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040111162b0802070b0d0a
01/04/2025,17:22:41,S,+SACK:0802$
01/04/2025,17:23:02,D,2b484244ef2280200309020915564a5806025d610307e904011117030803c1c50d0a
01/04/2025,17:23:02,S,+SACK:GTHBD,8020030902,0803$
01/04/2025,17:23:02,D,2b4556543000fe7fbf006780200309020915564a5806025d61036400000000000000004100020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904011117030804d0b60d0a
01/04/2025,17:23:02,S,+SACK:0804$
01/04/2025,17:23:05,D,2b4556540300fe7fbf006680200309020915564a5806025d6103642d07000000004000410001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401111706080585470d0a
01/04/2025,17:23:05,S,+SACK:0805$
01/04/2025,17:25:02,D,2b484244ef2280200309020915564a5806025d610307e904011119040806b6aa0d0a
01/04/2025,17:25:02,S,+SACK:GTHBD,8020030902,0806$
01/04/2025,17:25:32,D,2b5253500b00fe7fbf006780200309020915564a5806025d6103642cbb00000000400042000001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9040111192208073cce0d0a
01/04/2025,17:25:33,S,+SACK:0807$
01/04/2025,17:25:37,D,2b4556542d00fe7fbf006c80200309020915564a5806025d6103642d07000000004000220000040000009c01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e904011119260808c3c10d0a
01/04/2025,17:25:37,S,+SACK:0808$
01/04/2025,17:26:16,D,2b4556542e00fe7fbf006c80200309020915564a5806025d6103642cf2000000004000110000040000071801000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401111a120809b3470d0a
01/04/2025,17:26:16,S,+SACK:0809$
01/04/2025,17:27:03,D,2b484244ef2280200309020915564a5806025d610307e90401111b04080a9a4e0d0a
01/04/2025,17:27:03,S,+SACK:GTHBD,8020030902,080a$
01/04/2025,17:28:07,D,2b5253501a00fe7fbf006780200309020915564a5806025d6103642ccb00000000400011004001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90401111c08080b98f70d0a
01/04/2025,17:28:07,S,+SACK:080b$
