Data,Hora,Origem,Payload
10/04/2025,08:52:27,D,2b4556540c00fe7fbf006680200309020915564a5806025d6103002cf90001000001002107010100000000e80244fcf316f3fe9c031007e9040a0b2d3507240006c4a707a7140c00000000000000000000000000000000000007e9040a082d3535e7192e0d0a
10/04/2025,08:52:27,S,+SACK:35e7$
10/04/2025,08:52:27,D,2b484244ef2280200309020915564a5806025d610307e9040a08330035ec75a60d0a
10/04/2025,08:52:27,S,+SACK:GTHBD,8020030902,35ec$
10/04/2025,08:52:27,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cf7000101002106100000000400010000000001010000000000029dfcf317cefe9c041807e9040a0a3b1607240006c4a707a7140c0000000000000000000000000000000000000007e9040a073b1835c5d56b0d0a
10/04/2025,08:52:27,S,+SACK:35c5$
10/04/2025,08:52:28,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cc400010100220410000000040007000000000102000000000002e8fcf3178dfe9c038d07e9040a0b021607240006c4a707a714020000000000000000000000000000000000000007e9040a08021835c8c95d0d0a
10/04/2025,08:52:28,S,+SACK:35c8$
10/04/2025,08:52:28,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002ca000010100210610000000040007000000000101000000000002e8fcf3178dfe9c038d07e9040a0b051607240006c4a707a714020000000000000000000000000000000000000007e9040a08051835c9a8850d0a
10/04/2025,08:52:28,S,+SACK:35c9$
10/04/2025,08:52:29,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002ce000010100210610000000040007000000000101000000000002e8fcf3178dfe9c038d07e9040a0b081607240006c4a707a714020000000000000000000000000000000000000007e9040a08081835cc0f200d0a
10/04/2025,08:52:29,S,+SACK:35cc$
10/04/2025,08:52:29,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cb100010100210710000000040007000000000101000000000002e8fcf3178dfe9c038d07e9040a0b0b1607240006c4a707a714020000000000000000000000000000000000000007e9040a080b1835cf25aa0d0a
10/04/2025,08:52:29,S,+SACK:35cf$
10/04/2025,08:52:30,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cb900010100210710000000040007000000000101000000000002e8fcf3178dfe9c038d07e9040a0b0e1607240006c4a707a714020000000000000000000000000000000000000007e9040a080e1835d0c79c0d0a
10/04/2025,08:52:30,S,+SACK:35d0$
10/04/2025,08:52:30,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002c9000010100210510000000040007000000000101000000000002e8fcf3178dfe9c038d07e9040a0b111607240006c4a707a714020000000000000000000000000000000000000007e9040a08111835d3bcbe0d0a
10/04/2025,08:52:30,S,+SACK:35d3$
10/04/2025,08:52:31,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cf300010100210810000000040001000000000101000000000002e8fcf3178dfe9c038d07e9040a0b141607240006c4a707a7140c0000000000000000000000000000000000000007e9040a08141835d470260d0a
10/04/2025,08:52:31,S,+SACK:35d4$
10/04/2025,08:52:31,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cc100010100210710000000040007000000000101000000000002e8fcf3178dfe9c038d07e9040a0b171607240006c4a707a714020000000000000000000000000000000000000007e9040a08171835d73df40d0a
10/04/2025,08:52:31,S,+SACK:35d7$
10/04/2025,08:52:32,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002caa00010100210510000000040001000000000101000000000002e8fcf3178dfe9c038d07e9040a0b1a1607240006c4a707a7140c0000000000000000000000000000000000000007e9040a081a1835da06390d0a
10/04/2025,08:52:32,S,+SACK:35da$
10/04/2025,08:52:32,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cc100010100210710000000040007000000000101000000000002e8fcf3178dfe9c038d07e9040a0b1d1607240006c4a707a714020000000000000000000000000000000000000007e9040a081d1835db5c7d0d0a
10/04/2025,08:52:32,S,+SACK:35db$
10/04/2025,08:52:33,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cc2000101002207100000000400070000000001010000040000022ffcf3171cfe9c039307e9040a0b201607240006c4a707a714020000000000000000000000000000000000000007e9040a08201835debbd00d0a
10/04/2025,08:52:33,S,+SACK:35de$
10/04/2025,08:52:33,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002c8e0001010021061000000004000100000000010100000000000244fcf316f3fe9c031007e9040a0b231607240006c4a707a7140c0000000000000000000000000000000000000007e9040a08231835dfcac30d0a
10/04/2025,08:52:33,S,+SACK:35df$
10/04/2025,08:52:34,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cb70001010022061000000004000700000000010100000000000244fcf316f3fe9c031007e9040a0b261607240006c4a707a714020000000000000000000000000000000000000007e9040a08261835e202ae0d0a
10/04/2025,08:52:34,S,+SACK:35e2$
