Data,Hora,Origem,Payload
23/04/2025,08:35:08,D,2b4556540c09fe7fbf006780200309020915564a5806025d6103002cc5000100000100210001000000000000000000000000000000000000000000000007240006c4a707a714340000000000000014020000000000000000000007e90417081d104de0253e0d0a
23/04/2025,08:35:08,S,+SACK:4de0$
23/04/2025,08:35:09,D,2b484244ef2280200309020915564a5806025d610307e904170822164def0c220d0a
23/04/2025,08:35:09,S,+SACK:GTHBD,8020030902,4def$
23/04/2025,08:35:09,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cc5000101002100100000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000014020000000000000000000007e904170820154de699a80d0a
23/04/2025,08:35:09,S,+SACK:4de6$
23/04/2025,08:35:10,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cc4000101002100100000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000014020000000000000000000007e904170820244de7242b0d0a
23/04/2025,08:35:10,S,+SACK:4de7$
23/04/2025,08:35:11,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cc4000101002100100000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000014020000000000000000000007e904170820334de813370d0a
23/04/2025,08:35:11,S,+SACK:4de8$
23/04/2025,08:35:11,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cc4000101002100100000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000014020000000000000000000007e904170821064de95bf70d0a
23/04/2025,08:35:11,S,+SACK:4de9$
23/04/2025,08:35:12,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cc4000101002100100000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000014020000000000000000000007e904170821154dea71a70d0a
23/04/2025,08:35:12,S,+SACK:4dea$
23/04/2025,08:35:12,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cc4000101002100100000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000014020000000000000000000007e904170821244deb93130d0a
23/04/2025,08:35:12,S,+SACK:4deb$
