Data,Hora,Origem,Payload
24/04/2025,07:52:05,D,2b4556540c09fe7fbf006780200309020915564a5806025d6103002cfb000100000100210b0101000000010a0251fcf31761fe9c03f907e904180a323b07240006c4a707a7140c0000000100000014040000000000000000000007e9041807323b661ad6b90d0a
24/04/2025,07:52:05,S,+SACK:661a$
24/04/2025,07:52:05,D,2b484244ef2280200309020915564a5806025d610307e90418073311661c413b0d0a
24/04/2025,07:52:05,S,+SACK:GTHBD,8020030902,661c$
24/04/2025,07:52:06,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cfd00010100210c10000000040001000000000101000000010a024afcf316f9fe9c034407e9041714360b07240006c4a707a7140c0000000100000014040000000000000000000007e9041711360c57b530e90d0a
24/04/2025,07:52:06,S,+SACK:57b5$
24/04/2025,07:52:06,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cc900010100210c10000000040001000000000101000000010a024afcf316f9fe9c034407e9041714361a07240006c4a707a7140c0000000100000014040000000000000000000007e9041711361b57b632920d0a
24/04/2025,07:52:06,S,+SACK:57b6$
24/04/2025,07:52:07,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cc900010100210c10000000040001000000000101000000010a024afcf316f9fe9c034407e9041714362907240006c4a707a7140c0000000100000014040000000000000000000007e9041711362a57b764fe0d0a
24/04/2025,07:52:07,S,+SACK:57b7$
24/04/2025,07:52:07,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cc900010100210c10000000040001000000000101000000010a024afcf316f9fe9c034407e9041714363807240006c4a707a7140c0000000100000014040000000000000000000007e9041711363957b9f34b0d0a
24/04/2025,07:52:07,S,+SACK:57b9$
24/04/2025,07:52:08,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cc900010100220c10000000040001000000000101000000010a024afcf316f9fe9c034407e9041714370b07240006c4a707a7140c0000000100000014040000000000000000000007e9041711370c57bac4d60d0a
24/04/2025,07:52:08,S,+SACK:57ba$
24/04/2025,07:52:08,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002ca700010100220c10000000040001000000000101000000010a024afcf316f9fe9c034407e9041714371a07240006c4a707a7140c0000000100000014040000000000000000000007e9041711371b57bb8db80d0a
24/04/2025,07:52:08,S,+SACK:57bb$
24/04/2025,07:52:09,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002ca700010100220c10000000040001000000000101000000010a024afcf316f9fe9c034407e9041714372907240006c4a707a7140c0000000100000014040000000000000000000007e9041711372a57bcbb120d0a
24/04/2025,07:52:09,S,+SACK:57bc$
24/04/2025,07:52:09,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cbe00010100220c10000000040001000000000101000000010a024afcf316f9fe9c034407e9041714373807240006c4a707a7140c0000000100000014040000000000000000000007e9041711373957bdf8500d0a
24/04/2025,07:52:09,S,+SACK:57bd$
24/04/2025,07:52:10,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cbc00010100220c10000000040001000000000101000000010a024afcf316f9fe9c034407e9041714380b07240006c4a707a7140c0000000100000014040000000000000000000007e9041711380c57be94c70d0a
24/04/2025,07:52:10,S,+SACK:57be$
