Data,Hora,Origem,Payload
15/04/2025,07:42:47,D,2b5253500909fe7fbf006880200309020915564a5806025d6103002ce9000100000100210c01010100000000000257fcf31722fe9c03e807e9040f0a260f07240006c4a707a7140c0000000000000014000000000000000000000007e9040f0726104812baf70d0a
15/04/2025,07:42:47,S,+SACK:4812$
15/04/2025,07:42:48,D,2b484244ef2280200309020915564a5806025d610307e9040f072a014816bcee0d0a
15/04/2025,07:42:48,S,+SACK:GTHBD,8020030902,4816$
15/04/2025,07:42:48,D,2b4256543509fe7fbf008480200309020915564a5806025d6103002cd300010000010021040d0347563538434725494d454900780541296d6300004cb04ad2cb920001050000000000023efcf316a3fe9c021e07e9040e15062007240006c4a707a7140c0000000000000014000000000000000000000007e9040e120620455f1d350d0a
15/04/2025,07:42:48,S,+SACK:455f$
15/04/2025,07:42:49,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002ce7000101002104100000000400010000000001050000000000023efcf316a3fe9c021e07e9040e15070307240006c4a707a7140c0000000000000014000000000000000000000007e9040e1207054560b8070d0a
15/04/2025,07:42:49,S,+SACK:4560$
15/04/2025,07:42:49,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cf8000101002104100000000400010000000001050000000000023efcf316a3fe9c021e07e9040e150a0407240006c4a707a7140c0000000000000014000000000000000000000007e9040e120a0645629fde0d0a
15/04/2025,07:42:49,S,+SACK:4562$
15/04/2025,07:42:50,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002ce2000101002106100000000400010000000001050000000000023efcf316a3fe9c021e07e9040e150d0507240006c4a707a7140c0000000000000014000000000000000000000007e9040e120d06456507f80d0a
15/04/2025,07:42:50,S,+SACK:4565$
15/04/2025,07:42:50,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002caf000101002106100000000400010000000001050000000000023efcf316a3fe9c021e07e9040e15100407240006c4a707a7140c0000000000000014000000000000000000000007e9040e1210064568fde60d0a
15/04/2025,07:42:50,S,+SACK:4568$
15/04/2025,07:42:51,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cda000101002106100000000400010000000001050000000000023efcf316a3fe9c021e07e9040e15130407240006c4a707a7140c0000000000000014000000000000000000000007e9040e12130645693d540d0a
15/04/2025,07:42:51,S,+SACK:4569$
15/04/2025,07:42:51,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002ce0000101002106100000000400010000000001020000000000020afcf31634fe9c00df07e9040e15160507240006c4a707a7140c0000000000000014000000000000000000000007e9040e121606456c28280d0a
15/04/2025,07:42:51,S,+SACK:456c$
15/04/2025,07:42:52,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002ced000101002107100000000400010000000001020000000000020afcf31634fe9c00df07e9040e15190507240006c4a707a7140c0000000000000014000000000000000000000007e9040e121906456d5b220d0a
15/04/2025,07:42:52,S,+SACK:456d$
15/04/2025,07:42:52,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cd3000101002108100000000400010000000001010000000000020afcf31634fe9c00df07e9040e151c0407240006c4a707a7140c0000000000000014000000000000000000000007e9040e121c0645707c000d0a
15/04/2025,07:42:52,S,+SACK:4570$
15/04/2025,07:42:53,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002c8b000101002209100000000400010000000001010000000000020afcf31634fe9c00df07e9040e151f0407240006c4a707a7140c0000000000000014000000000000000000000007e9040e121f064573d5240d0a
15/04/2025,07:42:53,S,+SACK:4573$
15/04/2025,07:42:53,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cdf000101002109100000000400010000000001010000000000020afcf31634fe9c00df07e9040e15220507240006c4a707a7140c0000000000000014000000000000000000000007e9040e12220645759e780d0a
15/04/2025,07:42:53,S,+SACK:4575$
15/04/2025,07:42:54,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cc200010100210a100000000400070000000001010000000000020afcf31634fe9c00df07e9040e15250407240006c4a707a714020000000000000014000000000000000000000007e9040e1225064577aa220d0a
15/04/2025,07:42:54,S,+SACK:4577$
15/04/2025,07:42:54,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002ce900010100210a100000000400010000000001010000000000020afcf31634fe9c00df07e9040e15280407240006c4a707a7140c0000000000000014000000000000000000000007e9040e1228064578ec820d0a
15/04/2025,07:42:54,S,+SACK:4578$
15/04/2025,07:42:55,D,2b4256543109fe7fbf006880200309020915564a5806025d6103002ced00010000010021090301010000000000020afcf31634fe9c00df07e9040e16071907240006c4a707a7140c0000000000000014000000000000000000000007e9040e13071a458f3ba90d0a
15/04/2025,07:42:55,S,+SACK:458f$
15/04/2025,07:42:56,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002ce100010100210b100000000400010000000001010000000000020afcf31634fe9c00df07e9040e152b0507240006c4a707a7140c0000000000000014000000000000000000000007e9040e122b06457b6aac0d0a
15/04/2025,07:42:56,S,+SACK:457b$
15/04/2025,07:42:56,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cf600010100220b100000000400010000000001010000000000020afcf31634fe9c00df07e9040e152e0407240006c4a707a7140c0000000000000014000000000000000000000007e9040e122e06457eefa30d0a
15/04/2025,07:42:56,S,+SACK:457e$
15/04/2025,07:42:56,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002ce900010100210b100000000400010000000001010000000000020afcf31634fe9c00df07e9040e15310407240006c4a707a7140c0000000000000014000000000000000000000007e9040e123106457f65540d0a
15/04/2025,07:42:56,S,+SACK:457f$
15/04/2025,07:42:57,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002ce200010100220a100000000400010000000001010000000000020afcf31634fe9c00df07e9040e15340407240006c4a707a7140c0000000000000014000000000000000000000007e9040e12340645824f380d0a
15/04/2025,07:42:57,S,+SACK:4582$
15/04/2025,07:42:57,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cea00010100210c100000000400010000000001010000000000020afcf31634fe9c00df07e9040e15370407240006c4a707a7140c0000000000000014000000000000000000000007e9040e12370645833dfb0d0a
15/04/2025,07:42:57,S,+SACK:4583$
15/04/2025,07:42:58,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cea00010100210c100000000400010000000001010000000000020afcf31634fe9c00df07e9040e153a0407240006c4a707a7140c0000000000000014000000000000000000000007e9040e123a06458725690d0a
15/04/2025,07:42:58,S,+SACK:4587$
15/04/2025,07:42:59,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002cfe00010100220c100000000400010000000001010000000000020afcf31634fe9c00df07e9040e16010407240006c4a707a7140c0000000000000014000000000000000000000007e9040e130106458975d20d0a
15/04/2025,07:42:59,S,+SACK:4589$
15/04/2025,07:42:59,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002ce600010100210c100000000400010000000001010000000000020afcf31634fe9c00df07e9040e16040407240006c4a707a7140c0000000000000014000000000000000000000007e9040e130406458bf2ce0d0a
15/04/2025,07:42:59,S,+SACK:458b$
15/04/2025,07:42:59,D,2b4253500c09fe7fbf006880200309020915564a5806025d6103002ce1000100000100210a0601010000000000020afcf31634fe9c00df07e9040e16063807240006c4a707a7140c0000000000000014000000000000000000000007e9040e130638458cdcef0d0a
15/04/2025,07:42:59,S,+SACK:458c$
15/04/2025,07:43:00,D,2b4253501209fe3fbf00028102007480200309020915564a5806025d6103002ced00010100210c100000000400010000000001010000000000020afcf31634fe9c00df07e9040e16070407240006c4a707a7140c0000000000000014000000000000000000000007e9040e130706458e22d90d0a
15/04/2025,07:43:00,S,+SACK:458e$
