Data,Hora,Origem,Payload
14/04/2025,08:48:58,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e9040e08303a3d09e7340d0a
14/04/2025,08:48:58,S,+SACK:3d09$
14/04/2025,08:48:58,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002c9e0001010022081000000004000700000000010100000000000227fcf316effe9c044307e9040e0b303a07240006c4a707a714020000000000000010080000000000000000000007e9040e08303a3d0af3c30d0a
14/04/2025,08:48:58,S,+SACK:3d0a$
14/04/2025,08:49:04,S,AT+GTCFG=gv58cg,,,,,,,,,,,,,,,,,,,,,4,FFFF$
14/04/2025,08:49:05,D,2b41434b046f2680200309020915564a5806025d610300ffff07e9040e0831053d0b2ff30d0a
14/04/2025,08:49:05,S,+SACK:3d0b$
14/04/2025,08:49:06,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e9040e0831063d0c71e10d0a
14/04/2025,08:49:06,S,+SACK:3d0c$
14/04/2025,08:49:07,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cb80001010021081000000004000700000000010100000000000227fcf316effe9c044307e9040e0b310507240006c4a707a714020000000000000010080000000000000000000007e9040e0831073d0d17ba0d0a
14/04/2025,08:49:07,S,+SACK:3d0d$
14/04/2025,08:49:16,D,2b484244ef2280200309020915564a5806025d610307e9040e0831103d0e89c90d0a
14/04/2025,08:49:16,S,+SACK:GTHBD,8020030902,3d0e$
14/04/2025,08:51:16,D,2b484244ef2280200309020915564a5806025d610307e9040e0833103d0f74800d0a
14/04/2025,08:51:16,S,+SACK:GTHBD,8020030902,3d0f$
14/04/2025,08:52:07,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002ccb00010100210a10000000040007000000000101000000000001fafcf31752fe9c033a07e9040e0b340507240006c4a707a714020000000000000010080000000000000000000007e9040e0834073d108c290d0a
14/04/2025,08:52:07,S,+SACK:3d10$
14/04/2025,08:53:16,D,2b484244ef2280200309020915564a5806025d610307e9040e0835103d11a0e60d0a
14/04/2025,08:53:16,S,+SACK:GTHBD,8020030902,3d11$
14/04/2025,08:55:07,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cf700010100220b10000000040001000000000101000000000001fafcf31752fe9c033a07e9040e0b370607240006c4a707a7140c0000000000000010080000000000000000000007e9040e0837073d124ac30d0a
14/04/2025,08:55:07,S,+SACK:3d12$
14/04/2025,08:55:16,D,2b484244ef2280200309020915564a5806025d610307e9040e0837103d136dcc0d0a
14/04/2025,08:55:16,S,+SACK:GTHBD,8020030902,3d13$
14/04/2025,08:57:16,D,2b484244ef2280200309020915564a5806025d610307e9040e0839103d14bf710d0a
14/04/2025,08:57:16,S,+SACK:GTHBD,8020030902,3d14$
