Data,Hora,Origem,Payload
09/04/2025,17:18:15,D,2b484244ef2280200309020915564a5806025d610307e9040911121132f358800d0a
09/04/2025,17:18:15,S,+SACK:GTHBD,8020030902,32f3$
09/04/2025,17:19:10,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cdd0001010021091000000004000700000000010100000000000197fcf31707fe9c038d07e9040914130b07240006c4a707a714020000000000000000000000000000000000000007e9040911130d32f468ac0d0a
09/04/2025,17:19:10,S,+SACK:32f4$
09/04/2025,17:20:15,D,2b484244ef2280200309020915564a5806025d610307e9040911141132f51fdf0d0a
09/04/2025,17:20:15,S,+SACK:GTHBD,8020030902,32f5$
09/04/2025,17:22:10,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cf50001010021091000000004000700000000010100000000000197fcf31707fe9c038d07e9040914160b07240006c4a707a714020000000000000000000000000000000000000007e9040911160d32f61e8d0d0a
09/04/2025,17:22:10,S,+SACK:32f6$
09/04/2025,17:22:15,D,2b484244ef2280200309020915564a5806025d610307e9040911161132f7d2f50d0a
09/04/2025,17:22:15,S,+SACK:GTHBD,8020030902,32f7$
09/04/2025,17:24:15,D,2b484244ef2280200309020915564a5806025d610307e9040911181132f881400d0a
09/04/2025,17:24:15,S,+SACK:GTHBD,8020030902,32f8$
09/04/2025,17:25:10,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002d0f0001010021091000000004000700000000010100000000000197fcf31707fe9c038d07e9040914190b07240006c4a707a714020000000000000000000000000000000000000007e9040911190d32f979be0d0a
09/04/2025,17:25:10,S,+SACK:32f9$
09/04/2025,17:26:15,D,2b484244ef2280200309020915564a5806025d610307e90409111a1232fa153a0d0a
09/04/2025,17:26:15,S,+SACK:GTHBD,8020030902,32fa$
09/04/2025,17:28:10,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cd70001010021091000000004000700000000010100000000000197fcf31707fe9c038d07e90409141c0b07240006c4a707a714020000000000000000000000000000000000000007e90409111c0d32fb86c00d0a
09/04/2025,17:28:10,S,+SACK:32fb$
09/04/2025,17:28:15,D,2b484244ef2280200309020915564a5806025d610307e90409111c1232fc52650d0a
09/04/2025,17:28:15,S,+SACK:GTHBD,8020030902,32fc$
09/04/2025,17:30:15,D,2b484244ef2280200309020915564a5806025d610307e90409111e1232fdaf2c0d0a
09/04/2025,17:30:15,S,+SACK:GTHBD,8020030902,32fd$
09/04/2025,17:31:10,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cd80001010022091000000004001c0000000001010000000000025cfcf31742fe9c030007e90409141f0b07240006c4a707a714340000000000000000000000000000000000000007e90409111f0d32fea21b0d0a
09/04/2025,17:31:11,S,+SACK:32fe$
