Data,Hora,Origem,Payload
09/04/2025,13:12:25,D,2b5253501209fe3fbf00028002007380200309020915564a5806025d6103002cea0000010022001000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e40101000023318ca0d50d0a
09/04/2025,13:12:25,S,+SACK:318c$
09/04/2025,13:12:25,D,2b5253501209fe3fbf00028002007380200309020915564a5806025d6103002cea0000010022001000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e4010100002d318dabf50d0a
09/04/2025,13:12:25,S,+SACK:318d$
09/04/2025,13:12:25,D,2b5253501209fe3fbf00028002007380200309020915564a5806025d6103002cea0000010021001000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e40101000037318e1c010d0a
09/04/2025,13:12:25,S,+SACK:318e$
09/04/2025,13:12:26,D,2b5253501209fe3fbf00028002007380200309020915564a5806025d6103002cdc0000010021001000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e40101000105318fbaaa0d0a
09/04/2025,13:12:26,S,+SACK:318f$
09/04/2025,13:12:26,D,2b5253501209fe3fbf00028002007380200309020915564a5806025d6103002cdc0000010021001000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e4010100010f31909eb50d0a
09/04/2025,13:12:26,S,+SACK:3190$
09/04/2025,13:12:27,D,2b5253501209fe3fbf00028002007380200309020915564a5806025d6103002cea0000010021001000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e40101000119319114ac0d0a
09/04/2025,13:12:27,S,+SACK:3191$
09/04/2025,13:12:28,D,2b5253501209fe3fbf00028002007380200309020915564a5806025d6103002cea0000010021001000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e40101000123319226ab0d0a
09/04/2025,13:12:28,S,+SACK:3192$
09/04/2025,13:12:35,D,2b5253501209fe3fbf00028002007380200309020915564a5806025d6103002cea0000010021001000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e4010100012d31932d8b0d0a
09/04/2025,13:12:35,S,+SACK:3193$
09/04/2025,13:12:44,D,2b5253501209fe3fbf00028002007380200309020915564a5806025d6103002cea0000010021001000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e401010001373194d9ce0d0a
09/04/2025,13:12:44,S,+SACK:3194$
09/04/2025,13:12:55,D,2b5253501209fe3fbf00028002007380200309020915564a5806025d6103002cea0000010021001000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e401010002053195f9f60d0a
09/04/2025,13:12:55,S,+SACK:3195$
09/04/2025,13:12:57,D,2b484244ef2280200309020915564a5806025d610307e904090d0c3a3196716b0d0a
09/04/2025,13:12:57,S,+SACK:GTHBD,8020030902,3196$
09/04/2025,13:13:05,D,2b5253501209fe3fbf00028002007380200309020915564a5806025d6103002cea0000010022001000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e904090d0d06319754c40d0a
09/04/2025,13:13:05,S,+SACK:3197$
09/04/2025,13:13:14,D,2b5253501209fe3fbf00028002007380200309020915564a5806025d6103002cdd0000010022001000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e904090d0d103198e5260d0a
09/04/2025,13:13:14,S,+SACK:3198$
09/04/2025,13:13:24,D,2b5253501209fe3fbf00028002007380200309020915564a5806025d6103002cdd0000010022001000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e904090d0d1a319932c60d0a
09/04/2025,13:13:24,S,+SACK:3199$
09/04/2025,13:13:27,D,2b5253500b09fe3fbf006680200309020915564a5806025d6103002cdd0000010022000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e904090d0d1c319a020f0d0a
09/04/2025,13:13:27,S,+SACK:319a$
09/04/2025,13:13:35,D,2b5253501209fe3fbf00028002007380200309020915564a5806025d6103002cdd0000010022001000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000000000000000000000000007e904090d0d24319bcc200d0a
09/04/2025,13:13:35,S,+SACK:319b$
