Data,Hora,Origem,Payload
07/03/2025,14:54:54,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030711363729275d910d0a
07/03/2025,14:54:54,S,+SACK:2927$
07/03/2025,14:54:59,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61036431e30000000001002200000004d901000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903071137002928a80c0d0a
07/03/2025,14:54:59,S,+SACK:2928$
07/03/2025,14:55:06,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000022001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903071137062929f7bf0d0a
07/03/2025,14:55:06,S,+SACK:2929$
07/03/2025,14:55:06,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61036431c900000000000012000000000601000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307113707292ad21c0d0a
07/03/2025,14:55:06,S,+SACK:292a$
07/03/2025,14:55:11,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000012001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030711370b292bc83b0d0a
07/03/2025,14:55:11,S,+SACK:292b$
07/03/2025,14:55:41,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000012001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030711372a292c092a0d0a
07/03/2025,14:55:41,S,+SACK:292c$
07/03/2025,14:56:41,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030711382a292e6fd00d0a
07/03/2025,14:56:41,S,+SACK:292e$
07/03/2025,14:57:11,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000016001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030711390c292fe65e0d0a
07/03/2025,14:57:11,S,+SACK:292f$
07/03/2025,14:57:41,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000016001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030711392a293031e60d0a
07/03/2025,14:57:41,S,+SACK:2930$
07/03/2025,14:57:48,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e90307113931293161de0d0a
07/03/2025,14:57:48,S,+SACK:2931$
