Data,Hora,Origem,Payload
19/03/2025,13:33:36,D,2b484244ef2280200309020915564a5806025d610307e903131021263827e4210d0a
19/03/2025,13:33:36,S,+SACK:GTHBD,8020030902,3827$
19/03/2025,13:34:06,D,2b5253500b00fe7fbf006780200309020915564a5806025d61031c321f00000000010022000001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000300000000000000000007e903131022093828d4e20d0a
19/03/2025,13:34:06,S,+SACK:3828$
19/03/2025,13:34:07,D,2b5253501000fe7fbf006780200309020915564a5806025d61031c321f00000000010022000001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000300000000000000000007e90313102209382961db0d0a
19/03/2025,13:34:07,S,+SACK:3829$
19/03/2025,13:46:14,D,2b4556540c00fe7fbf006680200309020915564a5806025d6103223223000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140200000000000000000300000000000000000007e90313102c1e383413330d0a
19/03/2025,13:46:14,S,+SACK:3834$
19/03/2025,13:46:14,D,2b484244ef2280200309020915564a5806025d610307e90313102c3038351e170d0a
19/03/2025,13:46:14,S,+SACK:GTHBD,8020030902,3835$
19/03/2025,13:46:15,D,2b4556540900fe7fbf006680200309020915564a5806025d61031e324b000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e90313102626382d37ac0d0a
19/03/2025,13:46:15,S,+SACK:382d$
19/03/2025,13:46:15,D,2b4556540900fe7fbf006680200309020915564a5806025d61031e3262000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e90313102714382e53410d0a
19/03/2025,13:46:15,S,+SACK:382e$
19/03/2025,13:46:16,D,2b4556540900fe7fbf006680200309020915564a5806025d61031e3262000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e903131027323830a0dc0d0a
19/03/2025,13:46:16,S,+SACK:3830$
19/03/2025,13:46:16,D,2b4556540900fe7fbf006680200309020915564a5806025d610320324d000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e90313102939383195bb0d0a
19/03/2025,13:46:16,S,+SACK:3831$
19/03/2025,13:46:17,D,2b4556540900fe7fbf006680200309020915564a5806025d610320324d000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e90313102a00383251340d0a
19/03/2025,13:46:17,S,+SACK:3832$
19/03/2025,13:46:17,D,2b4556543400fe7fbf008280200309020915564a5806025d610321324600000000010022000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e90313102b073833631e0d0a
19/03/2025,13:46:17,S,+SACK:3833$
19/03/2025,13:46:18,D,2b41434b046f2680200309020915564a5806025d610300ffff07e90313102d243836996f0d0a
19/03/2025,13:46:18,S,+SACK:3836$
19/03/2025,13:46:55,D,2b4556540900fe7fbf006680200309020915564a5806025d610325324c000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e90313102e3a383720260d0a
19/03/2025,13:46:55,S,+SACK:3837$
19/03/2025,13:46:56,D,2b4556540900fe7fbf006680200309020915564a5806025d610325324c000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e90313102e3a3838e5cd0d0a
19/03/2025,13:46:56,S,+SACK:3838$
19/03/2025,13:48:14,D,2b484244ef2280200309020915564a5806025d610307e9031310301038390dc80d0a
19/03/2025,13:48:14,S,+SACK:GTHBD,8020030902,3839$
19/03/2025,13:48:56,D,2b4556540900fe7fbf006680200309020915564a5806025d6103283254000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e9031310303a383a53030d0a
19/03/2025,13:48:56,S,+SACK:383a$
19/03/2025,13:49:07,D,2b4556540900fe7fbf006680200309020915564a5806025d610328323d000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e90313103109383b8a800d0a
19/03/2025,13:49:07,S,+SACK:383b$
19/03/2025,13:49:54,D,2b4556540900fe7fbf006680200309020915564a5806025d6103293259000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e90313103138383c27dd0d0a
19/03/2025,13:49:54,S,+SACK:383c$
19/03/2025,13:50:14,D,2b484244ef2280200309020915564a5806025d610307e90313103211383d97140d0a
19/03/2025,13:50:14,S,+SACK:GTHBD,8020030902,383d$
19/03/2025,13:50:56,D,2b4556540900fe7fbf006680200309020915564a5806025d610329325e000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e9031310323a383e9e740d0a
19/03/2025,13:50:56,S,+SACK:383e$
19/03/2025,13:51:19,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e90313103315383f348b0d0a
19/03/2025,13:51:19,S,+SACK:383f$
19/03/2025,13:51:20,D,2b5253500700fe2fbf006380200309020915564a5806025d61032a0000010022001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e90313103316384041290d0a
19/03/2025,13:51:20,S,+SACK:3840$
19/03/2025,13:51:22,D,2b5253500700fe2fbf006380200309020915564a5806025d61032a0000010022001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e9031310331838414a090d0a
19/03/2025,13:51:22,S,+SACK:3841$
19/03/2025,13:51:24,D,2b5253500700fe2fbf006380200309020915564a5806025d61032a0000010022001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e9031310331a3842140a0d0a
19/03/2025,13:51:24,S,+SACK:3842$
19/03/2025,13:51:26,D,2b5253500700fe2fbf006380200309020915564a5806025d61032a0000010022001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e9031310331c3843b68b0d0a
19/03/2025,13:51:26,S,+SACK:3843$
19/03/2025,13:51:28,D,2b5253500700fe2fbf006380200309020915564a5806025d61032a0000010022001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e9031310331e3844a80c0d0a
19/03/2025,13:51:28,S,+SACK:3844$
19/03/2025,13:51:30,D,2b5253500700fe2fbf006380200309020915564a5806025d61032a0000010022001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e90313103320384566890d0a
19/03/2025,13:51:30,S,+SACK:3845$
19/03/2025,13:51:32,D,2b5253500700fe2fbf006380200309020915564a5806025d61032a0000010022001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e903131033223846388a0d0a
19/03/2025,13:51:32,S,+SACK:3846$
19/03/2025,13:51:34,D,2b5253500700fe2fbf006380200309020915564a5806025d61032a0000010022001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e9031310332438479a0b0d0a
19/03/2025,13:51:34,S,+SACK:3847$
19/03/2025,13:51:36,D,2b5253500700fe2fbf006380200309020915564a5806025d61032a0000010022001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000300000000000000000007e90313103326384805840d0a
19/03/2025,13:51:36,S,+SACK:3848$
