Data,Hora,Origem,Payload
19/03/2025,17:43:38,D,2b484244ef2280200309020915564a5806025d610307e90313142a3444554dda0d0a
19/03/2025,17:43:38,S,+SACK:GTHBD,8020030902,4455$
19/03/2025,17:43:39,D,2b4253500700fe2fbf006380200309020915564a5806025d61033700000100210c1001010000000000023dfcf316e7fe9c032107e9031314291b07240006c4a707a7140c00000000000000000000000000000000000007e9031314291e445251250d0a
19/03/2025,17:43:39,S,+SACK:4452$
19/03/2025,17:43:39,D,2b5253500700fe2fbf006380200309020915564a5806025d61033800000100210c1001010000000000023dfcf316e7fe9c032107e9031314293907240006c4a707a7140c00000000000000000000000000000000000007e90313142a0044531bb50d0a
19/03/2025,17:43:39,S,+SACK:4453$
19/03/2025,17:43:40,D,2b5253500700fe2fbf006380200309020915564a5806025d61033900000100210c1001010000000000023dfcf316e7fe9c032107e90313142a1b07240006c4a707a7140c00000000000000000000000000000000000007e90313142a1e4454a11d0d0a
19/03/2025,17:43:40,S,+SACK:4454$
19/03/2025,17:43:40,D,2b5253500700fe2fbf006380200309020915564a5806025d61033900000100210c1001010000000000023dfcf316e7fe9c032107e90313142a3907240006c4a707a7140c00000000000000000000000000000000000007e90313142b00445636430d0a
19/03/2025,17:43:40,S,+SACK:4456$
19/03/2025,17:43:41,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e90313142b1c44571de20d0a
19/03/2025,17:43:41,S,+SACK:4457$
19/03/2025,17:43:41,D,2b5253500700fe2fbf006380200309020915564a5806025d61033900000100210c1001010000000000023dfcf316e7fe9c032107e90313142b1c07240006c4a707a7140200000000000000000000000000000000000007e90313142b1c44582e950d0a
19/03/2025,17:43:41,S,+SACK:4458$
19/03/2025,17:43:42,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210a1001010000000000023dfcf316e7fe9c032107e90313142b2107240006c4a707a7140200000000000000000000000000000000000007e90313142b234459e50b0d0a
19/03/2025,17:43:42,S,+SACK:4459$
19/03/2025,17:43:42,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210a1001010000000000023dfcf316e7fe9c032107e90313142b2607240006c4a707a7140200000000000000000000000000000000000007e90313142b28445aba1a0d0a
19/03/2025,17:43:42,S,+SACK:445a$
19/03/2025,17:43:43,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210b1001010000000000023dfcf316e7fe9c032107e90313142b2b07240006c4a707a7140200000000000000000000000000000000000007e90313142b2d445b409c0d0a
19/03/2025,17:43:43,S,+SACK:445b$
19/03/2025,17:43:48,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210c1001010000000000023dfcf316e7fe9c032107e90313142b3007240006c4a707a7140200000000000000000000000000000000000007e90313142b32445ce5100d0a
19/03/2025,17:43:48,S,+SACK:445c$
19/03/2025,17:43:53,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210c1001010000000000023dfcf316e7fe9c032107e90313142b3507240006c4a707a7140200000000000000000000000000000000000007e90313142b37445d58550d0a
19/03/2025,17:43:53,S,+SACK:445d$
19/03/2025,17:43:58,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210c1001010000000000023dfcf316e7fe9c032107e90313142b3a07240006c4a707a7140200000000000000000000000000000000000007e90313142c00445eb2920d0a
19/03/2025,17:43:58,S,+SACK:445e$
19/03/2025,17:44:03,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210c1001010000000000023dfcf316e7fe9c032107e90313142c0307240006c4a707a7140200000000000000000000000000000000000007e90313142c05445fe0120d0a
19/03/2025,17:44:03,S,+SACK:445f$
19/03/2025,17:44:08,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210c1001010000000000023dfcf316e7fe9c032107e90313142c0807240006c4a707a7140200000000000000000000000000000000000007e90313142c0a4460622c0d0a
19/03/2025,17:44:08,S,+SACK:4460$
19/03/2025,17:44:13,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210c1001010000000000023dfcf316e7fe9c032107e90313142c0d07240006c4a707a7140200000000000000000000000000000000000007e90313142c0f4461df690d0a
19/03/2025,17:44:13,S,+SACK:4461$
19/03/2025,17:44:18,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210c1001010000000000023dfcf316e7fe9c032107e90313142c1207240006c4a707a7140200000000000000000000000000000000000007e90313142c1444623f5a0d0a
19/03/2025,17:44:18,S,+SACK:4462$
19/03/2025,17:44:23,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210c1001010000000000023dfcf316e7fe9c032107e90313142c1707240006c4a707a7140200000000000000000000000000000000000007e90313142c1944632bbe0d0a
19/03/2025,17:44:23,S,+SACK:4463$
19/03/2025,17:44:28,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210c1001010000000000023dfcf316e7fe9c032107e90313142c1c07240006c4a707a7140200000000000000000000000000000000000007e90313142c1e4464b77a0d0a
19/03/2025,17:44:28,S,+SACK:4464$
19/03/2025,17:44:33,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210c1001010000000000023dfcf316e7fe9c032107e90313142c2107240006c4a707a7140200000000000000000000000000000000000007e90313142c234465daa70d0a
19/03/2025,17:44:33,S,+SACK:4465$
19/03/2025,17:44:38,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210c1001010000000000023dfcf316e7fe9c032107e90313142c2607240006c4a707a7140200000000000000000000000000000000000007e90313142c28446685b60d0a
19/03/2025,17:44:38,S,+SACK:4466$
19/03/2025,17:44:43,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210c1001010000000000023dfcf316e7fe9c032107e90313142c2b07240006c4a707a7140200000000000000000000000000000000000007e90313142c2d44676ccc0d0a
19/03/2025,17:44:43,S,+SACK:4467$
19/03/2025,17:44:48,D,2b5253500700fe2fbf006380200309020915564a5806025d61033a00000100210c1001010000000000023dfcf316e7fe9c032107e90313142c3007240006c4a707a7140200000000000000000000000000000000000007e90313142c32446833bc0d0a
19/03/2025,17:44:48,S,+SACK:4468$
19/03/2025,17:44:53,D,2b5253500700fe2fbf006380200309020915564a5806025d61033b00000100210c1001010000000000023dfcf316e7fe9c032107e90313142c3507240006c4a707a7140200000000000000000000000000000000000007e90313142c374469eee00d0a
19/03/2025,17:44:53,S,+SACK:4469$
19/03/2025,17:44:58,D,2b5253500700fe2fbf006380200309020915564a5806025d61033b00000100210c1001010000000000023dfcf316e7fe9c032107e90313142c3a07240006c4a707a7140200000000000000000000000000000000000007e90313142d00446a23be0d0a
19/03/2025,17:44:58,S,+SACK:446a$
19/03/2025,17:45:03,D,2b5253500700fe2fbf006380200309020915564a5806025d61033b00000100210c1001010000000000023dfcf316e7fe9c032107e90313142d0207240006c4a707a7140200000000000000000000000000000000000007e90313142d05446b42590d0a
19/03/2025,17:45:03,S,+SACK:446b$
19/03/2025,17:45:08,D,2b5253500700fe2fbf006380200309020915564a5806025d61033b00000100210c1001010000000000023dfcf316e7fe9c032107e90313142d0707240006c4a707a7140200000000000000000000000000000000000007e90313142d0a446c581b0d0a
19/03/2025,17:45:08,S,+SACK:446c$
19/03/2025,17:45:13,D,2b5253500700fe2fbf006380200309020915564a5806025d61033b00000100210c1001010000000000023dfcf316e7fe9c032107e90313142d0c07240006c4a707a7140200000000000000000000000000000000000007e90313142d0f446dca790d0a
19/03/2025,17:45:13,S,+SACK:446d$
19/03/2025,17:45:18,D,2b5253500700fe2fbf006380200309020915564a5806025d61033b00000100210c1001010000000000023dfcf316e7fe9c032107e90313142d1107240006c4a707a7140200000000000000000000000000000000000007e90313142d14446ef35d0d0a
19/03/2025,17:45:18,S,+SACK:446e$
19/03/2025,17:45:23,D,2b5253500700fe2fbf006380200309020915564a5806025d61033b00000100210c1001010000000000023dfcf316e7fe9c032107e90313142d1607240006c4a707a7140200000000000000000000000000000000000007e90313142d19446f3eae0d0a
19/03/2025,17:45:23,S,+SACK:446f$
