Data,Hora,Origem,Payload
12/03/2025,09:02:29,D,2b5253500b00fe7fbf00678020030a030a07564a5806025d6103003a4800000000000022000001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0900003e7e74800d0a
12/03/2025,09:02:29,S,+SACK:3e7e$
12/03/2025,09:02:29,D,2b484244ef228020030a030a07564a5806025d610307e9030c09012a3e86f1f60d0a
12/03/2025,09:02:29,S,+SACK:GTHBD,8020030a03,3e86$
12/03/2025,09:02:30,D,2b4556540900fe7fbf00668020030a030a07564a5806025d61030039ed000000000000210001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c09000b3e7f509d0d0a
12/03/2025,09:02:30,S,+SACK:3e7f$
12/03/2025,09:02:30,D,2b4556540900fe7fbf00668020030a030a07564a5806025d6103003a4c000000000000220001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0900143e80f9fd0d0a
12/03/2025,09:02:30,S,+SACK:3e80$
12/03/2025,09:02:31,D,2b5253500700fe3fbf00658020030a030a07564a5806025d6103003a180000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0900193e81a5a40d0a
12/03/2025,09:02:31,S,+SACK:3e81$
12/03/2025,09:02:31,D,2b4556540900fe7fbf00668020030a030a07564a5806025d6103003a2e000000000000210001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0900313e8294d30d0a
12/03/2025,09:02:31,S,+SACK:3e82$
12/03/2025,09:02:32,D,2b4556540900fe7fbf00668020030a030a07564a5806025d61030039ce000000000000220001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0900363e83061a0d0a
12/03/2025,09:02:32,S,+SACK:3e83$
12/03/2025,09:02:32,D,2b5253500700fe3fbf00658020030a030a07564a5806025d61030039ce0000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0900373e8468a70d0a
12/03/2025,09:02:32,S,+SACK:3e84$
