Data,Hora,Origem,Payload
07/03/2025,10:26:22,D,2b5253500700fe2fbf006380200309020915564a5806025d610354000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903070d1a1728349ec30d0a
07/03/2025,10:26:22,S,+SACK:2834$
07/03/2025,10:26:52,D,2b5253500700fe2fbf006380200309020915564a5806025d610355000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903070d1a352835065d0d0a
07/03/2025,10:26:52,S,+SACK:2835$
07/03/2025,10:27:22,D,2b5253500700fe2fbf006380200309020915564a5806025d6103550000000016001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903070d1b17283673510d0a
07/03/2025,10:27:22,S,+SACK:2836$
07/03/2025,10:27:52,D,2b5253500700fe2fbf006380200309020915564a5806025d610355000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903070d1b35283750ab0d0a
07/03/2025,10:27:52,S,+SACK:2837$
07/03/2025,10:28:22,D,2b5253500700fe2fbf006380200309020915564a5806025d610356000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903070d1c172838b8e40d0a
07/03/2025,10:28:22,S,+SACK:2838$
07/03/2025,10:28:52,D,2b5253500700fe2fbf006380200309020915564a5806025d6103560000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903070d1c352839a0e20d0a
07/03/2025,10:28:52,S,+SACK:2839$
07/03/2025,10:29:22,D,2b5253500700fe2fbf006380200309020915564a5806025d6103560000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903070d1d17283a0e930d0a
07/03/2025,10:29:22,S,+SACK:283a$
07/03/2025,10:29:52,D,2b5253500700fe2fbf006380200309020915564a5806025d610357000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903070d1d35283b768c0d0a
07/03/2025,10:29:52,S,+SACK:283b$
07/03/2025,10:30:22,D,2b5253500700fe2fbf006380200309020915564a5806025d610357000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903070d1e17283c75110d0a
07/03/2025,10:30:22,S,+SACK:283c$
07/03/2025,10:30:52,D,2b5253500700fe2fbf006380200309020915564a5806025d6103580000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903070d1e35283d6dd20d0a
07/03/2025,10:30:52,S,+SACK:283d$
07/03/2025,10:31:22,D,2b5253500700fe2fbf006380200309020915564a5806025d6103580000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903070d1f17283ec3a30d0a
07/03/2025,10:31:22,S,+SACK:283e$
07/03/2025,10:31:52,D,2b5253500700fe2fbf006380200309020915564a5806025d610358000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903070d1f35283fdba50d0a
07/03/2025,10:31:52,S,+SACK:283f$
07/03/2025,10:32:17,D,2b41434b106f2680200309020915564a5806025d610304ffff07e903070d201228404b930d0a
07/03/2025,10:32:17,S,+SACK:2840$
07/03/2025,10:33:56,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e903070d2139284194cc0d0a
07/03/2025,10:33:56,S,+SACK:2841$
07/03/2025,11:22:32,D,2b41434b106f2680200309020915564a5806025d610304ffff07e903070e1621284212860d0a
07/03/2025,11:22:32,S,+SACK:2842$
07/03/2025,11:42:26,D,2b41434b236f2680200309020915564a5806025d610300ffff07e903070e2a1c2843524c0d0a
07/03/2025,11:42:26,S,+SACK:2843$
07/03/2025,11:44:30,D,2b41434b236f2680200309020915564a5806025d610300ffff07e903070e2c1f28445c620d0a
07/03/2025,11:44:30,S,+SACK:2844$
07/03/2025,11:44:43,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e903070e2c2c2845ab8f0d0a
07/03/2025,11:44:43,S,+SACK:2845$
07/03/2025,11:45:25,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e903070e2d1b2846ad6d0d0a
07/03/2025,11:45:25,S,+SACK:2846$
