Data,Hora,Origem,Payload
30/03/2025,17:06:19,D,2b484244ef2280200309020915564a5806025d610307e40101000006d372461c0d0a
30/03/2025,17:06:19,S,+SACK:GTHBD,8020030902,d372$
30/03/2025,17:06:19,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c190000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3007c433f8d10d0a
30/03/2025,17:06:20,S,+SACK:c433$
30/03/2025,17:06:20,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c190000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b300cc43478c70d0a
30/03/2025,17:06:20,S,+SACK:c434$
30/03/2025,17:06:20,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642bdd0000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3011c4350e680d0a
30/03/2025,17:06:21,S,+SACK:c435$
30/03/2025,17:06:21,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c200000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3016c4362f6f0d0a
30/03/2025,17:06:21,S,+SACK:c436$
30/03/2025,17:06:21,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642be50000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b301bc4377aba0d0a
30/03/2025,17:06:22,S,+SACK:c437$
30/03/2025,17:06:22,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c220000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3020c43879960d0a
30/03/2025,17:06:22,S,+SACK:c438$
30/03/2025,17:06:23,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c130000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3025c43941a40d0a
30/03/2025,17:06:23,S,+SACK:c439$
30/03/2025,17:06:23,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c130000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b302ac43a5df60d0a
30/03/2025,17:06:23,S,+SACK:c43a$
30/03/2025,17:06:24,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c130000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b302fc43ba6270d0a
30/03/2025,17:06:24,S,+SACK:c43b$
30/03/2025,17:06:24,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c130000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3034c43d75730d0a
30/03/2025,17:06:24,S,+SACK:c43d$
30/03/2025,17:06:24,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c130000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3039c43e07410d0a
30/03/2025,17:06:25,S,+SACK:c43e$
30/03/2025,17:06:25,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c130000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3102c43f54800d0a
30/03/2025,17:06:25,S,+SACK:c43f$
30/03/2025,17:06:25,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c130000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3107c44030080d0a
30/03/2025,17:06:26,S,+SACK:c440$
30/03/2025,17:06:26,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c130000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b310cc441d0d80d0a
30/03/2025,17:06:26,S,+SACK:c441$
30/03/2025,17:06:26,D,2b4256540e00fe7fbf006a80200309020915564a5806025d6103642c1300000000000012000000006b01000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b310fc442c82b0d0a
30/03/2025,17:06:27,S,+SACK:c442$
30/03/2025,17:06:27,D,2b4256540900fe7fbf006680200309020915564a5806025d6103642c13000000000000120001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b310fc44362bf0d0a
30/03/2025,17:06:27,S,+SACK:c443$
30/03/2025,17:06:28,D,2b4256540d00fe7fbf006a80200309020915564a5806025d6103642c1300000000010022000000000101000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b310fc4442a250d0a
30/03/2025,17:06:28,S,+SACK:c444$
30/03/2025,17:06:28,D,2b4256540900fe7fbf006680200309020915564a5806025d6103642c13000000000100220001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b310fc4450ae90d0a
30/03/2025,17:06:28,S,+SACK:c445$
30/03/2025,17:06:28,D,2b4253501000fe7fbf006780200309020915564a5806025d6103642c1300000000010022000101000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3114c446a7610d0a
30/03/2025,17:06:29,S,+SACK:c446$
30/03/2025,17:06:29,D,2b4253501000fe7fbf006780200309020915564a5806025d6103642c1300000000010022000001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3114c447cc9c0d0a
30/03/2025,17:06:29,S,+SACK:c447$
30/03/2025,17:06:29,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c130000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3119c448e9620d0a
30/03/2025,17:06:30,S,+SACK:c448$
30/03/2025,17:06:30,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c130000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b311ec4497cd30d0a
30/03/2025,17:06:30,S,+SACK:c449$
30/03/2025,17:06:30,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c130000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3123c44acb440d0a
30/03/2025,17:06:31,S,+SACK:c44a$
30/03/2025,17:06:31,D,2b4256540900fe7fbf006680200309020915564a5806025d6103642c29000000000100210001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3128c44bd5e30d0a
30/03/2025,17:06:31,S,+SACK:c44b$
30/03/2025,17:06:31,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c290000010021001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3128c44c7ac70d0a
30/03/2025,17:06:32,S,+SACK:c44c$
30/03/2025,17:06:32,D,2b4256543400fe7fbf008280200309020915564a5806025d6103642c2900000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3129c44d72240d0a
30/03/2025,17:06:32,S,+SACK:c44d$
30/03/2025,17:06:33,D,2b4256540900fe7fbf006680200309020915564a5806025d6103642c29000000000100220001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b312ac44edf220d0a
30/03/2025,17:06:33,S,+SACK:c44e$
30/03/2025,17:06:33,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642ba30000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b312dc44f419a0d0a
30/03/2025,17:06:33,S,+SACK:c44f$
30/03/2025,17:06:33,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c2a0000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3132c450ff240d0a
30/03/2025,17:06:34,S,+SACK:c450$
30/03/2025,17:06:34,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c2a0000010022001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3137c45104f50d0a
30/03/2025,17:06:34,S,+SACK:c451$
30/03/2025,17:06:35,D,2b4256540e00fe7fbf006a80200309020915564a5806025d6103642c2a00000000000012000000002a01000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3139c452e8e70d0a
30/03/2025,17:06:35,S,+SACK:c452$
30/03/2025,17:06:35,D,2b4256540900fe7fbf006680200309020915564a5806025d6103642c2a000000000000120001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3139c45390f70d0a
30/03/2025,17:06:35,S,+SACK:c453$
30/03/2025,17:06:36,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c2a0000000012001001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b3139c4545e590d0a
30/03/2025,17:06:36,S,+SACK:c454$
30/03/2025,17:06:36,D,2b4256540d00fe7fbf006a80200309020915564a5806025d6103642c2a00000000010022000000000101000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b313ac4553cbb0d0a
30/03/2025,17:06:36,S,+SACK:c455$
30/03/2025,17:06:37,D,2b4256540900fe7fbf006680200309020915564a5806025d6103642c2a000000000100220001000000000000000000000000000000000000000000000007240006c4a707a6b00b00000000000000000000000000000000000007e9031e0b313ac45691920d0a
30/03/2025,17:06:37,S,+SACK:c456$
