Data,Hora,Origem,Payload
28/03/2025,07:41:58,D,2b4556540c00fe7fbf006680200309020915564a5806025d61035f2cb7000000000100220b0101000006010f0249fcf31865fe9c03d507e9031c0a283507240006c4a707a7140c00000000000000080100000000000000000007e9031c072836ba656a100d0a
28/03/2025,07:41:58,S,+SACK:ba65$
28/03/2025,07:41:59,D,2b484244ef2280200309020915564a5806025d610307e9031c07290cba66a3770d0a
28/03/2025,07:41:59,S,+SACK:GTHBD,8020030902,ba66$
28/03/2025,07:41:59,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c1a00000100210c10010300000001520250fcf2e8e8fe9c1d4c07e9031c07060407240006c4a707a6b00b00000003000000080000000000000000000007e9031c04060492f394230d0a
28/03/2025,07:41:59,S,+SACK:92f3$
28/03/2025,07:42:00,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c1a00000100210c10010300000001520250fcf2e8e8fe9c1d4c07e9031c07060507240006c4a707a6b00b00000003000000080000000000000000000007e9031c04060592f4376f0d0a
28/03/2025,07:42:00,S,+SACK:92f4$
28/03/2025,07:42:00,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c1a00000100210c10010300000001520250fcf2e8e8fe9c1d4c07e9031c07060607240006c4a707a6b00b00000003000000080000000000000000000007e9031c04060692f543920d0a
28/03/2025,07:42:00,S,+SACK:92f5$
28/03/2025,07:42:01,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c1a00000100210c10010300000001520250fcf2e8e8fe9c1d4c07e9031c07060707240006c4a707a6b00b00000003000000080000000000000000000007e9031c04060792f6a05a0d0a
28/03/2025,07:42:01,S,+SACK:92f6$
28/03/2025,07:42:01,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c1a00000100210c10010300000001520250fcf2e8e8fe9c1d4c07e9031c07060807240006c4a707a6b00b00000003000000080000000000000000000007e9031c04060892f757f60d0a
28/03/2025,07:42:01,S,+SACK:92f7$
28/03/2025,07:42:02,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c1a00000100210c10010300000001520250fcf2e8e8fe9c1d4c07e9031c07060907240006c4a707a6b00b00000003000000080000000000000000000007e9031c04060992f875b20d0a
28/03/2025,07:42:02,S,+SACK:92f8$
28/03/2025,07:42:02,D,2b4253500700fe3fbf006580200309020915564a5806025d6103642c1a00000100210b10010300000001520250fcf2e8e8fe9c1d4c07e9031c07060a07240006c4a707a6b00b00000003000000080000000000000000000007e9031c04060a92f97abb0d0a
28/03/2025,07:42:02,S,+SACK:92f9$
