Data,Hora,Origem,Payload
27/03/2025,17:14:45,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000010021001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e1c474621aa0d0a
27/03/2025,17:14:45,S,+SACK:4746$
27/03/2025,17:14:45,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000010021001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e26474733ef0d0a
27/03/2025,17:14:45,S,+SACK:4747$
27/03/2025,17:14:45,D,2b4556540e00fe7fbf006a80200309020915564a5806025d6103642cd50000000000001200000000b701000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e2d4748d2650d0a
27/03/2025,17:14:45,S,+SACK:4748$
27/03/2025,17:14:46,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cd500000000000012000101000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e2d47494ce10d0a
27/03/2025,17:14:46,S,+SACK:4749$
27/03/2025,17:14:46,D,2b4556540d00fe7fbf006a80200309020915564a5806025d6103642cd500000000010022000000000201000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e2f474a431f0d0a
27/03/2025,17:14:46,S,+SACK:474a$
27/03/2025,17:14:47,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000010022001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e30474b71770d0a
27/03/2025,17:14:47,S,+SACK:474b$
27/03/2025,17:14:47,D,2b4556540e00fe7fbf006a80200309020915564a5806025d6103642cd500000000000012000000000101000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e30474cd58c0d0a
27/03/2025,17:14:47,S,+SACK:474c$
27/03/2025,17:14:48,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cd500000000000012000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e32474d18eb0d0a
27/03/2025,17:14:48,S,+SACK:474d$
27/03/2025,17:14:48,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cd500000000000012000101000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e32474e53540d0a
27/03/2025,17:14:48,S,+SACK:474e$
27/03/2025,17:14:49,D,2b4556540d00fe7fbf006a80200309020915564a5806025d6103642cd500000000010022000000000201000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e33474f25b80d0a
27/03/2025,17:14:49,S,+SACK:474f$
27/03/2025,17:14:50,D,2b4556540e00fe7fbf006a80200309020915564a5806025d6103642cd500000000000012000000000301000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e3547501a790d0a
27/03/2025,17:14:50,S,+SACK:4750$
27/03/2025,17:14:52,D,2b4556540d00fe7fbf006a80200309020915564a5806025d6103642cd500000000010022000000000201000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e3747510a870d0a
27/03/2025,17:14:52,S,+SACK:4751$
27/03/2025,17:14:52,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cd500000000010022000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e37475201cd0d0a
27/03/2025,17:14:52,S,+SACK:4752$
27/03/2025,17:14:53,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cd500000000010022000101000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e3747536a300d0a
27/03/2025,17:14:53,S,+SACK:4753$
27/03/2025,17:14:53,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cd500000000010022000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e374754610b0d0a
27/03/2025,17:14:53,S,+SACK:4754$
27/03/2025,17:14:54,D,2b4556540e00fe7fbf006a80200309020915564a5806025d6103642cd500000000000012000000000201000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e39475544610d0a
27/03/2025,17:14:54,S,+SACK:4755$
27/03/2025,17:14:54,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000012001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e3947563d720d0a
27/03/2025,17:14:54,S,+SACK:4756$
27/03/2025,17:14:56,D,2b4556540d00fe7fbf006a80200309020915564a5806025d6103642cd500000000010022000000000201000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110e3b47571f200d0a
27/03/2025,17:14:56,S,+SACK:4757$
27/03/2025,17:14:57,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cd500000000010022000101000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110f004758edda0d0a
27/03/2025,17:14:57,S,+SACK:4758$
27/03/2025,17:14:57,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cd500000000010022000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110f00475986270d0a
27/03/2025,17:14:57,S,+SACK:4759$
27/03/2025,17:15:02,D,2b484244ef2280200309020915564a5806025d610307e9031b110f06475ae7bd0d0a
27/03/2025,17:15:02,S,+SACK:GTHBD,8020030902,475a$
27/03/2025,17:15:05,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000010022001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110f08475b79f60d0a
27/03/2025,17:15:05,S,+SACK:475b$
27/03/2025,17:15:15,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000010022001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110f12475c8db30d0a
27/03/2025,17:15:15,S,+SACK:475c$
27/03/2025,17:15:25,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000010022001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110f1c475d86930d0a
27/03/2025,17:15:25,S,+SACK:475d$
27/03/2025,17:15:35,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000010021001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110f26475ec6430d0a
27/03/2025,17:15:35,S,+SACK:475e$
27/03/2025,17:15:45,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000010021001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110f30475f27a10d0a
27/03/2025,17:15:45,S,+SACK:475f$
27/03/2025,17:15:55,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000010021001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b110f3a476027dc0d0a
27/03/2025,17:15:55,S,+SACK:4760$
27/03/2025,17:16:05,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000010021001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b111008476153710d0a
27/03/2025,17:16:05,S,+SACK:4761$
27/03/2025,17:16:07,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e9031b11100a4762c3670d0a
27/03/2025,17:16:07,S,+SACK:4762$
27/03/2025,17:16:31,D,2b4556540e00fe7fbf006a80200309020915564a5806025d6103642cbb00000000000012000000005e01000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b1110214763018c0d0a
27/03/2025,17:16:31,S,+SACK:4763$
27/03/2025,17:16:33,D,2b4556540d00fe7fbf006a80200309020915564a5806025d6103642cbb00000000010022000000000201000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b111024476457f20d0a
27/03/2025,17:16:33,S,+SACK:4764$
27/03/2025,17:16:33,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cbb00000000010022000101000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b111024476592400d0a
27/03/2025,17:16:33,S,+SACK:4765$
27/03/2025,17:16:33,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cbb00000000010022000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000040900000000000000000007e9031b1110244766d9ff0d0a
27/03/2025,17:16:33,S,+SACK:4766$
27/03/2025,17:17:03,D,2b484244ef2280200309020915564a5806025d610307e9031b1111064767b9be0d0a
27/03/2025,17:17:03,S,+SACK:GTHBD,8020030902,4767$
27/03/2025,17:19:03,D,2b484244ef2280200309020915564a5806025d610307e9031b1113064768a5390d0a
27/03/2025,17:19:03,S,+SACK:GTHBD,8020030902,4768$
27/03/2025,17:19:34,D,2b4556540e00fe7fbf006a80200309020915564a5806025d6103642cec0000000000001200000000b601000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000040900000000000000000007e9031b1113254769a3260d0a
27/03/2025,17:19:34,S,+SACK:4769$
27/03/2025,17:19:37,D,2b4556540d00fe7fbf006a80200309020915564a5806025d6103642cec00000000010022000000000301000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000040900000000000000000007e9031b111329476a397c0d0a
27/03/2025,17:19:37,S,+SACK:476a$
27/03/2025,17:19:38,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cec00000000010022000101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000040900000000000000000007e9031b111329476ba7f10d0a
27/03/2025,17:19:38,S,+SACK:476b$
27/03/2025,17:19:38,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cec00000000010022000001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000040900000000000000000007e9031b111329476cacca0d0a
27/03/2025,17:19:38,S,+SACK:476c$
27/03/2025,17:20:05,D,2b4556540e00fe7fbf006a80200309020915564a5806025d6103642ccd00000000000012000000001c01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000040900000000000000000007e9031b111408476dcfc10d0a
27/03/2025,17:20:05,S,+SACK:476d$
27/03/2025,17:20:07,D,2b4556540d00fe7fbf006a80200309020915564a5806025d6103642ccd00000000010022000000000201000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000040900000000000000000007e9031b11140a476eafec0d0a
27/03/2025,17:20:07,S,+SACK:476e$
27/03/2025,17:20:08,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642ccd00000000010022000101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000040900000000000000000007e9031b11140b476fd29c0d0a
27/03/2025,17:20:08,S,+SACK:476f$
27/03/2025,17:20:08,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642ccd00000000010022000001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000040900000000000000000007e9031b11140b47704a9e0d0a
27/03/2025,17:20:08,S,+SACK:4770$
27/03/2025,17:21:03,D,2b484244ef2280200309020915564a5806025d610307e9031b111506477101b80d0a
27/03/2025,17:21:03,S,+SACK:GTHBD,8020030902,4771$
27/03/2025,17:23:03,D,2b484244ef2280200309020915564a5806025d610307e9031b1117064772dcb30d0a
27/03/2025,17:23:03,S,+SACK:GTHBD,8020030902,4772$
27/03/2025,17:24:29,D,2b4556540e00fe7fbf006a80200309020915564a5806025d6103642cc300000000000012000000010601000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000040900000000000000000007e9031b111820477365660d0a
27/03/2025,17:24:29,S,+SACK:4773$
27/03/2025,17:24:30,D,2b4556540d00fe7fbf006a80200309020915564a5806025d6103642cc300000000010022000000000101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000040900000000000000000007e9031b1118214774571b0d0a
27/03/2025,17:24:30,S,+SACK:4774$
27/03/2025,17:24:33,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cc300000000010022000101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000040900000000000000000007e9031b111824477585f90d0a
27/03/2025,17:24:33,S,+SACK:4775$
27/03/2025,17:24:33,D,2b5253501000fe7fbf006780200309020915564a5806025d6103642cc300000000010022000001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000040900000000000000000007e9031b1118244776ce460d0a
27/03/2025,17:24:33,S,+SACK:4776$
27/03/2025,17:25:03,D,2b484244ef2280200309020915564a5806025d610307e9031b11190647772e4c0d0a
27/03/2025,17:25:03,S,+SACK:GTHBD,8020030902,4777$
27/03/2025,17:27:03,D,2b484244ef2280200309020915564a5806025d610307e9031b111b06477832cb0d0a
27/03/2025,17:27:03,S,+SACK:GTHBD,8020030902,4778$
27/03/2025,17:29:04,D,2b484244ef2280200309020915564a5806025d610307e9031b111d06477905730d0a
27/03/2025,17:29:04,S,+SACK:GTHBD,8020030902,4779$
27/03/2025,17:31:03,D,2b484244ef2280200309020915564a5806025d610307e9031b111f06477ad8780d0a
27/03/2025,17:31:03,S,+SACK:GTHBD,8020030902,477a$
