Data,Hora,Origem,Payload
25/03/2025,17:21:31,D,2b484244ef2280200309020915564a5806025d610307e903191115161888a92c0d0a
25/03/2025,17:21:31,S,+SACK:GTHBD,8020030902,1888$
25/03/2025,17:21:31,D,2b4256543100fe7fbf006780200309020915564a5806025d6103422cb900000000010021000301000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e9031911111e187d85a80d0a
25/03/2025,17:21:31,S,+SACK:187d$
25/03/2025,17:21:32,D,2b4556543000fe7fbf006780200309020915564a5806025d61033700000000000000004100030100000000000000000000000000000000000000000000000000000000000000000000000000000000020800000000000000000007e90319111315187fca070d0a
25/03/2025,17:21:32,S,+SACK:187f$
25/03/2025,17:21:32,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610337000000000000010021000000000301000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000020800000000000000000007e90319111317188053940d0a
25/03/2025,17:21:32,S,+SACK:1880$
25/03/2025,17:21:33,D,2b4556540300fe7fbf006680200309020915564a5806025d6103372cf3000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000020800000000000000000007e9031911131818817d5a0d0a
25/03/2025,17:21:33,S,+SACK:1881$
25/03/2025,17:21:33,D,2b4556540700fe7fbf006680200309020915564a5806025d6103402cc5000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000020800000000000000000007e9031911131a18829aed0d0a
25/03/2025,17:21:33,S,+SACK:1882$
25/03/2025,17:21:34,D,2b4556540e00fe7fbf006a80200309020915564a5806025d6103422cc500000000000012000000107e01000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000020800000000000000000007e9031911140d188360b00d0a
25/03/2025,17:21:34,S,+SACK:1883$
25/03/2025,17:21:34,D,2b4556540d00fe7fbf006a80200309020915564a5806025d6103422cc500000000010022000000000101000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000020800000000000000000007e9031911140e1884ad840d0a
25/03/2025,17:21:34,S,+SACK:1884$
25/03/2025,17:21:35,D,2b4556543400fe7fbf008280200309020915564a5806025d6103422cb400000000010022000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000020800000000000000000007e903191114241885267c0d0a
25/03/2025,17:21:35,S,+SACK:1885$
25/03/2025,17:21:35,D,2b4556543500fe7fbf008380200309020915564a5806025d6103422cb400000000010022000d0347563538434725494d454900780541296d6300004cb04ad2cb920001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90319111429188634340d0a
25/03/2025,17:21:35,S,+SACK:1886$
25/03/2025,17:21:36,D,2b4556543400fe7fbf008280200309020915564a5806025d6103432cb400000000010022000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e9031911150418876b810d0a
25/03/2025,17:21:36,S,+SACK:1887$
25/03/2025,17:21:50,D,2b5253500b00fe7fbf006780200309020915564a5806025d6103432ca500000000010021000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e903191115331889b7720d0a
25/03/2025,17:21:50,S,+SACK:1889$
25/03/2025,17:21:50,D,2b5253501000fe7fbf006780200309020915564a5806025d6103432ca500000000010021000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90319111533188a22090d0a
25/03/2025,17:21:50,S,+SACK:188a$
25/03/2025,17:21:51,D,2b5253501000fe7fbf006780200309020915564a5806025d6103432ca500000000010021000101000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90319111533188b49f40d0a
25/03/2025,17:21:51,S,+SACK:188b$
25/03/2025,17:21:51,D,2b5253501000fe7fbf006780200309020915564a5806025d6103432ca500000000010021000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90319111533188c42cf0d0a
25/03/2025,17:21:51,S,+SACK:188c$
25/03/2025,17:23:31,D,2b484244ef2280200309020915564a5806025d610307e90319111720188d63e40d0a
25/03/2025,17:23:31,S,+SACK:GTHBD,8020030902,188d$
25/03/2025,17:25:31,D,2b484244ef2280200309020915564a5806025d610307e90319111920188ef1dd0d0a
25/03/2025,17:25:31,S,+SACK:GTHBD,8020030902,188e$
25/03/2025,17:27:31,D,2b484244ef2280200309020915564a5806025d610307e90319111b20188f0c940d0a
25/03/2025,17:27:31,S,+SACK:GTHBD,8020030902,188f$
25/03/2025,17:29:31,D,2b484244ef2280200309020915564a5806025d610307e90319111d201890c8d30d0a
25/03/2025,17:29:31,S,+SACK:GTHBD,8020030902,1890$
25/03/2025,17:34:22,D,2b484244ef2280200309020915564a5806025d610307e903191121211892bc7a0d0a
25/03/2025,17:34:22,S,+SACK:GTHBD,8020030902,1892$
25/03/2025,17:35:42,D,2b484244ef2280200309020915564a5806025d610307e9031911232b189386f20d0a
25/03/2025,17:35:42,S,+SACK:GTHBD,8020030902,1893$
