Data,Hora,Origem,Payload,,
25/03/2025,21:29:54,D,2b4556540c00fe7fbf006680200309020915564a5806025d6103352bf9000000000100220c010100000000000240fcf2e873fe9c1d5007e9031a00180007240006c4a707a6b01500000000000000020800000000000000000007e903191518011bef8bf80d0a,,
25/03/2025,21:29:54,S,+SACK:1bef$,,
25/03/2025,21:29:55,D,2b484244ef2280200309020915564a5806025d610307e90319151d071c303bad0d0a,,
25/03/2025,21:29:55,S,+SACK:GTHBD,8020030902,1c30$
25/03/2025,21:29:55,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000100220c1001010000000000023bfcf2e853fe9c1d3f07e9031a00000907240006c4a707a6b01500000000000000020800000000000000000007e9031915000b1ac88fc30d0a,,
25/03/2025,21:29:55,S,+SACK:1ac8$,,
25/03/2025,21:29:56,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000100220c1001010000000000023bfcf2e853fe9c1d3f07e9031a00000e07240006c4a707a6b01500000000000000020800000000000000000007e903191500101ac9b3f30d0a,,
25/03/2025,21:29:56,S,+SACK:1ac9$,,
25/03/2025,21:29:56,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000100220a1001010000000000023bfcf2e853fe9c1d3f07e9031a00001307240006c4a707a6b01500000000000000020800000000000000000007e903191500151acababd0d0a,,
25/03/2025,21:29:56,S,+SACK:1aca$,,
25/03/2025,21:29:57,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000100220b1001010000000119023bfcf2e853fe9c1d3f07e9031a00001807240006c4a707a6b01500000000000000020800000000000000000007e9031915001a1acbd28b0d0a,,
25/03/2025,21:29:57,S,+SACK:1acb$,,
25/03/2025,21:29:58,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000100220c1001010000000119023bfcf2e853fe9c1d3f07e9031a00001d07240006c4a707a6b01500000000000000020800000000000000000007e9031915001f1acc74fc0d0a,,
25/03/2025,21:29:58,S,+SACK:1acc$,,
25/03/2025,21:29:58,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000100220c1001010000000119023bfcf2e853fe9c1d3f07e9031a00002207240006c4a707a6b01500000000000000020800000000000000000007e903191500241acd72960d0a,,
25/03/2025,21:29:58,S,+SACK:1acd$,,
25/03/2025,21:29:59,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000100210c1001010000000119023bfcf2e853fe9c1d3f07e9031a00002707240006c4a707a6b01500000000000000020800000000000000000007e903191500291ace34e70d0a,,
25/03/2025,21:29:59,S,+SACK:1ace$,,
25/03/2025,21:29:59,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000100210b1001010000000119023bfcf2e853fe9c1d3f07e9031a00002c07240006c4a707a6b01500000000000000020800000000000000000007e9031915002e1acfb3110d0a,,
25/03/2025,21:29:59,S,+SACK:1acf$,,
25/03/2025,21:30:00,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000100210c1001010000000119023bfcf2e853fe9c1d3f07e9031a00003107240006c4a707a6b01500000000000000020800000000000000000007e903191500331ad090dc0d0a,,
25/03/2025,21:30:00,S,+SACK:1ad0$,,
25/03/2025,21:30:01,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000100210c1001010000000119023bfcf2e853fe9c1d3f07e9031a00003607240006c4a707a6b01500000000000000020800000000000000000007e903191500381ad1ef8f0d0a,,
25/03/2025,21:30:01,S,+SACK:1ad1$,,
25/03/2025,21:30:01,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000100210c1001010000000119023bfcf2e853fe9c1d3f07e9031a00003b07240006c4a707a6b01500000000000000020800000000000000000007e903191501011ad2e0c70d0a,,
25/03/2025,21:30:01,S,+SACK:1ad2$,,
