Data,Hora,Origem,Payload
25/03/2025,20:48:07,D,2b484244ef2280200309020915564a5806025d610307e90319142f121a27309e0d0a
25/03/2025,20:48:07,S,+SACK:GTHBD,8020030902,1a27$
25/03/2025,20:48:08,D,2b4256540e00fe7fbf006a80200309020915564a5806025d61034c2ca80000000000001200000003d301000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e903191124211894bccc0d0a
25/03/2025,20:48:08,S,+SACK:1894$
25/03/2025,20:48:08,D,2b4256540800fe7fbf006680200309020915564a5806025d61034c2ca8000000000000120001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90319112422189546030d0a
25/03/2025,20:48:08,S,+SACK:1895$
25/03/2025,20:48:09,D,2b4253501000fe7fbf006780200309020915564a5806025d61034c2ca800000000000012000101000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e9031911242618965fd20d0a
25/03/2025,20:48:09,S,+SACK:1896$
25/03/2025,20:48:09,D,2b4256540400fe7fbf006680200309020915564a5806025d61034c0000000000000000120001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000020800000000000000000007e90319112426189773810d0a
25/03/2025,20:48:09,S,+SACK:1897$
25/03/2025,20:48:10,D,2b4256543500fe7fbf008380200309020915564a5806025d610323000000000000000016000d0347563538434725494d454900780541296d6300004cb04ad2cb920001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000020800000000000000000007e9031911290d189a61a50d0a
25/03/2025,20:48:10,S,+SACK:189a$
25/03/2025,20:48:11,D,2b4253500700fe2fbf006380200309020915564a5806025d61032200000000160c10010100000000000225fcf3188ffe9c03c307e90319142a3907240006c4a707a7140c00000000000000020800000000000000000007e90319112a3b189b3eab0d0a
25/03/2025,20:48:11,S,+SACK:189b$
25/03/2025,20:48:12,D,2b4253500700fe2fbf006380200309020915564a5806025d61032200000000160c10010100000000880225fcf3188ffe9c03c307e90319142b0707240006c4a707a7140c00000000000000020800000000000000000007e90319112b09189ce3690d0a
25/03/2025,20:48:12,S,+SACK:189c$
25/03/2025,20:48:12,D,2b4253500700fe2fbf006380200309020915564a5806025d61032200000000160c10010200000000880225fcf3188ffe9c03c307e90319142b1107240006c4a707a7140c00000000000000020800000000000000000007e90319112b13189d797c0d0a
25/03/2025,20:48:13,S,+SACK:189d$
25/03/2025,20:48:13,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000000160c10010200000000880225fcf3188ffe9c03c307e90319142b1807240006c4a707a7140c00000000000000020800000000000000000007e90319112b1d189e42910d0a
25/03/2025,20:48:13,S,+SACK:189e$
25/03/2025,20:48:13,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000000160c10010300000000a60239fcf318b8fe9c031f07e90319142b2507240006c4a707a7140c00000000000000020800000000000000000007e90319112b27189f654a0d0a
25/03/2025,20:48:13,S,+SACK:189f$
25/03/2025,20:48:14,D,2b4253500700fe2fbf006380200309020915564a5806025d61032200000000160c10010200000000a60239fcf318b8fe9c031f07e90319142b2f07240006c4a707a7140c00000000000000020800000000000000000007e90319112b3118a0c5790d0a
25/03/2025,20:48:14,S,+SACK:18a0$
25/03/2025,20:48:15,D,2b4253500700fe2fbf006380200309020915564a5806025d61032200000000160c10010400000000a60238fcf31927fe9c022d07e90319142b3907240006c4a707a7140c00000000000000020800000000000000000007e90319112b3b18a194660d0a
25/03/2025,20:48:15,S,+SACK:18a1$
25/03/2025,20:48:16,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000000160c10010300040400650231fcf31986fe9c01e107e90319142c0707240006c4a707a7140c00000000000000020800000000000000000007e90319112c0918a2d1430d0a
25/03/2025,20:48:16,S,+SACK:18a2$
25/03/2025,20:48:16,D,2b4253500700fe2fbf006380200309020915564a5806025d61032100000000160c1001030003070063022cfcf319d2fe9c01b907e90319142c1007240006c4a707a7140c00000000000000020800000000000000000007e90319112c1318a31baf0d0a
25/03/2025,20:48:16,S,+SACK:18a3$
25/03/2025,20:48:17,D,2b4253500700fe2fbf006380200309020915564a5806025d61031d00000000160c10010100030500650238fcf31b94fe9c013f07e90319142c3607240006c4a707a7140200000000000000020800000000000000000007e90319112c3b18a476290d0a
25/03/2025,20:48:17,S,+SACK:18a4$
25/03/2025,20:48:17,D,2b4253500700fe2fbf006380200309020915564a5806025d61031e00000000160c1001050004010066023dfcf31c30fe9c012007e90319142d0707240006c4a707a7140200000000000000020800000000000000000007e90319112d0918a5bbad0d0a
25/03/2025,20:48:17,S,+SACK:18a5$
25/03/2025,20:48:18,D,2b4253500700fe2fbf006380200309020915564a5806025d61031e00000000160c100104000305006b023efcf31d18fe9c010a07e90319142d1a07240006c4a707a7140200000000000000020800000000000000000007e90319112d1d18a7af8b0d0a
25/03/2025,20:48:18,S,+SACK:18a7$
25/03/2025,20:48:18,D,2b4253500700fe2fbf006380200309020915564a5806025d61031c00000000160c100103000000006b023efcf31d24fe9c010807e90319142d2507240006c4a707a7140200000000000000020800000000000000000007e90319112d2718a8b9060d0a
25/03/2025,20:48:18,S,+SACK:18a8$
25/03/2025,20:48:19,D,2b4253500700fe2fbf006380200309020915564a5806025d61031c00000000160c100103000000006b023efcf31d24fe9c010807e90319142d2f07240006c4a707a7140200000000000000020800000000000000000007e90319112d3118aae5af0d0a
25/03/2025,20:48:19,S,+SACK:18aa$
25/03/2025,20:48:19,D,2b4253500700fe2fbf006380200309020915564a5806025d61031a00000000160c100103000000006b023efcf31d24fe9c010807e90319142d3907240006c4a707a7140200000000000000020800000000000000000007e90319112d3b18abb15e0d0a
25/03/2025,20:48:19,S,+SACK:18ab$
25/03/2025,20:48:20,D,2b4253500700fe2fbf006380200309020915564a5806025d61031a00000000160c100102000000006b023efcf31d24fe9c010807e90319142e0707240006c4a707a7140200000000000000020800000000000000000007e90319112e0918ace6950d0a
25/03/2025,20:48:20,S,+SACK:18ac$
25/03/2025,20:48:20,D,2b4253500700fe2fbf006380200309020915564a5806025d61031a00000000160c100101000000006b023efcf31d24fe9c010807e90319142e1107240006c4a707a7140200000000000000020800000000000000000007e90319112e1318ad7c800d0a
25/03/2025,20:48:20,S,+SACK:18ad$
25/03/2025,20:48:21,D,2b4253500700fe2fbf006380200309020915564a5806025d61031900000000160c100103000000006b023efcf31d24fe9c010807e90319142e1a07240006c4a707a7140200000000000000020800000000000000000007e90319112e1d18aef8c50d0a
25/03/2025,20:48:21,S,+SACK:18ae$
25/03/2025,20:48:21,D,2b4253500700fe2fbf006380200309020915564a5806025d61031900000000160c100102000000006b023efcf31d24fe9c010807e90319142e2507240006c4a707a7141600000000000000020800000000000000000007e90319112e2718af89820d0a
25/03/2025,20:48:21,S,+SACK:18af$
25/03/2025,20:48:22,D,2b4253500700fe2fbf006380200309020915564a5806025d61031a00000000160c100104000000006b023efcf31d24fe9c010807e90319142e2f07240006c4a707a7141600000000000000020800000000000000000007e90319112e3118b01d5d0d0a
25/03/2025,20:48:22,S,+SACK:18b0$
25/03/2025,20:48:22,D,2b4253500700fe2fbf006380200309020915564a5806025d61031c00000000160c100105000207006b0246fcf320f5fe9c00ce07e90319142e3807240006c4a707a7141600000000000000020800000000000000000007e90319112e3b18b19c1f0d0a
25/03/2025,20:48:23,S,+SACK:18b1$
25/03/2025,20:48:24,D,2b4253500700fe2fbf006380200309020915564a5806025d61031c00000000160c100101000000006b0241fcf3216bfe9c00c407e90319142f1107240006c4a707a6d80b00000000000000020800000000000000000007e90319112f1318b205150d0a
25/03/2025,20:48:24,S,+SACK:18b2$
25/03/2025,20:48:25,D,2b4253500700fe2fbf006380200309020915564a5806025d61031d00000000160c100105000000006b0241fcf3216bfe9c00c407e90319142f1a07240006c4a707a6d80b00000000000000020800000000000000000007e90319112f1d18b3cae10d0a
25/03/2025,20:48:25,S,+SACK:18b3$
25/03/2025,20:48:25,D,2b4253500700fe2fbf006380200309020915564a5806025d61031e00000000160c100101000000006b0241fcf3216bfe9c00c407e90319142f2507240006c4a707a6d80b00000000000000020800000000000000000007e90319112f2718b4f6280d0a
25/03/2025,20:48:25,S,+SACK:18b4$
25/03/2025,20:48:25,D,2b4253500700fe2fbf006380200309020915564a5806025d61031e00000000160c100102000000006b0241fcf3216bfe9c00c407e90319142f2f07240006c4a707a6d80b00000000000000020800000000000000000007e90319112f3118b547120d0a
25/03/2025,20:48:25,S,+SACK:18b5$
25/03/2025,20:48:26,D,2b4253500700fe2fbf006380200309020915564a5806025d61031e00000000160c100101000000006b0241fcf3216bfe9c00c407e90319142f3907240006c4a707a6d80b00000000000000020800000000000000000007e90319112f3b18b6be260d0a
25/03/2025,20:48:26,S,+SACK:18b6$
25/03/2025,20:48:27,D,2b4253500700fe2fbf006380200309020915564a5806025d61031d00000000160c100101000000006b0241fcf3216bfe9c00c407e9031914300607240006c4a707a6d80b00000000000000020800000000000000000007e9031911300918b7d77a0d0a
25/03/2025,20:48:27,S,+SACK:18b7$
25/03/2025,20:48:27,D,2b4253500700fe2fbf006380200309020915564a5806025d61031d00000000160c100104000000006b023cfcf322d8fe9bff6807e9031914301107240006c4a707a6d80b00000000000000020800000000000000000007e9031911301318b8bd650d0a
25/03/2025,20:48:27,S,+SACK:18b8$
25/03/2025,20:48:28,D,2b4253500700fe2fbf006380200309020915564a5806025d61031d00000000160c100101000000006b023cfcf322d8fe9bff6807e9031914301b07240006c4a707a6d80b00000000000000020800000000000000000007e9031911301d18b94d5c0d0a
25/03/2025,20:48:28,S,+SACK:18b9$
25/03/2025,20:48:28,D,2b4253500700fe2fbf006380200309020915564a5806025d61031d00000000160c100101000000006b023cfcf322d8fe9bff6807e9031914302507240006c4a707a6d8dd00000000000000020800000000000000000007e9031911302718bac6ff0d0a
25/03/2025,20:48:28,S,+SACK:18ba$
25/03/2025,20:48:29,D,2b4253500700fe2fbf006380200309020915564a5806025d61031d00000000160c100101000000006b023cfcf322d8fe9bff6807e9031914302f07240006c4a707a6d8dd00000000000000020800000000000000000007e9031911303118bbaa350d0a
25/03/2025,20:48:29,S,+SACK:18bb$
25/03/2025,20:48:29,D,2b4253500700fe2fbf006380200309020915564a5806025d61031d00000000160c100102000000006b023cfcf322d8fe9bff6807e9031914303907240006c4a707a6d8dd00000000000000020800000000000000000007e9031911303b18bc13850d0a
25/03/2025,20:48:29,S,+SACK:18bc$
25/03/2025,20:48:30,D,2b4253500700fe2fbf006380200309020915564a5806025d61031c00000000160c10010400000000b3023cfcf322d8fe9bff6807e9031914310707240006c4a707a6d8dd00000000000000020800000000000000000007e9031911310918bdca220d0a
25/03/2025,20:48:30,S,+SACK:18bd$
