Data,Hora,Origem,Payload
09/05/2025,15:45:39,D,2b4556540909fe7fbf00678020030a040a14564a5806025d61030031a2000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000010000000000000000000007e90509122c2b15e4d6200d0a
09/05/2025,15:45:39,S,+SACK:15e4$
09/05/2025,15:45:39,D,2b484244ef228020030a040a14564a5806025d610307e90509122c3015e58d500d0a
09/05/2025,15:45:39,S,+SACK:GTHBD,8020030a04,15e5$
09/05/2025,15:45:40,D,2b4556540909fe7fbf00678020030a040a14564a5806025d6103003119000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000010000000000000000000007e90509122d1215e6376e0d0a
09/05/2025,15:45:40,S,+SACK:15e6$
09/05/2025,15:45:40,D,2b4556540909fe7fbf00678020030a040a14564a5806025d610300317a000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000010000000000000000000007e90509122d1515e7548f0d0a
09/05/2025,15:45:40,S,+SACK:15e7$
09/05/2025,15:49:09,D,2b484244ef228020030a040a14564a5806025d610307e90509122f2815eb1d800d0a
09/05/2025,15:49:09,S,+SACK:GTHBD,8020030a04,15eb$
09/05/2025,15:49:10,D,2b4256540909fe7fbf00678020030a040a14564a5806025d61030031ce000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000010000000000000000000007e90509122e1415e86ce90d0a
09/05/2025,15:50:10,D,2b4256540909fe7fbf00678020030a040a14564a5806025d61030031ce000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000010000000000000000000007e90509122e1415e86ce90d0a
09/05/2025,15:50:10,S,+SACK:15e8$
09/05/2025,15:50:11,D,2b4556540909fe7fbf00678020030a040a14564a5806025d610300315a000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000010000000000000000000007e90509122e1f15e9ed0c0d0a
09/05/2025,15:50:11,S,+SACK:15e9$
09/05/2025,15:50:11,D,2b4556540909fe7fbf00678020030a040a14564a5806025d610300315e000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000010000000000000000000007e90509122f1515ea1e470d0a
09/05/2025,15:50:11,S,+SACK:15ea$
09/05/2025,15:50:12,D,2b4556540909fe7fbf00678020030a040a14564a5806025d6103003152000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000010000000000000000000007e9050912300b15ec9ae30d0a
09/05/2025,15:50:12,S,+SACK:15ec$
09/05/2025,15:50:12,D,2b4556540909fe7fbf00678020030a040a14564a5806025d61030031a1000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000010000000000000000000007e9050912313115ed1b2a0d0a
09/05/2025,15:50:12,S,+SACK:15ed$
09/05/2025,15:50:13,D,2b4556540909fe7fbf00678020030a040a14564a5806025d61030031ff000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c0000000000000000010000000000000000000007e9050912313515ee8e0d0d0a
