Data,Hora,Origem,Payload
07/05/2025,14:46:17,D,2b4556540c09fe7fbf00678020030a040a14564a5806025d6103002cd3000000000100210b010100000000000225fcf316e5fe9c039c07e90507112d0a07240006c4a707a714020000000000000000000000000000000000000007e90507112d0a00eedb9e0d0a
07/05/2025,14:46:17,S,+SACK:00ee$
07/05/2025,14:46:17,D,2b484244ef228020030a040a14564a5806025d610307e90507112d1d00f0ef100d0a
07/05/2025,14:46:17,S,+SACK:GTHBD,8020030a04,00f0$
07/05/2025,14:46:18,D,2b4253501209fe2fbf0002810200728020030a040a14564a5806025d61030000000100210c1000000004000100000000010100000000000232fcf31696fe9c035807e90507111e1907240006c4a707a7140c0000000000000000000000000000000000000007e90507111e1a00a51a2e0d0a
07/05/2025,14:51:16,D,2b4556540c09fe3fbf00658020030a040a14564a5806025d6103002cdf00000100210b010100000000000225fcf316e5fe9c039c07e9050711320907240006c4a707a7140c0000000000000000000000000000000000000007e9050711320a0108c25e0d0a
07/05/2025,14:51:16,S,+SACK:0108$
07/05/2025,14:51:17,D,2b484244ef228020030a040a14564a5806025d610307e9050711321d010a5d3d0d0a
07/05/2025,14:51:17,S,+SACK:GTHBD,8020030a04,010a$
07/05/2025,14:51:17,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cdf0000010021071000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711320f07240006c4a707a7140c0000000000000000000000000000000000000007e90507113210010942cb0d0a
07/05/2025,14:51:58,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cdf0000010021071000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711320f07240006c4a707a7140c0000000000000000000000000000000000000007e90507113210010942cb0d0a
07/05/2025,14:51:58,S,+SACK:0109$
07/05/2025,14:51:58,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cdf00000100210b1000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711321e07240006c4a707a7140c0000000000000000000000000000000000000007e9050711321f010b2e240d0a
07/05/2025,14:51:58,S,+SACK:010b$
07/05/2025,14:51:58,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cdf00000100210a1000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711322d07240006c4a707a7140c0000000000000000000000000000000000000007e9050711322e010ce9820d0a
07/05/2025,14:51:58,S,+SACK:010c$
07/05/2025,14:51:59,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002d080000010021091000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711330007240006c4a707a7140c0000000000000000000000000000000000000007e90507113301010d97b60d0a
07/05/2025,14:51:59,S,+SACK:010d$
07/05/2025,14:51:59,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cc00000010021071000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711330f07240006c4a707a7140c0000000000000000000000000000000000000007e90507113310010e5db70d0a
07/05/2025,14:51:59,S,+SACK:010e$
07/05/2025,14:52:00,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cc000000100210c1000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711331e07240006c4a707a7140c0000000000000000000000000000000000000007e9050711331f010ff65d0d0a
07/05/2025,14:52:00,S,+SACK:010f$
07/05/2025,14:52:00,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cc00000010021091000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711332d07240006c4a707a7140c0000000000000000000000000000000000000007e9050711332e011056910d0a
07/05/2025,14:52:00,S,+SACK:0110$
07/05/2025,14:52:01,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cc000000100210c1000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711340007240006c4a707a7140c0000000000000000000000000000000000000007e9050711340101111dbc0d0a
07/05/2025,14:52:01,S,+SACK:0111$
07/05/2025,14:52:16,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cc000000100210c1000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711340f07240006c4a707a7140c0000000000000000000000000000000000000007e9050711341001128dab0d0a
07/05/2025,14:52:16,S,+SACK:0112$
07/05/2025,14:52:31,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cc100000100210c1000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711341e07240006c4a707a7140c0000000000000000000000000000000000000007e9050711341f011382c40d0a
07/05/2025,14:52:31,S,+SACK:0113$
07/05/2025,14:52:46,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cc100000100210b1000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711342d07240006c4a707a7140c0000000000000000000000000000000000000007e9050711342e011443080d0a
07/05/2025,14:52:46,S,+SACK:0114$
07/05/2025,14:53:01,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cc100000100210a1000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711350007240006c4a707a7140c0000000000000000000000000000000000000007e9050711350101159c750d0a
07/05/2025,14:53:01,S,+SACK:0115$
07/05/2025,14:53:16,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cc000000100210c1000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711350f07240006c4a707a7140c0000000000000000000000000000000000000007e905071135100116553f0d0a
07/05/2025,14:53:16,S,+SACK:0116$
07/05/2025,14:53:17,D,2b484244ef228020030a040a14564a5806025d610307e905071135110117baed0d0a
07/05/2025,14:53:17,S,+SACK:GTHBD,8020030a04,0117$
07/05/2025,14:53:31,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cc000000100210a1000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711351e07240006c4a707a7140c0000000000000000000000000000000000000007e9050711351f0118f2e20d0a
07/05/2025,14:53:31,S,+SACK:0118$
07/05/2025,14:53:46,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cfd0000010021071000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711352d07240006c4a707a7140c0000000000000000000000000000000000000007e9050711352e011947380d0a
07/05/2025,14:53:46,S,+SACK:0119$
07/05/2025,14:54:01,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cbe00000100210b1000000004000100000000010100000000000225fcf316e5fe9c039c07e9050711360007240006c4a707a7140c0000000000000000000000000000000000000007e90507113601011a2b910d0a
07/05/2025,14:54:01,S,+SACK:011a$
07/05/2025,14:54:13,D,2b4556540909fe3fbf00658020030a040a14564a5806025d6103002d1000000100220c010100000000000225fcf316e5fe9c039c07e9050711360d07240006c4a707a7140c0000000000000000000000000000000000000007e9050711360d011bf2060d0a
07/05/2025,14:54:13,S,+SACK:011b$
07/05/2025,14:54:16,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cda0000010022091000000004000100000000010200000000000235fcf31743fe9c03ca07e9050711360f07240006c4a707a7140c0000000000000000000000000000000000000007e90507113610011c8fbb0d0a
07/05/2025,14:54:16,S,+SACK:011c$
07/05/2025,14:54:31,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cda00000100220c1000000004000100000000010100000000000235fcf31743fe9c03ca07e9050711361e07240006c4a707a7140c0000000000000000000000000000000000000007e9050711361f011d306c0d0a
07/05/2025,14:54:31,S,+SACK:011d$
07/05/2025,14:54:46,D,2b5253501209fe3fbf0002810200748020030a040a14564a5806025d6103002cda00000100220b1000000004000100000000010100000000000235fcf31743fe9c03ca07e9050711362d07240006c4a707a7140c0000000000000000000000000000000000000007e9050711362e011eb1240d0a
07/05/2025,14:54:46,S,+SACK:011e$
07/05/2025,14:54:48,D,2b4556540909fe3fbf00658020030a040a14564a5806025d6103002cda00000100210c010100000000000235fcf31743fe9c03ca07e9050711363007240006c4a707a7140c0000000000000000000000000000000000000007e90507113630011fc6130d0a
07/05/2025,14:54:48,S,+SACK:011f$
