Data,Hora,Origem,Payload
05/03/2025,14:57:52,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364325700000000010022000000015801000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030511393926b943d20d0a
05/03/2025,14:57:52,S,+SACK:26b9$
05/03/2025,14:58:58,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364322d00000000000012000000004201000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90305113b0326ba4c880d0a
05/03/2025,14:58:58,S,+SACK:26ba$
05/03/2025,15:03:28,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61036431b600000000010022000000010f01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030512032226bba4a80d0a
05/03/2025,15:03:28,S,+SACK:26bb$
05/03/2025,15:04:53,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364322700000000000011000000005501000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030512043b26bcd8eb0d0a
05/03/2025,15:04:53,S,+SACK:26bc$
05/03/2025,15:05:47,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61036431bf00000000010021000000003601000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030512053526bdd7bc0d0a
05/03/2025,15:05:47,S,+SACK:26bd$
05/03/2025,15:07:00,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364322300000000000011000000004901000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030512070626becc270d0a
05/03/2025,15:07:00,S,+SACK:26be$
05/03/2025,15:22:14,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364322b00000000010022000000039201000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030512161426bf52680d0a
05/03/2025,15:22:14,S,+SACK:26bf$
05/03/2025,15:22:55,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61036431fe00000000000012000000002901000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030512170126c022520d0a
05/03/2025,15:22:55,S,+SACK:26c0$
05/03/2025,15:23:45,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61036431bd00000000010022000000003101000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030512173326c1189b0d0a
05/03/2025,15:23:45,S,+SACK:26c1$
