Data,Hora,Origem,Payload
06/05/2025,14:52:36,D,2b484244ef2280200309020915564a5806025d610307e905061133129e8fda400d0a
06/05/2025,14:52:36,S,+SACK:GTHBD,8020030902,9e8f$
06/05/2025,14:52:36,D,2b41434b016f2680200309020915564a5806025d610300ffff07e905061133129e8eb90e0d0a
06/05/2025,14:52:36,S,+SACK:9e8e$
06/05/2025,14:52:36,D,2b4556543509fe7fbf008480200309020915564a5806025d6103002ce500000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb920001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000180200020c00000090101e0007e905061133209e90822d0d0a
06/05/2025,14:52:36,S,+SACK:9e90$
06/05/2025,14:52:37,D,2b5253500b09fe7fbf006880200309020915564a5806025d6103002ce500000000010021000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000180200021b00000090102d0007e905061133309e9124d40d0a
06/05/2025,14:52:37,S,+SACK:9e91$
06/05/2025,14:52:37,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002ce5000001002100100000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000180200021b00000090102d0007e905061133309e926ff50d0a
06/05/2025,14:52:37,S,+SACK:9e92$
06/05/2025,14:52:38,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002d0c000001002100100000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000180200030c00000090111e0007e9050611341f9e93301f0d0a
06/05/2025,14:52:38,S,+SACK:9e93$
06/05/2025,14:52:53,S,AT+GTDOS=gv58cg,0,1,1,1,2,8,0,,3,0,5,,,,FFFF$
06/05/2025,14:52:53,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061134389e94e9ae0d0a
06/05/2025,14:52:53,S,+SACK:9e94$
06/05/2025,14:53:15,D,2b484244ef2280200309020915564a5806025d610307e905061135129e954ea20d0a
06/05/2025,14:53:15,S,+SACK:GTHBD,8020030902,9e95$
06/05/2025,14:53:24,D,2b4556543409fe7fbf008380200309020915564a5806025d6103002ce400000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000180200040900000090121b0007e9050611351b9e9685720d0a
06/05/2025,14:53:24,S,+SACK:9e96$
06/05/2025,14:53:55,D,2b4556543509fe7fbf008480200309020915564a5806025d6103002ceb00000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb920001000000000000000000000000000000000000000000000007240006c4a707a714160000000000000018020004270000009012390007e9050611353a9e97ab3a0d0a
06/05/2025,14:53:55,S,+SACK:9e97$
06/05/2025,14:54:42,D,2b4556543409fe7fbf008380200309020915564a5806025d6103002cd000000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000180200051800000090132a0007e9050611362d9e9895b30d0a
06/05/2025,14:54:42,S,+SACK:9e98$
06/05/2025,14:54:45,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061136309e997cca0d0a
06/05/2025,14:54:45,S,+SACK:9e99$
06/05/2025,14:54:57,S,AT+GTDOS=gv58cg,0,1,1,1,2,8,0,,3,0,5,,,,FFFF$
06/05/2025,14:54:58,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061137019e9ac8880d0a
06/05/2025,14:54:58,S,+SACK:9e9a$
06/05/2025,14:55:10,S,AT+GTDOS=gv58cg,0,1,1,1,2,8,0,,3,0,5,,,,FFFF$
06/05/2025,14:55:10,D,2b41434b776f2680200309020915564a5806025d610300ffff07e9050611370d9e9badc80d0a
06/05/2025,14:55:10,S,+SACK:9e9b$
06/05/2025,14:55:12,D,2b4556543509fe7fbf008480200309020915564a5806025d6103002ccb00000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb920001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000180200053600000090140c0007e9050611370f9e9c6acb0d0a
06/05/2025,14:55:12,S,+SACK:9e9c$
06/05/2025,14:55:15,D,2b484244ef2280200309020915564a5806025d610307e905061137129e9d22c20d0a
06/05/2025,14:55:15,S,+SACK:GTHBD,8020030902,9e9d$
06/05/2025,14:55:28,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002ccb0000010021001000000004001c0000000001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000180200060c00000090141e0007e9050611371f9e9eea120d0a
06/05/2025,14:55:28,S,+SACK:9e9e$
06/05/2025,14:57:15,D,2b484244ef2280200309020915564a5806025d610307e905061139129e9fa0da0d0a
06/05/2025,14:57:15,S,+SACK:GTHBD,8020030902,9e9f$
06/05/2025,14:58:28,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cf40000010021001000000004001c0000000001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000180200090c00000090171e0007e90506113a1f9ea0a02c0d0a
06/05/2025,14:58:28,S,+SACK:9ea0$
06/05/2025,14:59:16,D,2b484244ef2280200309020915564a5806025d610307e90506113b139ea1ad1f0d0a
06/05/2025,14:59:16,S,+SACK:GTHBD,8020030902,9ea1$
06/05/2025,15:01:16,D,2b484244ef2280200309020915564a5806025d610307e905061201139ea237ec0d0a
06/05/2025,15:01:16,S,+SACK:GTHBD,8020030902,9ea2$
06/05/2025,15:01:28,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cfc000001002100100000000400010000000001000000000000000000000000000000000000000000000007240006c4a707a7140c000000000000001802000c0c000000901a1e0007e9050612011f9ea3eee00d0a
06/05/2025,15:01:28,S,+SACK:9ea3$
06/05/2025,15:01:32,D,2b4556543409fe7fbf008380200309020915564a5806025d6103002c8700000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a7140c000000000000001802000c0f000000901a210007e905061201239ea410070d0a
06/05/2025,15:01:32,S,+SACK:9ea4$
06/05/2025,15:01:34,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061201259ea5b0900d0a
06/05/2025,15:01:34,S,+SACK:9ea5$
06/05/2025,15:01:39,D,2b41434b776f2680200309020915564a5806025d610300ffff07e9050612012a9ea6acc20d0a
06/05/2025,15:01:39,S,+SACK:9ea6$
06/05/2025,15:01:54,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061201399ea7a6d00d0a
06/05/2025,15:01:54,S,+SACK:9ea7$
06/05/2025,15:02:02,D,2b4556543509fe7fbf008480200309020915564a5806025d6103002ce100000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb920001000000000000000000000000000000000000000000000007240006c4a707a7140c000000000000001802000c2d000000901b030007e905061202059ea854f40d0a
06/05/2025,15:02:02,S,+SACK:9ea8$
06/05/2025,15:02:23,D,2b4556543409fe7fbf008380200309020915564a5806025d6103002ce500000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a7140c000000000000001802000d06000000901b180007e9050612021a9ea9ded20d0a
06/05/2025,15:02:23,S,+SACK:9ea9$
06/05/2025,15:02:27,D,2b41434b776f2680200309020915564a5806025d610300ffff07e9050612021e9eaaeff70d0a
06/05/2025,15:02:27,S,+SACK:9eaa$
06/05/2025,15:02:36,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061202279eaba4e20d0a
06/05/2025,15:02:36,S,+SACK:9eab$
06/05/2025,15:02:53,D,2b4556543509fe7fbf008480200309020915564a5806025d6103002cee00000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb920001000000000000000000000000000000000000000000000007240006c4a707a71434000000000000001802000d24000000901b360007e905061202389eace08c0d0a
06/05/2025,15:02:53,S,+SACK:9eac$
06/05/2025,15:02:59,D,2b4556543409fe7fbf008380200309020915564a5806025d6103002cee00000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a71434000000000000001802000d2a000000901c000007e905061203029ead304e0d0a
06/05/2025,15:02:59,S,+SACK:9ead$
06/05/2025,15:03:01,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061203049eae5d650d0a
06/05/2025,15:03:01,S,+SACK:9eae$
06/05/2025,15:03:04,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061203079eaf14140d0a
06/05/2025,15:03:04,S,+SACK:9eaf$
06/05/2025,15:03:11,D,2b41434b776f2680200309020915564a5806025d610300ffff07e9050612030e9eb0695b0d0a
06/05/2025,15:03:11,S,+SACK:9eb0$
06/05/2025,15:03:14,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061203119eb116280d0a
06/05/2025,15:03:14,S,+SACK:9eb1$
06/05/2025,15:03:16,D,2b484244ef2280200309020915564a5806025d610307e905061203139eb2c8b50d0a
06/05/2025,15:03:16,S,+SACK:GTHBD,8020030902,9eb2$
06/05/2025,15:03:29,D,2b4556543509fe7fbf008480200309020915564a5806025d6103002cee00000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb920001000000000000000000000000000000000000000000000007240006c4a707a71434000000000000001802000e0c000000901c1e0007e905061203209eb324fb0d0a
06/05/2025,15:03:29,S,+SACK:9eb3$
06/05/2025,15:03:39,D,2b4556543409fe7fbf008380200309020915564a5806025d6103002cee00000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a71434000000000000001802000e15000000901c270007e9050612032a9eb4c8390d0a
06/05/2025,15:03:39,S,+SACK:9eb4$
06/05/2025,15:03:42,D,2b41434b776f2680200309020915564a5806025d610300ffff07e9050612032d9eb5e6680d0a
06/05/2025,15:03:42,S,+SACK:9eb5$
06/05/2025,15:03:47,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061203329eb6b9590d0a
06/05/2025,15:03:47,S,+SACK:9eb6$
06/05/2025,15:03:47,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061203329eb7a9780d0a
06/05/2025,15:03:47,S,+SACK:9eb7$
06/05/2025,15:04:09,D,2b4556543509fe7fbf008480200309020915564a5806025d6103002cce00000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb920001000000000000000000000000000000000000000000000007240006c4a707a71434000000000000001802000e36000000901d0c0007e9050612040c9eb86be60d0a
06/05/2025,15:04:09,S,+SACK:9eb8$
06/05/2025,15:04:28,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002d080000010021001000000004001c0000000001000000000000000000000000000000000000000000000007240006c4a707a71434000000000000001802000f0c000000901d1e0007e9050612041f9eb962ab0d0a
06/05/2025,15:04:28,S,+SACK:9eb9$
06/05/2025,15:05:16,D,2b484244ef2280200309020915564a5806025d610307e905061205139eba6e240d0a
06/05/2025,15:05:16,S,+SACK:GTHBD,8020030902,9eba$
06/05/2025,15:06:04,D,2b4556543409fe7fbf008380200309020915564a5806025d6103002cf800000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a71434000000000000001802001030000000901f060007e905061206069ebbd9730d0a
06/05/2025,15:06:04,S,+SACK:9ebb$
06/05/2025,15:06:06,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061206099ebc91020d0a
06/05/2025,15:06:06,S,+SACK:9ebc$
06/05/2025,15:06:08,D,2b41434b776f2680200309020915564a5806025d610300ffff07e9050612060b9ebdef430d0a
06/05/2025,15:06:08,S,+SACK:9ebd$
06/05/2025,15:06:31,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061206229ebec7770d0a
06/05/2025,15:06:31,S,+SACK:9ebe$
06/05/2025,15:06:34,D,2b4556543509fe7fbf008480200309020915564a5806025d6103002cf800000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb920001000000000000000000000000000000000000000000000007240006c4a707a71434000000000000001802001112000000901f240007e905061206259ebf52600d0a
06/05/2025,15:06:34,S,+SACK:9ebf$
06/05/2025,15:06:44,D,2b4556543409fe7fbf008380200309020915564a5806025d6103002d1300000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000180200111b000000901f2d0007e9050612062f9ec06c100d0a
06/05/2025,15:06:44,S,+SACK:9ec0$
06/05/2025,15:06:47,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061206329ec10b6c0d0a
06/05/2025,15:06:47,S,+SACK:9ec1$
06/05/2025,15:06:47,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061206329ec23b0f0d0a
06/05/2025,15:06:47,S,+SACK:9ec2$
06/05/2025,15:06:48,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061206339ec31c1e0d0a
06/05/2025,15:06:48,S,+SACK:9ec3$
06/05/2025,15:07:14,D,2b4556543509fe7fbf008480200309020915564a5806025d6103002cda00000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb920001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000180200113900000090200f0007e905061207119ec46e590d0a
06/05/2025,15:07:14,S,+SACK:9ec4$
06/05/2025,15:07:16,D,2b484244ef2280200309020915564a5806025d610307e905061207139ec50c340d0a
06/05/2025,15:07:16,S,+SACK:GTHBD,8020030902,9ec5$
06/05/2025,15:07:28,D,2b5253501209fe3fbf00028102007480200309020915564a5806025d6103002cd90000010021001000000004001c0000000001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000180200120c00000090201e0007e9050612071f9ec6b8130d0a
06/05/2025,15:07:28,S,+SACK:9ec6$
06/05/2025,15:07:39,D,2b4556543409fe7fbf008380200309020915564a5806025d6103002cd900000000010021000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000180200121800000090202a0007e9050612072a9ec7ca430d0a
06/05/2025,15:07:39,S,+SACK:9ec7$
06/05/2025,15:07:44,D,2b41434b776f2680200309020915564a5806025d610300ffff07e9050612072f9ec8edc30d0a
06/05/2025,15:07:44,S,+SACK:9ec8$
06/05/2025,15:07:47,D,2b41434b776f2680200309020915564a5806025d610300ffff07e905061207329ec9fcd00d0a
06/05/2025,15:07:47,S,+SACK:9ec9$
