Data,Hora,Origem,Payload
12/03/2025,14:20:32,D,2b484244ef228020030a030a07564a5806025d610307e9030c0e141f45c8623c0d0a
12/03/2025,14:20:32,S,+SACK:GTHBD,8020030a03,45c8$
12/03/2025,14:20:32,D,2b4556543000fe7fbf00678020030a030a07564a5806025d61036400000000000000004100020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e9030c0e142045c967610d0a
12/03/2025,14:20:32,S,+SACK:45c9$
12/03/2025,14:20:33,D,2b4556540900fe7fbf00668020030a030a07564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e142245caa8420d0a
12/03/2025,14:20:33,S,+SACK:45ca$
12/03/2025,14:20:34,D,2b4556540300fe7fbf00668020030a030a07564a5806025d6103643a29000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e142345cb554e0d0a
12/03/2025,14:20:34,S,+SACK:45cb$
12/03/2025,14:20:43,D,2b4556542d00fe7fbf006c8020030a030a07564a5806025d6103643a29000000000000220000040000008501000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e142c45cc8c8d0d0a
12/03/2025,14:20:43,S,+SACK:45cc$
12/03/2025,14:20:43,D,2b4556540900fe7fbf00668020030a030a07564a5806025d6103643a29000000000000220001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e142c45cd99300d0a
12/03/2025,14:20:43,S,+SACK:45cd$
12/03/2025,14:21:17,D,2b5253500700fe3fbf00658020030a030a07564a5806025d61036439f30000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e151245ce97fd0d0a
12/03/2025,14:21:17,S,+SACK:45ce$
12/03/2025,14:21:19,D,2b5253500700fe3fbf00658020030a030a07564a5806025d61036439f30000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e151445cf357c0d0a
12/03/2025,14:21:19,S,+SACK:45cf$
12/03/2025,14:21:44,D,2b41434b0b6f268020030a030a07564a5806025d610300ffff07e9030c0e152d45d0918f0d0a
12/03/2025,14:21:44,S,+SACK:45d0$
12/03/2025,14:22:32,D,2b484244ef228020030a030a07564a5806025d610307e9030c0e162245d18bb80d0a
12/03/2025,14:22:32,S,+SACK:GTHBD,8020030a03,45d1$
12/03/2025,14:23:01,D,2b5253500b00fe7fbf00678020030a030a07564a5806025d6103643a4200000000000022000001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e170345d23baa0d0a
12/03/2025,14:23:01,S,+SACK:45d2$
12/03/2025,14:23:35,D,2b4556540900fe7fbf00668020030a030a07564a5806025d6103643a01000000000000210001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e172545d393db0d0a
12/03/2025,14:23:35,S,+SACK:45d3$
12/03/2025,14:23:46,D,2b4556542e00fe7fbf006c8020030a030a07564a5806025d61036439c400000000000011000004000000b701000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e173045d4d2e90d0a
12/03/2025,14:23:46,S,+SACK:45d4$
12/03/2025,14:23:46,D,2b4556540900fe7fbf00668020030a030a07564a5806025d61036439c4000000000000110001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e173045d5fec00d0a
12/03/2025,14:23:46,S,+SACK:45d5$
12/03/2025,14:24:04,D,2b4556542d00fe7fbf006c8020030a030a07564a5806025d610364397d000000000000220000040000001201000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e180645d68ed90d0a
12/03/2025,14:24:04,S,+SACK:45d6$
12/03/2025,14:24:04,D,2b4556540900fe7fbf00668020030a030a07564a5806025d610364397d000000000000220001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e180645d7ea2b0d0a
12/03/2025,14:24:04,S,+SACK:45d7$
12/03/2025,14:24:13,D,2b4556540900fe7fbf00668020030a030a07564a5806025d6103643a1b000000000000210001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e180f45d8ebc10d0a
12/03/2025,14:24:13,S,+SACK:45d8$
12/03/2025,14:24:24,D,2b4556542e00fe7fbf006c8020030a030a07564a5806025d61036439f7000000000000110000040000001401000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e181945d9f99e0d0a
12/03/2025,14:24:24,S,+SACK:45d9$
12/03/2025,14:24:24,D,2b4556540900fe7fbf00668020030a030a07564a5806025d61036439f7000000000000110001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e181945da22f50d0a
12/03/2025,14:24:24,S,+SACK:45da$
12/03/2025,14:24:32,D,2b484244ef228020030a030a07564a5806025d610307e9030c0e182245db88a80d0a
12/03/2025,14:24:32,S,+SACK:GTHBD,8020030a03,45db$
12/03/2025,14:24:52,D,2b4556542d00fe7fbf006c8020030a030a07564a5806025d6103643992000000000000220000040000001c01000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e183545dc7ccc0d0a
12/03/2025,14:24:52,S,+SACK:45dc$
12/03/2025,14:24:52,D,2b4556540900fe7fbf00668020030a030a07564a5806025d6103643992000000000000220001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e183545dda99f0d0a
12/03/2025,14:24:52,S,+SACK:45dd$
12/03/2025,14:25:45,D,2b41434b0b6f268020030a030a07564a5806025d610300ffff07e9030c0e192f45de51130d0a
12/03/2025,14:25:45,S,+SACK:45de$
12/03/2025,14:25:47,D,2b5253500700fe3fbf00658020030a030a07564a5806025d6103643a280000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e193045dff2ef0d0a
12/03/2025,14:25:47,S,+SACK:45df$
12/03/2025,14:26:21,D,2b5253500700fe3fbf00658020030a030a07564a5806025d61036439ce0000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e1a1745e00e420d0a
12/03/2025,14:26:21,S,+SACK:45e0$
12/03/2025,14:26:32,D,2b484244ef228020030a030a07564a5806025d610307e9030c0e1a2245e1f2d90d0a
12/03/2025,14:26:32,S,+SACK:GTHBD,8020030a03,45e1$
12/03/2025,14:26:51,D,2b5253500700fe3fbf00658020030a030a07564a5806025d61036439c60000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e1a3545e2f60d0d0a
12/03/2025,14:26:51,S,+SACK:45e2$
12/03/2025,14:27:21,D,2b5253500700fe3fbf00658020030a030a07564a5806025d610364398f0000000022001001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030c0e1b1745e3bdf50d0a
12/03/2025,14:27:21,S,+SACK:45e3$
12/03/2025,14:27:51,D,2b5253500700fe3fbf00658020030a030a07564a5806025d61036439dc0000000022001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030c0e1b3545e4ea9c0d0a
12/03/2025,14:27:51,S,+SACK:45e4$
12/03/2025,14:28:21,D,2b5253500700fe3fbf00658020030a030a07564a5806025d61036439480000000022001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030c0e1c1745e588f60d0a
12/03/2025,14:28:21,S,+SACK:45e5$
12/03/2025,14:28:32,D,2b484244ef228020030a030a07564a5806025d610307e9030c0e1c2245e6a5a70d0a
12/03/2025,14:28:32,S,+SACK:GTHBD,8020030a03,45e6$
12/03/2025,14:28:51,D,2b5253500700fe3fbf00658020030a030a07564a5806025d6103643a150000000022001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030c0e1c3545e7ea200d0a
12/03/2025,14:28:51,S,+SACK:45e7$
12/03/2025,14:29:21,D,2b5253500700fe3fbf00658020030a030a07564a5806025d61036439f50000000022001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030c0e1d1745e876310d0a
12/03/2025,14:29:21,S,+SACK:45e8$
