Data,Hora,Origem,Payload
05/03/2025,15:37:56,D,2b524553503a47544947462c3639383430342c3836323638393037303332363535352c2c3835322c302c302e302c3233322c3538352e372c2d35312e3137373833382c2d32332e3333303131302c32303235303330353137303031362c303732342c303030362c433441372c30374137313431362c30302c2c3134372e302c302c32303235303330353138333830302c3035313124
05/03/2025,15:37:56,S,+SACK:312$
05/03/2025,15:37:57,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364323100000000000012000000035401000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030512260226c254e50d0a
05/03/2025,15:37:57,S,+SACK:26c2$
05/03/2025,15:39:04,D,2b524553503a475449474e2c3639383430342c3836323638393037303332363535352c2c36382c302c302e302c3233322c3538352e372c2d35312e3137373833382c2d32332e3333303131302c32303235303330353137303031362c303732342c303030362c433441372c30374137313431362c30302c2c3134372e302c332c32303235303330353138333930382c3035313224
05/03/2025,15:39:04,S,+SACK:322$
05/03/2025,15:39:04,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364324200000000010022000000004401000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030512270a26c3f32b0d0a
05/03/2025,15:39:04,S,+SACK:26c3$
05/03/2025,15:41:28,D,2b524553503a47544947462c3639383430342c3836323638393037303332363535352c2c3134342c302c302e302c3233322c3538352e372c2d35312e3137373833382c2d32332e3333303131302c32303235303330353137303031362c303732342c303030362c433441372c30374137313431362c30302c2c3134372e302c302c32303235303330353138343133322c3035313324
05/03/2025,15:41:28,S,+SACK:332$
05/03/2025,15:41:29,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364320c00000000000011000000009001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030512292226c4540f0d0a
05/03/2025,15:41:29,S,+SACK:26c4$
05/03/2025,15:43:10,D,2b524553503a475449474e2c3639383430342c3836323638393037303332363535352c2c3130322c302c302e302c3233322c3538352e372c2d35312e3137373833382c2d32332e3333303131302c32303235303330353137303031362c303732342c303030362c433441372c30374137313431362c30302c2c3134372e302c332c32303235303330353138343331342c3035313424
05/03/2025,15:43:10,S,+SACK:342$
05/03/2025,15:43:11,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364320300000000010021000000006601000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90305122b1126c56d910d0a
05/03/2025,15:43:11,S,+SACK:26c5$
05/03/2025,15:57:54,D,2b524553503a47544947462c3639383430342c3836323638393037303332363535352c2c3838342c302c302e302c3233322c3538352e372c2d35312e3137373833382c2d32332e3333303131302c32303235303330353137303031362c303732342c303030362c433441372c30374137313431362c30302c2c3134372e302c302c32303235303330353138353735382c3035313524
05/03/2025,15:57:54,S,+SACK:352$
05/03/2025,15:57:55,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364319c00000000000012000000037401000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e90305123a0026c678270d0a
05/03/2025,15:57:55,S,+SACK:26c6$
05/03/2025,16:00:31,D,2b4556540800fe7fbf006680200309020915564a5806025d6103643249000000000000160001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513002526c75ab60d0a
05/03/2025,16:00:31,S,+SACK:26c7$
05/03/2025,16:09:56,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364325f0000000001002100000002d101000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e90305130a0126c8d82c0d0a
05/03/2025,16:09:56,S,+SACK:26c8$
05/03/2025,16:09:56,D,2b524553503a475449474e2c3639383430342c3836323638393037303332363535352c2c3732322c302c302e302c3233322c3538352e372c2d35312e3137373833382c2d32332e3333303131302c32303235303330353137303031362c303732342c303030362c433441372c30374137313431362c30302c2c3134372e302c332c32303235303330353139313030302c3035313624
05/03/2025,16:09:56,S,+SACK:362$
05/03/2025,16:21:50,D,2b524553503a47544947462c3639383430342c3836323638393037303332363535352c2c3731342c302c302e302c3233322c3538352e372c2d35312e3137373833382c2d32332e3333303131302c32303235303330353137303031362c303732342c303030362c433441372c30374137313431362c30302c2c3134372e302c302c32303235303330353139323135342c3035313724
05/03/2025,16:21:50,S,+SACK:372$
05/03/2025,16:39:55,S,`& "C:/Users/Larissa Rocha/AppData/Local/Programs/Python/Python313/python.exe" "c:/Users/Larissa Rocha/Desktop/decoder/servergv58cg.py"
