Data,Hora,Origem,Payload
05/03/2025,16:56:55,D,2b4556540900fe7fbf006680200309020915564a5806025d610364324d000000000000220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513390126e874380d0a
05/03/2025,16:56:55,S,+SACK:26e8$
05/03/2025,16:57:08,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364322300000000000012000000003801000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513390d26e9bf120d0a
05/03/2025,16:57:08,S,+SACK:26e9$
05/03/2025,16:57:08,D,2b4556540900fe7fbf006680200309020915564a5806025d6103643223000000000000120001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513390d26ea1e8c0d0a
05/03/2025,16:57:08,S,+SACK:26ea$
05/03/2025,16:57:14,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364322300000000010022000000000601000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513391326eb73730d0a
05/03/2025,16:57:14,S,+SACK:26eb$
05/03/2025,16:57:14,D,2b4556540900fe7fbf006680200309020915564a5806025d6103643223000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513391326ec2eb80d0a
05/03/2025,16:57:14,S,+SACK:26ec$
05/03/2025,16:57:19,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364326f00000000000012000000000601000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513391926ed791c0d0a
05/03/2025,16:57:19,S,+SACK:26ed$
05/03/2025,16:57:19,D,2b4556540900fe7fbf006680200309020915564a5806025d610364326f000000000000120001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513391926ee305d0d0a
05/03/2025,16:57:19,S,+SACK:26ee$
05/03/2025,16:57:25,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364323a00000000010022000000000601000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513391f26efae320d0a
05/03/2025,16:57:25,S,+SACK:26ef$
05/03/2025,16:57:25,D,2b4556540900fe7fbf006680200309020915564a5806025d610364323a000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513391f26f04a160d0a
05/03/2025,16:57:25,S,+SACK:26f0$
05/03/2025,16:57:31,D,2b41434b3a475452544f2c3639383430342c3836323638393037303332363535352c2c5245424f4f542c303037312c32303235303330353139353733352c3035314624
05/03/2025,16:57:31,S,+SACK:2c30$
05/03/2025,16:57:36,D,2b4556540900fe7fbf006680200309020915564a5806025d610364323a000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513392a26f140660d0a
05/03/2025,16:57:36,S,+SACK:26f1$
05/03/2025,16:57:49,D,2b4556540900fe7fbf006680200309020915564a5806025d6103643232000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513393726f2d8600d0a
05/03/2025,16:57:49,S,+SACK:26f2$
05/03/2025,16:57:52,D,2b524553503a47544947462c3639383430342c3836323638393037303332363535352c2c302c302c2c2c2c2c2c2c303732342c303030362c433441372c30374137313431362c30302c2c3134372e302c302c32303235303330353139353735362c3035323024
05/03/2025,16:57:54,D,2b524553503a4754494e462c3639383430342c3836323638393037303332363535352c2c31312c38393535343030303030303335333535343430352c31382c302c312c31333035372c2c342e31312c302c312c2c2c2c2c2c2c38302c30302c2b303030302c302c32303235303330353139353735382c3035323124
05/03/2025,16:59:03,D,2b4556540900fe7fbf006680200309020915564a5806025d6103643249000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e90305133b0926f319a50d0a
05/03/2025,16:59:03,S,+SACK:26f3$
05/03/2025,16:59:25,D,2b4556540900fe7fbf006680200309020915564a5806025d6103643051000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e90305133b1f26f41b140d0a
05/03/2025,16:59:25,S,+SACK:26f4$
05/03/2025,17:00:00,D,2b4556540900fe7fbf006680200309020915564a5806025d6103643249000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030514000626f500700d0a
05/03/2025,17:00:00,S,+SACK:26f5$
05/03/2025,17:01:51,D,2b4556540900fe7fbf006680200309020915564a5806025d6103643245000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030514013926f6c0dd0d0a
05/03/2025,17:01:51,S,+SACK:26f6$
05/03/2025,17:06:30,D,2b4556540900fe7fbf006680200309020915564a5806025d6103643245000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030514062426f7b4e70d0a
05/03/2025,17:06:30,S,+SACK:26f7$
05/03/2025,17:06:46,D,2b4556540900fe7fbf006680200309020915564a5806025d6103643245000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030514063326f8b7ff0d0a
05/03/2025,17:06:46,S,+SACK:26f8$
05/03/2025,17:07:44,D,2b4556540900fe7fbf006680200309020915564a5806025d610364327d000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030514073226f930840d0a
05/03/2025,17:07:44,S,+SACK:26f9$
05/03/2025,17:08:01,D,2b4556540900fe7fbf006680200309020915564a5806025d6103643020000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030514080726fa60ca0d0a
05/03/2025,17:08:01,S,+SACK:26fa$
05/03/2025,17:08:36,D,2b4556540900fe7fbf006680200309020915564a5806025d610364326d000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030514082a26fb046d0d0a
05/03/2025,17:08:36,S,+SACK:26fb$
05/03/2025,17:08:36,D,2b4556540900fe7fbf006680200309020915564a5806025d610364326d000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030514082a26fc408e0d0a
05/03/2025,17:08:36,S,+SACK:26fc$
05/03/2025,17:11:54,D,2b4556540900fe7fbf006680200309020915564a5806025d6103643249000000000100210001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e90305140c0026fd7cea0d0a
05/03/2025,17:11:54,S,+SACK:26fd$
05/03/2025,17:14:33,D,2b4556540900fe7fbf006680200309020915564a5806025d610364323d000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e90305140e2726fe859f0d0a
05/03/2025,17:14:33,S,+SACK:26fe$
05/03/2025,17:15:23,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364324c00000000000012000000043601000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e90305140f1d26ff22f90d0a
05/03/2025,17:15:23,S,+SACK:26ff$
05/03/2025,17:15:23,D,2b4556540900fe7fbf006680200309020915564a5806025d610364324c000000000000120001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e90305140f1d2700640c0d0a
05/03/2025,17:15:23,S,+SACK:2700$
05/03/2025,17:15:48,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364324c00000000010022000000001901000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e90305140f36270124640d0a
05/03/2025,17:15:48,S,+SACK:2701$
05/03/2025,17:15:48,D,2b4556540900fe7fbf006680200309020915564a5806025d610364324c000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e90305140f3627023ae90d0a
05/03/2025,17:15:48,S,+SACK:2702$
