Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On
07/03/2025,08:44:59,07/03/2025,11:45:01,8674886293973,0x27eb,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,14,12395,0000,0000,00,00,11,00,46,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71416,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,08:45:06,07/03/2025,11:45:07,8674886293973,0x27ec,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,15,12737,0000,0000,01,00,21,00,6,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71416,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,08:45:17,07/03/2025,11:45:18,8674886293973,0x27ed,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,18,12412,0000,0000,00,00,12,00,11,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71416,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,08:45:21,07/03/2025,11:45:22,8674886293973,0x27ee,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,18,12743,0000,0000,01,00,22,00,4,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71416,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,08:55:01,07/03/2025,11:55:03,8674886293973,0x27ef,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,31,12597,0000,0000,00,00,11,00,581,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71416,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,08:55:05,07/03/2025,11:55:06,8674886293973,0x27f0,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,32,12467,0000,0000,01,00,22,00,3,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71416,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,08:55:29,07/03/2025,11:55:30,8674886293973,0x27f1,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,32,12799,0000,0000,00,00,12,00,24,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71416,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,08:55:33,07/03/2025,11:55:34,8674886293973,0x27f2,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,32,12790,0000,0000,01,00,22,00,4,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71416,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,09:17:13,07/03/2025,12:17:14,8674886293973,0x27f3,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,50,12737,0000,0000,00,00,12,00,1300,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71416,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,09:17:24,07/03/2025,12:17:25,8674886293973,0x27f4,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,51,12737,0000,0000,01,00,22,00,11,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71416,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,09:28:04,07/03/2025,12:28:06,8674886293973,0x27f5,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,58,12627,0000,0000,00,00,12,00,640,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71416,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,09:32:47,07/03/2025,12:32:48,8674886293973,0x27f6,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,60,12826,0000,0000,01,00,22,00,283,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71416,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,09:50:16,,,,,ACK
07/03/2025,09:52:27,07/03/2025,12:52:29,8674886293973,0x27f8,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,66,12639,0000,0000,00,00,12,00,1181,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,09:52:53,,,,,ACK
07/03/2025,09:52:59,07/03/2025,12:53:00,8674886293973,0x27fa,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,66,12608,0000,0000,01,00,22,00,31,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,09:53:02,07/03/2025,12:53:03,8674886293973,0x27fb,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,66,12449,0000,0000,00,00,12,00,3,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
07/03/2025,10:08:49,,,,,ACK
07/03/2025,10:09:27,,,,,ACK
07/03/2025,10:09:31,09/13/775,32:39:254,8674886293973,0x27fe,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,75,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:09:41,09/13/775,42:39:255,8674886293973,0x27ff,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,75,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:09:51,09/13/775,52:40:00,8674886293973,0x2800,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,75,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:10:01,10/13/775,02:40:01,8674886293973,0x2801,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,75,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:10:11,10/13/775,12:40:02,8674886293973,0x2802,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,75,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:10:21,10/13/775,22:40:03,8674886293973,0x2803,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,75,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:10:31,10/13/775,32:40:04,8674886293973,0x2804,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,75,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:10:41,10/13/775,42:40:05,8674886293973,0x2805,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,75,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:10:51,10/13/775,52:40:06,8674886293973,0x2806,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,75,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:11:01,11/13/775,02:40:07,8674886293973,0x2807,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,75,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:11:11,11/13/775,12:40:08,8674886293973,0x2808,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,75,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:11:21,11/13/775,22:40:09,8674886293973,0x2809,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,75,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:11:31,11/13/775,32:40:10,8674886293973,0x280a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,75,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:11:41,11/13/775,42:40:11,8674886293973,0x280b,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,76,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:11:51,11/13/775,52:40:12,8674886293973,0x280c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,76,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:12:01,12/13/775,02:40:13,8674886293973,0x280d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,76,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:12:11,12/13/775,12:40:14,8674886293973,0x280e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,76,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:12:21,12/13/775,22:40:15,8674886293973,0x280f,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,76,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:12:31,12/13/775,32:40:16,8674886293973,0x2810,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,76,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:12:41,12/13/775,42:40:17,8674886293973,0x2811,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,76,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:12:51,12/13/775,52:40:18,8674886293973,0x2812,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,76,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:13:01,13/13/775,02:40:19,8674886293973,0x2813,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,77,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:13:11,13/13/775,12:40:20,8674886293973,0x2814,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,77,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:13:21,13/13/775,22:40:21,8674886293973,0x2815,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,77,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:13:31,13/13/775,32:40:22,8674886293973,0x2816,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,77,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:13:41,13/13/775,42:40:23,8674886293973,0x2817,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,77,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:13:51,13/13/775,52:40:24,8674886293973,0x2818,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,77,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:14:01,14/13/775,02:40:25,8674886293973,0x2819,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,77,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:14:11,14/13/775,12:40:26,8674886293973,0x281a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,77,0,0000,-,1a,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:14:20,,,,,ACK
07/03/2025,10:14:20,14/13/775,22:40:28,8674886293973,0x281c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,77,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:14:52,14/13/775,53:40:29,8674886293973,0x281d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,77,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:15:22,15/13/775,23:40:30,8674886293973,0x281e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,78,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:15:52,15/13/775,53:40:31,8674886293973,0x281f,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,78,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
07/03/2025,10:16:22,16/13/775,23:40:32,8674886293973,0x2820,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,79,0,0000,-,11,00,10,01,-,00,000000,0000,0x0000,00000000,00000000,00000000000724,0006,c4a7,07a7,14340000,0x000000,0x0000000000,0x000000,0x0000000007e9,-,-
