Data,Hora,Origem,Payload
07/03/2025,13:16:51,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61036432960000000001002200000000d001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903071010342853dc8a0d0a
07/03/2025,13:16:51,S,+SACK:2853$
07/03/2025,13:16:52,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364329600000000000012000000000101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307101035285435c40d0a
07/03/2025,13:16:52,S,+SACK:2854$
07/03/2025,13:16:58,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e90307101100285594840d0a
07/03/2025,13:16:58,S,+SACK:2855$
07/03/2025,13:18:12,D,2b5253500b00fe7fbf006780200309020915564a5806025d610364328300000000000011000001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030710120c2856030f0d0a
07/03/2025,13:18:12,S,+SACK:2856$
07/03/2025,13:19:21,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364325600000000010022000000009501000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903071013152857fb160d0a
07/03/2025,13:19:21,S,+SACK:2857$
07/03/2025,13:19:31,D,2b41434b076f2680200309020915564a5806025d610300ffff07e9030710131f2858ab970d0a
07/03/2025,13:19:31,S,+SACK:2858$
