Data,Hora,Origem,Payload
07/03/2025,08:44:59,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61030e306b00000000000011000000002e01000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e903070b2d0127eb69610d0a
07/03/2025,08:44:59,S,+SACK:27eb$
07/03/2025,08:45:06,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61030f31c100000000010021000000000601000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e903070b2d0727ec69b50d0a
07/03/2025,08:45:06,S,+SACK:27ec$
07/03/2025,08:45:17,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610312307c00000000000012000000000b01000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e903070b2d1227ed097d0d0a
07/03/2025,08:45:17,S,+SACK:27ed$
07/03/2025,08:45:21,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61031231c700000000010022000000000401000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e903070b2d1627ee2f480d0a
07/03/2025,08:45:21,S,+SACK:27ee$
07/03/2025,08:55:01,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61031f313500000000000011000000024501000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e903070b370327efb0570d0a
07/03/2025,08:55:01,S,+SACK:27ef$
07/03/2025,08:55:05,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61032030b300000000010022000000000301000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e903070b370627f0c7e50d0a
07/03/2025,08:55:05,S,+SACK:27f0$
07/03/2025,08:55:29,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61032031ff00000000000012000000001801000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e903070b371e27f1cc900d0a
07/03/2025,08:55:29,S,+SACK:27f1$
07/03/2025,08:55:33,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61032031f600000000010022000000000401000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e903070b372227f28c2a0d0a
07/03/2025,08:55:33,S,+SACK:27f2$
07/03/2025,09:17:13,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61033231c100000000000012000000051401000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e903070c110e27f37c060d0a
07/03/2025,09:17:13,S,+SACK:27f3$
07/03/2025,09:17:24,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61033331c100000000010022000000000b01000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e903070c111927f432900d0a
07/03/2025,09:17:24,S,+SACK:27f4$
07/03/2025,09:28:04,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61033a315300000000000012000000028001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e903070c1c0627f5dd150d0a
07/03/2025,09:28:04,S,+SACK:27f5$
07/03/2025,09:32:47,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61033c321a00000000010022000000011b01000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e903070c203027f6a18c0d0a
07/03/2025,09:32:47,S,+SACK:27f6$
07/03/2025,09:50:16,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e903070c321127f746a20d0a
07/03/2025,09:50:16,S,+SACK:27f7$
07/03/2025,09:52:27,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610342315f00000000000012000000049d01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903070c341d27f8cc110d0a
07/03/2025,09:52:27,S,+SACK:27f8$
07/03/2025,09:52:52,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e903070c343627f983a30d0a
07/03/2025,09:52:53,S,+SACK:27f9$
