Data,Hora,Origem,Payload
06/03/2025,15:25:58,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61035d30be00000000010022000000002f01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90306121a0027ae19f90d0a
06/03/2025,15:25:58,S,+SACK:27ae$
06/03/2025,15:25:59,D,2b4556540900fe7fbf006680200309020915564a5806025d61035d30be000000000100220001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90306121a0027af46490d0a
06/03/2025,15:25:59,S,+SACK:27af$
06/03/2025,15:26:30,D,2b41434b356f2680200309020915564a5806025d610300ffff07e90306121a1f27b085d40d0a
06/03/2025,15:26:30,S,+SACK:27b0$
06/03/2025,15:26:35,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61035e30b700000000000012000000002501000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90306121a2527b1a1670d0a
06/03/2025,15:26:35,S,+SACK:27b1$
06/03/2025,15:26:35,D,2b4556540900fe7fbf006680200309020915564a5806025d61035e30b7000000000000120001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90306121a2527b26f060d0a
06/03/2025,15:26:35,S,+SACK:27b2$
06/03/2025,15:26:51,D,2b4556540900fe7fbf006680200309020915564a5806025d61035e310e000000000000110001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90306121a3327b3e1b70d0a
06/03/2025,15:26:51,S,+SACK:27b3$
06/03/2025,15:27:09,D,2b5253500b00fe7fbf006780200309020915564a5806025d61035e31060000000000001a000001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90306121b0a27b427a00d0a
06/03/2025,15:27:09,S,+SACK:27b4$
06/03/2025,15:27:21,D,2b41434b046f2680200309020915564a5806025d610300ffff07e90306121b1527b5cf2a0d0a
06/03/2025,15:27:21,S,+SACK:27b5$
06/03/2025,15:27:43,D,2b41434b356f2680200309020915564a5806025d610300ffff07e90306121b2c27b60f530d0a
06/03/2025,15:27:43,S,+SACK:27b6$
06/03/2025,15:28:02,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61035e316e00000000010022000000005501000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90306121c0227b765600d0a
06/03/2025,15:28:02,S,+SACK:27b7$
06/03/2025,15:37:26,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610363314800000000000012000000023501000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030612251b27b8db260d0a
06/03/2025,15:37:26,S,+SACK:27b8$
06/03/2025,15:37:56,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610363313400000000010022000000001e01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030612253927b972e90d0a
06/03/2025,15:37:56,S,+SACK:27b9$
06/03/2025,15:39:14,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61036431b100000000000012000000004e01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030612270f27bafeaa0d0a
06/03/2025,15:39:14,S,+SACK:27ba$
06/03/2025,15:39:41,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364310400000000010022000000001b01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030612272a27bb941b0d0a
06/03/2025,15:39:41,S,+SACK:27bb$
06/03/2025,15:40:03,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61036430c900000000000012000000001601000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030612280427bc111e0d0a
06/03/2025,15:40:03,S,+SACK:27bc$
06/03/2025,15:40:55,D,2b41434b076f2680200309020915564a5806025d610300ffff07e9030612283827bd26a10d0a
06/03/2025,15:40:55,S,+SACK:27bd$
06/03/2025,15:41:07,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61036430ff00000000010022000000003f01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030612290827be0de00d0a
06/03/2025,15:41:07,S,+SACK:27be$
06/03/2025,15:42:22,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61036431a800000000000011000000004c01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90306122a1727bf588f0d0a
06/03/2025,15:42:22,S,+SACK:27bf$
06/03/2025,15:42:39,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61036431c100000000010021000000001101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90306122a2827c0e7fd0d0a
06/03/2025,15:42:39,S,+SACK:27c0$
06/03/2025,15:45:48,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61036431540000000000001200000000bd01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90306122d3127c15b140d0a
06/03/2025,15:45:48,S,+SACK:27c1$
06/03/2025,15:46:06,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364311f00000000010022000000001201000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90306122e0727c2c3870d0a
06/03/2025,15:46:06,S,+SACK:27c2$
06/03/2025,15:46:27,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61036430ec00000000000012000000001501000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90306122e1c27c308790d0a
06/03/2025,15:46:28,S,+SACK:27c3$
06/03/2025,15:55:44,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61036431cd00000000010022000000022c01000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030612372c27c4eaad0d0a
06/03/2025,15:55:44,S,+SACK:27c4$
06/03/2025,15:55:50,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61036431c800000000000012000000000701000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030612373327c54a920d0a
06/03/2025,15:55:50,S,+SACK:27c5$
06/03/2025,15:56:44,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61036431fd00000000010021000000003601000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030612382d27c6d35d0d0a
06/03/2025,15:56:44,S,+SACK:27c6$
06/03/2025,15:58:46,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364250f00000000000012000000007a01000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e90306123a2f27c7485f0d0a
06/03/2025,15:58:46,S,+SACK:27c7$
06/03/2025,15:59:44,D,2b41434b076f2680200309020915564a5806025d610300ffff07e90306123b2d27c8207b0d0a
06/03/2025,15:59:44,S,+SACK:27c8$
06/03/2025,16:00:10,D,2b41434b076f2680200309020915564a5806025d610300ffff07e9030613000a27c9abab0d0a
06/03/2025,16:00:10,S,+SACK:27c9$
06/03/2025,16:01:07,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364254900000000010022000000008c01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030613010727ca44c30d0a
06/03/2025,16:01:07,S,+SACK:27ca$
06/03/2025,16:06:22,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61036425f400000000000012000000013c01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030613061727cbb9920d0a
06/03/2025,16:06:23,S,+SACK:27cb$
