Data,Hora,Origem,Payload
14/03/2025,08:14:09,D,2b4556540c00fe7fbf006680200309020915564a5806025d6103590000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030e0b0c2c032e44f30d0a
14/03/2025,08:14:09,S,+SACK:032e$
14/03/2025,08:14:09,D,2b484244ef2280200309020915564a5806025d610307e9030e0b0d020330c1800d0a
14/03/2025,08:14:09,S,+SACK:GTHBD,8020030902,0330$
14/03/2025,08:14:10,D,2b4556543100fe7fbf006780200309020915564a5806025d610358000000000000000042000201000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030e0b0d0e033254fe0d0a
14/03/2025,08:14:10,S,+SACK:0332$
14/03/2025,08:14:10,D,2b4256543100fe7fbf006780200309020915564a5806025d610364327e00000000000042000301000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030d141c2f0190f9f40d0a
14/03/2025,08:14:10,S,+SACK:0190$
14/03/2025,08:14:32,D,2b484244ef2280200309020915564a5806025d610307e9030e0b0e1f03336b0d0d0a
14/03/2025,08:14:32,S,+SACK:GTHBD,8020030902,0333$
14/03/2025,08:14:32,D,2b4256543100fe7fbf006780200309020915564a5806025d610364327e00000000000042000301000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030d141c2f0190f9f40d0a
14/03/2025,08:14:32,S,+SACK:0190$
14/03/2025,08:14:33,D,2b4253500c00fe7fbf006780200309020915564a5806025d610364322e00000000000042000601000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030d141c10018f94630d0a
14/03/2025,08:14:33,S,+SACK:018f$
14/03/2025,08:14:33,D,2b4256543100fe7fbf006780200309020915564a5806025d610364000000000000000042000301000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030d151f3001b05e0b0d0a
14/03/2025,08:14:33,S,+SACK:01b0$
14/03/2025,08:14:34,D,2b4256543000fe7fbf006780200309020915564a5806025d61036400000000000000004100030100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e9030d141e2601925d3c0d0a
14/03/2025,08:14:34,S,+SACK:0192$
14/03/2025,08:14:34,D,2b4256540900fe7fbf006680200309020915564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030d141e280193ddbb0d0a
14/03/2025,08:14:34,S,+SACK:0193$
14/03/2025,08:14:35,D,2b4256540300fe7fbf006680200309020915564a5806025d6103643262000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030d141e290194e8c00d0a
14/03/2025,08:14:35,S,+SACK:0194$
14/03/2025,08:14:35,D,2b4253500b00fe7fbf006780200309020915564a5806025d61036431f800000000000042000001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030d1421080196edb50d0a
14/03/2025,08:14:35,S,+SACK:0196$
14/03/2025,08:14:36,D,2b4256540400fe7fbf006680200309020915564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030d14370b01a0075f0d0a
14/03/2025,08:14:36,S,+SACK:01a0$
14/03/2025,08:14:36,D,2b4253500c00fe7fbf006780200309020915564a5806025d610364000000000000000042000601000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030d151f1201af38260d0a
14/03/2025,08:14:36,S,+SACK:01af$
14/03/2025,08:14:37,D,2b4256543100fe7fbf006780200309020915564a5806025d610364000000000000000042000301000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030e001c3501fe6ec00d0a
14/03/2025,08:14:37,S,+SACK:01fe$
14/03/2025,08:14:38,D,2b4256543000fe7fbf006780200309020915564a5806025d61036400000000000000004100030100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e9030d15212801b230090d0a
14/03/2025,08:14:38,S,+SACK:01b2$
14/03/2025,08:14:38,D,2b4256540900fe7fbf006680200309020915564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030d15212a01b34a680d0a
14/03/2025,08:14:38,S,+SACK:01b3$
14/03/2025,08:14:39,D,2b4256540400fe7fbf006680200309020915564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030d15212b01b4cac40d0a
14/03/2025,08:14:39,S,+SACK:01b4$
14/03/2025,08:14:39,D,2b4253500b00fe7fbf006780200309020915564a5806025d610364000000000000000042000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030d15240c01b6a84e0d0a
14/03/2025,08:14:39,S,+SACK:01b6$
14/03/2025,08:14:40,D,2b4253500c00fe7fbf006780200309020915564a5806025d610364000000000000000042000601000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030e001c1701fddb500d0a
14/03/2025,08:14:40,S,+SACK:01fd$
14/03/2025,08:14:40,D,2b4256543100fe7fbf006780200309020915564a5806025d610364000000000000000042000301000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030e011f38021d91a90d0a
14/03/2025,08:14:40,S,+SACK:021d$
14/03/2025,08:14:41,D,2b4256543000fe7fbf006780200309020915564a5806025d61036400000000000000004100030100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e9030e001e2e020041890d0a
14/03/2025,08:14:41,S,+SACK:0200$
14/03/2025,08:14:41,D,2b4256540900fe7fbf006680200309020915564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030e001e3002010dea0d0a
14/03/2025,08:14:41,S,+SACK:0201$
14/03/2025,08:14:42,D,2b4256540400fe7fbf006680200309020915564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030e001e310202cdc20d0a
14/03/2025,08:14:42,S,+SACK:0202$
14/03/2025,08:14:42,D,2b4253500b00fe7fbf006780200309020915564a5806025d610364000000000000000042000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030e0021100204192e0d0a
14/03/2025,08:14:42,S,+SACK:0204$
14/03/2025,08:14:43,D,2b4253500c00fe7fbf006780200309020915564a5806025d610364000000000000000042000601000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030e011f1a021c047b0d0a
14/03/2025,08:14:43,S,+SACK:021c$
14/03/2025,08:14:43,D,2b4256543100fe7fbf006780200309020915564a5806025d610364000000000000000042000301000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030e022300023c44e70d0a
14/03/2025,08:14:43,S,+SACK:023c$
14/03/2025,08:14:44,D,2b4256543000fe7fbf006780200309020915564a5806025d61036400000000000000004100030100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e9030e012130021fa8630d0a
14/03/2025,08:14:44,S,+SACK:021f$
14/03/2025,08:14:44,D,2b4256540900fe7fbf006680200309020915564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030e0121320220059f0d0a
14/03/2025,08:14:44,S,+SACK:0220$
14/03/2025,08:14:45,D,2b4256540400fe7fbf006680200309020915564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030e0121330221e5f50d0a
14/03/2025,08:14:45,S,+SACK:0221$
14/03/2025,08:14:45,D,2b4253500b00fe7fbf006780200309020915564a5806025d610364000000000000000042000001000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030e012414022393d40d0a
14/03/2025,08:14:45,S,+SACK:0223$
14/03/2025,08:14:46,D,2b4253500c00fe7fbf006780200309020915564a5806025d610364000000000000000042000601000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030e02221e023b77830d0a
14/03/2025,08:14:46,S,+SACK:023b$
14/03/2025,08:14:46,D,2b4256543100fe7fbf006780200309020915564a5806025d610364000000000000000042000301000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030e032603025b03490d0a
14/03/2025,08:14:46,S,+SACK:025b$
14/03/2025,08:14:47,D,2b4256543000fe7fbf006780200309020915564a5806025d61036400000000000000004100030100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e9030e022434023e12770d0a
14/03/2025,08:14:47,S,+SACK:023e$
14/03/2025,08:14:47,D,2b4256540900fe7fbf006680200309020915564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030e022435023f31460d0a
14/03/2025,08:14:47,S,+SACK:023f$
14/03/2025,08:14:48,D,2b4256540400fe7fbf006680200309020915564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030e022437024017250d0a
14/03/2025,08:14:48,S,+SACK:0240$
14/03/2025,08:14:48,D,2b4253500b00fe7fbf006780200309020915564a5806025d610364000000000000000042000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030e0227170242d7a60d0a
14/03/2025,08:14:48,S,+SACK:0242$
14/03/2025,08:14:49,D,2b4253500c00fe7fbf006780200309020915564a5806025d610364000000000000000042000601000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030e032521025a19ec0d0a
14/03/2025,08:14:49,S,+SACK:025a$
14/03/2025,08:14:49,D,2b4256543100fe7fbf006780200309020915564a5806025d610364000000000000000042000301000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030e042906027b6b4a0d0a
14/03/2025,08:14:49,S,+SACK:027b$
14/03/2025,08:14:50,D,2b4256543000fe7fbf006780200309020915564a5806025d61036400000000000000004100030100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e9030e032737025d266f0d0a
14/03/2025,08:14:50,S,+SACK:025d$
14/03/2025,08:14:50,D,2b4256540900fe7fbf006680200309020915564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030e032739025e092d0d0a
14/03/2025,08:14:50,S,+SACK:025e$
14/03/2025,08:14:51,D,2b4256540400fe7fbf006680200309020915564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030e03273a025f87270d0a
14/03/2025,08:14:51,S,+SACK:025f$
14/03/2025,08:14:51,D,2b4253500b00fe7fbf006780200309020915564a5806025d610364000000000000000042000001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030e032a1a026112210d0a
14/03/2025,08:14:51,S,+SACK:0261$
14/03/2025,08:14:52,D,2b4253500c00fe7fbf006780200309020915564a5806025d610364000000000000000042000601000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030e042824027a882c0d0a
14/03/2025,08:14:52,S,+SACK:027a$
14/03/2025,08:14:52,D,2b4256543100fe7fbf006780200309020915564a5806025d610361000000000000000042000301000000000000000000000000000000000000000000000007240006c4a707a7141600000000000000000000000000000000000007e9030e07260d02c882dd0d0a
14/03/2025,08:14:52,S,+SACK:02c8$
14/03/2025,08:14:53,D,2b4256543000fe7fbf006780200309020915564a5806025d61036400000000000000004100030100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e9030e042a3b027d293e0d0a
14/03/2025,08:14:53,S,+SACK:027d$
14/03/2025,08:14:53,D,2b4256540900fe7fbf006680200309020915564a5806025d6103640000000000000000420001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030e042b01027ee62a0d0a
14/03/2025,08:14:53,S,+SACK:027e$
