Data,Hora,Origem,Payload
07/03/2025,13:20:56,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364329600000000000012000000005f01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e903071014382859437b0d0a
07/03/2025,13:20:56,S,+SACK:2859$
07/03/2025,13:24:01,D,2b41434b046f2680200309020915564a5806025d610300ffff07e90307101801285ad6890d0a
07/03/2025,13:24:01,S,+SACK:285a$
07/03/2025,13:27:31,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e90307101b1f285b72b30d0a
07/03/2025,13:27:31,S,+SACK:285b$
07/03/2025,13:27:45,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61036431b900000000010022000000019901000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307101b2d285cb4290d0a
07/03/2025,13:27:45,S,+SACK:285c$
07/03/2025,13:27:48,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000022001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307101b30285d5fb50d0a
07/03/2025,13:27:48,S,+SACK:285d$
07/03/2025,13:27:51,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364317300000000000012000000000601000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307101b33285e54070d0a
07/03/2025,13:27:51,S,+SACK:285e$
07/03/2025,13:27:58,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000012001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307101b3a285fe5a10d0a
07/03/2025,13:27:58,S,+SACK:285f$
07/03/2025,13:28:11,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000012001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307101c0c286004350d0a
07/03/2025,13:28:11,S,+SACK:2860$
07/03/2025,13:28:26,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307101c1b2861a0300d0a
07/03/2025,13:28:26,S,+SACK:2861$
07/03/2025,13:28:41,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307101c2a286262c60d0a
07/03/2025,13:28:41,S,+SACK:2862$
07/03/2025,13:28:56,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307101c39286368d40d0a
07/03/2025,13:28:56,S,+SACK:2863$
07/03/2025,13:29:11,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307101d0c286440d20d0a
07/03/2025,13:29:11,S,+SACK:2864$
07/03/2025,13:29:26,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307101d1b286596000d0a
07/03/2025,13:29:26,S,+SACK:2865$
07/03/2025,13:29:41,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307101d2a286654f60d0a
07/03/2025,13:29:41,S,+SACK:2866$
07/03/2025,13:29:56,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307101d392867be650d0a
07/03/2025,13:29:56,S,+SACK:2867$
07/03/2025,13:30:11,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90307101e0c2868fa030d0a
07/03/2025,13:30:11,S,+SACK:2868$
