Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On
05/03/2025,13:33:19,05/03/2025,16:33:25,8674886293973,0x26a7,GTMPN,0x00fe7fbf,802003,0x0902,0x0915,39,12927,0000,0000,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,13:33:21,05/03/2025,16:33:27,8674886293973,0x26a8,GTBTC,0x00fe7fbf,802003,0x0902,0x0915,39,12927,0000,0000,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,13:36:06,05/03/2025,16:36:12,8674886293973,0x26a9,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,56,12634,0000,0000,01,00,22,00,13978,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,13:36:11,05/03/2025,16:36:17,8674886293973,0x26aa,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,56,12785,0000,0000,00,00,12,00,5,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,13:36:28,05/03/2025,16:36:34,8674886293973,0x26ab,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,57,12802,0000,0000,01,00,22,00,17,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,13:38:35,05/03/2025,16:38:41,8674886293973,0x26ac,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,60,12759,0000,0000,00,00,12,00,127,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,13:41:22,05/03/2025,16:41:28,8674886293973,0x26ad,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,61,12754,0000,0000,01,00,21,00,166,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,13:53:29,05/03/2025,16:53:35,8674886293973,0x26ae,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,66,12821,0000,0000,00,00,12,00,727,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,13:53:36,05/03/2025,16:53:42,8674886293973,0x26af,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,66,12598,0000,0000,01,00,22,00,8,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,13:53:47,05/03/2025,16:53:53,8674886293973,0x26b0,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,66,12537,0000,0000,00,00,12,00,11,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
