Data,Hora,Origem,Payload
05/03/2025,13:33:19,D,2b4556540300fe7fbf006680200309020915564a5806025d610327327f0000000000001a0001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030510211926a785a10d0a
05/03/2025,13:33:19,S,+SACK:26a7$
05/03/2025,13:33:21,D,2b4556540700fe7fbf006680200309020915564a5806025d610327327f0000000000001a0001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030510211b26a825a80d0a
05/03/2025,13:33:21,S,+SACK:26a8$
05/03/2025,13:36:06,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610338315a00000000010022000000369a01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030510240c26a9a1550d0a
05/03/2025,13:36:06,S,+SACK:26a9$
05/03/2025,13:36:11,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61033831f100000000000012000000000501000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030510241126aa94710d0a
05/03/2025,13:36:11,S,+SACK:26aa$
05/03/2025,13:36:28,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610339320200000000010022000000001101000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030510242226ab268a0d0a
05/03/2025,13:36:28,S,+SACK:26ab$
05/03/2025,13:38:35,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61033c31d700000000000012000000007f01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030510262926ac4ed10d0a
05/03/2025,13:38:35,S,+SACK:26ac$
05/03/2025,13:41:22,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61033d31d20000000001002100000000a601000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030510291c26ad3aaa0d0a
05/03/2025,13:41:22,S,+SACK:26ad$
05/03/2025,13:53:29,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61034232150000000000001200000002d701000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030510352326aea7fc0d0a
05/03/2025,13:53:29,S,+SACK:26ae$
05/03/2025,13:53:36,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610342313600000000010022000000000801000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030510352a26af926e0d0a
05/03/2025,13:53:36,S,+SACK:26af$
05/03/2025,13:53:47,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61034230f900000000000012000000000b01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030510353526b0b67a0d0a
05/03/2025,13:53:47,S,+SACK:26b0$
05/03/2025,13:53:54,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61034231d700000000010022000000000701000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030510360026b1c8cf0d0a
05/03/2025,13:53:54,S,+SACK:26b1$
05/03/2025,14:04:36,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610347319c00000000000012000000028201000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030511042a26b276110d0a
05/03/2025,14:04:36,S,+SACK:26b2$
05/03/2025,14:04:44,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610347310900000000010022000000000801000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030511043226b333430d0a
05/03/2025,14:04:44,S,+SACK:26b3$
05/03/2025,14:07:12,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61034931aa00000000000012000000009301000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030511071226b4597b0d0a
05/03/2025,14:07:12,S,+SACK:26b4$
05/03/2025,14:16:19,D,2b4556540d00fe7fbf006a80200309020915564a5806025d61034e320200000000010022000000022401000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030511101926b52c0b0d0a
05/03/2025,14:16:19,S,+SACK:26b5$
05/03/2025,14:27:54,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61035732070000000000001200000002b701000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90305111c0026b6ba5c0d0a
05/03/2025,14:27:54,S,+SACK:26b6$
05/03/2025,14:46:21,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610360325a00000000010022000000045301000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e90305112e1b26b7f9170d0a
05/03/2025,14:46:21,S,+SACK:26b7$
05/03/2025,14:52:07,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61036331ee00000000000012000000015a01000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030511340d26b8de5d0d0a
05/03/2025,14:52:07,S,+SACK:26b8$
