Data,Hora,Origem,Payload
10/03/2025,09:09:22,D,2b5253500700fe2fbf006380200309020915564a5806025d610359000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c09172c15c2da0d0a
10/03/2025,09:09:22,S,+SACK:2c15$
10/03/2025,09:09:32,D,2b5253500700fe2fbf006380200309020915564a5806025d610359000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c09212c1685bc0d0a
10/03/2025,09:09:32,S,+SACK:2c16$
10/03/2025,09:09:42,D,2b5253500700fe2fbf006380200309020915564a5806025d6103590000000016001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c092b2c1789210d0a
10/03/2025,09:09:42,S,+SACK:2c17$
10/03/2025,09:09:52,D,2b5253500700fe2fbf006380200309020915564a5806025d6103590000000016001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c09352c1820ac0d0a
10/03/2025,09:09:52,S,+SACK:2c18$
10/03/2025,09:10:02,D,2b5253500700fe2fbf006380200309020915564a5806025d6103590000000016001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c0a032c19dc540d0a
10/03/2025,09:10:02,S,+SACK:2c19$
10/03/2025,09:10:12,D,2b5253500700fe2fbf006380200309020915564a5806025d6103590000000016001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c0a0d2c1af7360d0a
10/03/2025,09:10:12,S,+SACK:2c1a$
10/03/2025,09:10:22,D,2b5253500700fe2fbf006380200309020915564a5806025d6103590000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c0a172c1b58490d0a
10/03/2025,09:10:22,S,+SACK:2c1b$
10/03/2025,09:10:32,D,2b5253500700fe2fbf006380200309020915564a5806025d61035a0000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c0a212c1cff800d0a
